Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_PGAP_DCT_nowin_bs4_e1000_kp1_split-50_50_20260113_121115
[Epoch 001] loss=1.2801 miou=0.0001 niou=0.0001 f1=0.0001 pd=0.0021 fa=0.000000 thr=0.35 time=50.1s
[Epoch 002] loss=0.6962 miou=0.5329 niou=0.5912 f1=0.6953 pd=0.9725 fa=0.000158 thr=0.44 time=48.6s
[Epoch 003] loss=0.3877 miou=0.5715 niou=0.6171 f1=0.7273 pd=0.9788 fa=0.000144 thr=0.44 time=48.5s
[Epoch 004] loss=0.3505 miou=0.6182 niou=0.6533 f1=0.7640 pd=0.9746 fa=0.000086 thr=0.43 time=49.1s
[Epoch 005] loss=0.3332 miou=0.6102 niou=0.6394 f1=0.7579 pd=0.9862 fa=0.000122 thr=0.46 time=48.2s
[Epoch 006] loss=0.3193 miou=0.6136 niou=0.6394 f1=0.7605 pd=0.9841 fa=0.000110 thr=0.46 time=48.9s
[Epoch 007] loss=0.3113 miou=0.6335 niou=0.6654 f1=0.7756 pd=0.9873 fa=0.000111 thr=0.44 time=48.4s
[Epoch 008] loss=0.3039 miou=0.6489 niou=0.6762 f1=0.7871 pd=0.9810 fa=0.000087 thr=0.44 time=49.2s
[Epoch 009] loss=0.2969 miou=0.6615 niou=0.6836 f1=0.7963 pd=0.9810 fa=0.000056 thr=0.43 time=49.2s
[Epoch 010] loss=0.2907 miou=0.6666 niou=0.6909 f1=0.8000 pd=0.9841 fa=0.000062 thr=0.43 time=49.3s
[Epoch 011] loss=0.2928 miou=0.6685 niou=0.6910 f1=0.8013 pd=0.9831 fa=0.000068 thr=0.44 time=49.0s
[Epoch 012] loss=0.2809 miou=0.6693 niou=0.6915 f1=0.8019 pd=0.9862 fa=0.000068 thr=0.43 time=49.0s
[Epoch 013] loss=0.2734 miou=0.6845 niou=0.7061 f1=0.8127 pd=0.9810 fa=0.000036 thr=0.41 time=49.2s
[Epoch 014] loss=0.2733 miou=0.6832 niou=0.7098 f1=0.8118 pd=0.9799 fa=0.000040 thr=0.40 time=48.7s
