name,has_gt,gt_area,pgap_on_target,pgap_off_target,pgap_on_ratio,fused_on_target,fused_off_target,fused_on_ratio
XDU558,1,18,1,4,0.2000,1,4,0.2000
XDU620,1,12,1,0,1.0000,1,0,1.0000
XDU451,1,16,3,0,1.0000,3,0,1.0000
XDU115,1,3,0,5,0.0000,0,5,0.0000
XDU692,1,4,1,0,1.0000,1,0,1.0000
XDU459,1,13,0,5,0.0000,0,5,0.0000
XDU888,1,2,1,1,0.5000,1,1,0.5000
XDU785,0,0,0,1,0.0000,0,1,0.0000
XDU104,1,2,0,3,0.0000,0,3,0.0000
XDU129,1,23,2,0,1.0000,2,0,1.0000
XDU919,1,17,3,0,1.0000,3,0,1.0000
XDU525,1,2,1,0,1.0000,1,0,1.0000
XDU258,1,24,2,3,0.4000,2,3,0.4000
XDU920,1,4,1,4,0.2000,1,4,0.2000
XDU788,1,23,4,1,0.8000,4,1,0.8000
XDU48,1,6,1,0,1.0000,1,0,1.0000
XDU253,1,26,0,5,0.0000,0,5,0.0000
XDU354,1,8,1,0,1.0000,1,0,1.0000
XDU404,1,2,1,0,1.0000,1,0,1.0000
XDU845,1,4,1,0,1.0000,1,0,1.0000
XDU147,1,14,1,4,0.2000,1,4,0.2000
XDU816,1,20,1,4,0.2000,1,4,0.2000
XDU219,1,21,3,0,1.0000,3,0,1.0000
XDU698,1,2,1,3,0.2500,1,3,0.2500
XDU244,1,11,1,4,0.2000,1,4,0.2000
XDU968,1,8,0,5,0.0000,0,5,0.0000
XDU745,1,20,1,4,0.2000,1,4,0.2000
XDU225,1,3,1,0,1.0000,1,0,1.0000
XDU667,1,14,0,5,0.0000,0,5,0.0000
XDU9,1,4,0,5,0.0000,0,5,0.0000
XDU406,1,52,0,5,0.0000,0,5,0.0000
XDU216,1,5,1,4,0.2000,1,4,0.2000
XDU881,1,3,1,4,0.2000,1,4,0.2000
XDU708,1,14,1,0,1.0000,1,0,1.0000
XDU223,1,36,2,0,1.0000,2,0,1.0000
XDU394,1,21,2,0,1.0000,2,0,1.0000
XDU111,1,2,1,4,0.2000,1,4,0.2000
XDU818,1,5,0,5,0.0000,0,5,0.0000
XDU877,1,21,0,5,0.0000,0,5,0.0000
XDU3,1,6,1,0,1.0000,1,0,1.0000
XDU697,1,21,1,1,0.5000,1,1,0.5000
XDU75,1,4,1,3,0.2500,1,3,0.2500
XDU54,1,16,2,0,1.0000,2,0,1.0000
XDU829,1,6,1,0,1.0000,1,0,1.0000
XDU50,1,7,0,5,0.0000,0,5,0.0000
XDU369,1,26,0,5,0.0000,0,5,0.0000
XDU492,1,30,2,0,1.0000,2,0,1.0000
XDU557,1,27,2,0,1.0000,2,0,1.0000
XDU803,1,8,1,3,0.2500,1,3,0.2500
XDU523,1,8,2,1,0.6667,2,1,0.6667
XDU352,1,20,3,0,1.0000,3,0,1.0000
XDU169,1,18,2,3,0.4000,2,3,0.4000
XDU319,1,60,0,5,0.0000,0,5,0.0000
XDU46,1,19,0,2,0.0000,0,2,0.0000
XDU185,1,76,1,4,0.2000,1,4,0.2000
XDU762,1,15,2,0,1.0000,2,0,1.0000
XDU505,1,44,2,3,0.4000,2,3,0.4000
XDU862,1,4,0,5,0.0000,0,5,0.0000
XDU321,1,24,2,3,0.4000,2,3,0.4000
XDU160,1,8,1,4,0.2000,1,4,0.2000
XDU927,1,12,0,5,0.0000,0,5,0.0000
XDU743,1,16,2,3,0.4000,2,3,0.4000
XDU842,1,3,0,5,0.0000,0,5,0.0000
XDU117,1,17,1,0,1.0000,1,0,1.0000
XDU614,1,6,1,4,0.2000,1,4,0.2000
XDU789,1,10,1,0,1.0000,1,0,1.0000
XDU516,1,26,2,3,0.4000,2,3,0.4000
XDU40,1,2,1,4,0.2000,1,4,0.2000
XDU426,1,74,1,4,0.2000,1,4,0.2000
XDU546,1,14,1,4,0.2000,1,4,0.2000
XDU45,1,9,2,0,1.0000,2,0,1.0000
XDU966,1,9,1,0,1.0000,1,0,1.0000
XDU563,1,4,1,2,0.3333,1,2,0.3333
XDU289,1,28,1,4,0.2000,1,4,0.2000
XDU41,1,4,1,4,0.2000,1,4,0.2000
XDU63,1,10,0,5,0.0000,0,5,0.0000
XDU878,1,80,0,5,0.0000,0,5,0.0000
XDU996,1,6,1,1,0.5000,1,1,0.5000
XDU685,1,3,0,5,0.0000,0,5,0.0000
XDU902,1,5,0,5,0.0000,0,5,0.0000
XDU567,1,28,1,4,0.2000,1,4,0.2000
XDU674,1,5,0,5,0.0000,0,5,0.0000
XDU954,1,7,1,2,0.3333,1,2,0.3333
XDU374,1,17,1,1,0.5000,1,1,0.5000
XDU694,1,8,2,3,0.4000,2,3,0.4000
XDU781,1,5,0,5,0.0000,0,5,0.0000
XDU672,1,8,1,3,0.2500,1,3,0.2500
XDU883,1,2,1,0,1.0000,1,0,1.0000
XDU49,1,17,1,4,0.2000,1,4,0.2000
XDU393,1,21,2,0,1.0000,2,0,1.0000
XDU205,1,9,1,0,1.0000,1,0,1.0000
XDU195,1,17,1,4,0.2000,1,4,0.2000
XDU10,1,5,1,0,1.0000,1,0,1.0000
XDU209,1,7,1,0,1.0000,1,0,1.0000
XDU278,1,2,0,5,0.0000,0,5,0.0000
XDU463,1,6,1,4,0.2000,1,4,0.2000
XDU43,1,28,1,0,1.0000,1,0,1.0000
XDU164,1,9,1,4,0.2000,1,4,0.2000
XDU295,1,21,2,3,0.4000,2,3,0.4000
XDU442,1,12,0,5,0.0000,0,5,0.0000
