Run directory: ./outputs_sam_sirst\NUDT-SIRST_model-vitt_size256_PGAP_DCT_MOD_nowin_maskprompt_msdetail_bs4_e1000_kp1_split-50_50_20260121_174332
[Epoch 001] loss=0.8418 miou=0.5425 niou=0.5604 f1=0.7034 pd=0.9365 fa=0.000037 thr=0.40 time=44.7s
[Epoch 002] loss=0.2360 miou=0.6549 niou=0.6672 f1=0.7914 pd=0.9884 fa=0.000050 thr=0.44 time=43.6s
[Epoch 003] loss=0.1996 miou=0.6898 niou=0.7025 f1=0.8164 pd=0.9841 fa=0.000019 thr=0.41 time=44.1s
[Epoch 004] loss=0.1728 miou=0.6949 niou=0.7079 f1=0.8200 pd=0.9820 fa=0.000023 thr=0.40 time=43.5s
[Epoch 005] loss=0.1645 miou=0.7146 niou=0.7250 f1=0.8336 pd=0.9915 fa=0.000022 thr=0.42 time=43.4s
[Epoch 006] loss=0.1552 miou=0.7177 niou=0.7249 f1=0.8356 pd=0.9915 fa=0.000028 thr=0.41 time=43.8s
[Epoch 007] loss=0.1505 miou=0.7227 niou=0.7326 f1=0.8390 pd=0.9894 fa=0.000012 thr=0.40 time=44.2s
[Epoch 008] loss=0.1429 miou=0.7338 niou=0.7454 f1=0.8464 pd=0.9905 fa=0.000017 thr=0.41 time=43.8s
[Epoch 009] loss=0.1392 miou=0.7169 niou=0.7278 f1=0.8351 pd=0.9915 fa=0.000018 thr=0.40 time=43.5s
[Epoch 010] loss=0.1377 miou=0.7138 niou=0.7286 f1=0.8330 pd=0.9810 fa=0.000014 thr=0.39 time=42.8s
[Epoch 011] loss=0.1366 miou=0.7500 niou=0.7618 f1=0.8572 pd=0.9915 fa=0.000018 thr=0.40 time=44.6s
[Epoch 012] loss=0.1302 miou=0.7405 niou=0.7498 f1=0.8509 pd=0.9926 fa=0.000012 thr=0.42 time=45.5s
[Epoch 013] loss=0.1298 miou=0.7351 niou=0.7475 f1=0.8473 pd=0.9915 fa=0.000017 thr=0.39 time=45.5s
[Epoch 014] loss=0.1227 miou=0.7542 niou=0.7661 f1=0.8599 pd=0.9926 fa=0.000016 thr=0.40 time=45.8s
[Epoch 015] loss=0.1203 miou=0.7608 niou=0.7699 f1=0.8641 pd=0.9937 fa=0.000009 thr=0.40 time=45.6s
[Epoch 016] loss=0.1174 miou=0.7573 niou=0.7666 f1=0.8619 pd=0.9905 fa=0.000009 thr=0.41 time=45.5s
[Epoch 017] loss=0.1154 miou=0.7634 niou=0.7785 f1=0.8658 pd=0.9937 fa=0.000013 thr=0.39 time=45.6s
[Epoch 018] loss=0.1145 miou=0.7559 niou=0.7700 f1=0.8610 pd=0.9937 fa=0.000015 thr=0.41 time=45.4s
[Epoch 019] loss=0.1121 miou=0.7678 niou=0.7836 f1=0.8686 pd=0.9905 fa=0.000015 thr=0.39 time=45.4s
[Epoch 020] loss=0.1107 miou=0.7676 niou=0.7810 f1=0.8685 pd=0.9947 fa=0.000016 thr=0.41 time=45.4s
[Epoch 021] loss=0.1068 miou=0.7734 niou=0.7863 f1=0.8722 pd=0.9905 fa=0.000015 thr=0.40 time=45.4s
[Epoch 022] loss=0.1022 miou=0.7387 niou=0.7540 f1=0.8497 pd=0.9873 fa=0.000011 thr=0.38 time=45.4s
[Epoch 023] loss=0.1017 miou=0.7724 niou=0.7846 f1=0.8716 pd=0.9915 fa=0.000015 thr=0.39 time=45.4s
[Epoch 024] loss=0.0993 miou=0.7686 niou=0.7830 f1=0.8692 pd=0.9831 fa=0.000018 thr=0.38 time=45.6s
[Epoch 025] loss=0.1009 miou=0.7808 niou=0.7967 f1=0.8769 pd=0.9915 fa=0.000015 thr=0.40 time=45.8s
[Epoch 026] loss=0.0934 miou=0.7733 niou=0.7850 f1=0.8722 pd=0.9947 fa=0.000015 thr=0.39 time=46.1s
[Epoch 027] loss=0.0948 miou=0.7864 niou=0.7955 f1=0.8804 pd=0.9926 fa=0.000017 thr=0.40 time=43.6s
[Epoch 028] loss=0.0919 miou=0.7979 niou=0.8112 f1=0.8876 pd=0.9894 fa=0.000006 thr=0.40 time=43.1s
[Epoch 029] loss=0.0918 miou=0.7790 niou=0.7888 f1=0.8758 pd=0.9947 fa=0.000025 thr=0.40 time=43.7s
[Epoch 030] loss=0.0895 miou=0.7859 niou=0.8020 f1=0.8801 pd=0.9905 fa=0.000013 thr=0.39 time=43.1s
[Epoch 031] loss=0.0855 miou=0.7987 niou=0.8122 f1=0.8881 pd=0.9905 fa=0.000013 thr=0.40 time=44.4s
[Epoch 032] loss=0.0837 miou=0.7811 niou=0.7937 f1=0.8771 pd=0.9947 fa=0.000016 thr=0.39 time=43.6s
[Epoch 033] loss=0.0859 miou=0.7853 niou=0.7946 f1=0.8798 pd=0.9894 fa=0.000011 thr=0.39 time=43.8s
[Epoch 034] loss=0.0850 miou=0.7824 niou=0.7899 f1=0.8779 pd=0.9915 fa=0.000015 thr=0.39 time=43.9s
[Epoch 035] loss=0.0856 miou=0.7828 niou=0.7921 f1=0.8782 pd=0.9926 fa=0.000014 thr=0.39 time=43.8s
[Epoch 036] loss=0.0847 miou=0.7603 niou=0.7699 f1=0.8639 pd=0.9852 fa=0.000014 thr=0.40 time=43.7s
[Epoch 037] loss=0.0837 miou=0.8074 niou=0.8192 f1=0.8935 pd=0.9894 fa=0.000011 thr=0.39 time=44.1s
[Epoch 038] loss=0.0811 miou=0.7903 niou=0.7998 f1=0.8829 pd=0.9894 fa=0.000015 thr=0.40 time=45.2s
[Epoch 039] loss=0.0802 miou=0.7907 niou=0.8016 f1=0.8831 pd=0.9915 fa=0.000015 thr=0.40 time=45.4s
[Epoch 040] loss=0.0775 miou=0.7909 niou=0.8033 f1=0.8832 pd=0.9915 fa=0.000010 thr=0.38 time=45.4s
