Run directory: ./outputs_sam_sirst_hq/IRSTD-1k_model-vitt_size256_HQ_RadialGate_FAB_bs4_e1000_kp1_split-50_50_20260207_150145
Initialized FAB Loss (bins=16, boundary_width=3, high_freq_weight=2.0)
[Epoch 001] loss=0.8201 miou=0.3583 niou=0.3975 f1=0.5276 pd=0.8265 fa=0.000019 thr=0.39 time=38.1s
[Epoch 002] loss=0.4849 miou=0.5027 niou=0.4787 f1=0.6690 pd=0.9320 fa=0.000053 thr=0.43 time=35.0s
[Epoch 003] loss=0.4600 miou=0.5101 niou=0.4830 f1=0.6756 pd=0.9218 fa=0.000052 thr=0.41 time=35.1s
[Epoch 004] loss=0.4357 miou=0.4683 niou=0.5110 f1=0.6379 pd=0.9048 fa=0.000018 thr=0.39 time=35.2s
[Epoch 005] loss=0.4171 miou=0.5342 niou=0.5332 f1=0.6964 pd=0.9048 fa=0.000015 thr=0.38 time=35.1s
[Epoch 006] loss=0.4133 miou=0.5369 niou=0.5294 f1=0.6986 pd=0.9218 fa=0.000018 thr=0.39 time=35.5s
[Epoch 007] loss=0.4057 miou=0.5337 niou=0.5405 f1=0.6960 pd=0.9184 fa=0.000019 thr=0.38 time=35.0s
[Epoch 008] loss=0.3929 miou=0.5810 niou=0.5417 f1=0.7350 pd=0.9490 fa=0.000044 thr=0.42 time=34.9s
[Epoch 009] loss=0.3702 miou=0.5890 niou=0.5665 f1=0.7413 pd=0.9354 fa=0.000026 thr=0.39 time=35.3s
[Epoch 010] loss=0.3612 miou=0.6105 niou=0.5713 f1=0.7582 pd=0.9490 fa=0.000038 thr=0.42 time=34.0s
Unfroze at epoch 10: encoder + all heads.
[Epoch 011] loss=0.3913 miou=0.6314 niou=0.6075 f1=0.7741 pd=0.9490 fa=0.000020 thr=0.38 time=64.5s
[Epoch 012] loss=0.3498 miou=0.6302 niou=0.5946 f1=0.7731 pd=0.9558 fa=0.000022 thr=0.41 time=64.3s
[Epoch 013] loss=0.3401 miou=0.6392 niou=0.5801 f1=0.7799 pd=0.9286 fa=0.000030 thr=0.40 time=63.8s
[Epoch 014] loss=0.3454 miou=0.6735 niou=0.6044 f1=0.8049 pd=0.9524 fa=0.000014 thr=0.42 time=64.1s
[Epoch 015] loss=0.3215 miou=0.6412 niou=0.6146 f1=0.7813 pd=0.9388 fa=0.000018 thr=0.39 time=64.3s
[Epoch 016] loss=0.3211 miou=0.6213 niou=0.5999 f1=0.7664 pd=0.9320 fa=0.000013 thr=0.38 time=64.2s
[Epoch 017] loss=0.3174 miou=0.6704 niou=0.6335 f1=0.8027 pd=0.9286 fa=0.000008 thr=0.39 time=64.1s
