Run directory: ./outputs_sam_sirst_hq/IRSTD-1k_model-vitt_size256_HQ_mllm_Qwen3_tokenCLIP_GatedBkBiFusion_NoFiLM_TSP1_TDPxattn03_SC_bs4_e1000_kp1_split-50_50_20260301_135524
MLLM TextConditioner disabled by --disable_text_conditioner.
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Gated Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, gate_hidden=0, gate_bias=-2.0, params=2163392
[Epoch 001] loss=1.0091 miou=0.4156 niou=0.4158 f1=0.3478 pd=0.8462 fa=0.001872 thr=0.43 time=82.6s
[Epoch 002] loss=0.6516 miou=0.4443 niou=0.4442 f1=0.3813 pd=0.8204 fa=0.001506 thr=0.43 time=80.8s
[Epoch 003] loss=0.5993 miou=0.4696 niou=0.4701 f1=0.3569 pd=0.7178 fa=0.000569 thr=0.40 time=80.8s
[Epoch 004] loss=0.5931 miou=0.4878 niou=0.4853 f1=0.3566 pd=0.7056 fa=0.000531 thr=0.41 time=80.4s
[Epoch 005] loss=0.5769 miou=0.4940 niou=0.4940 f1=0.3779 pd=0.8216 fa=0.000570 thr=0.41 time=80.6s
[Epoch 006] loss=0.5729 miou=0.5002 niou=0.4998 f1=0.4459 pd=0.8284 fa=0.000693 thr=0.42 time=81.0s
[Epoch 007] loss=0.5584 miou=0.4821 niou=0.4845 f1=0.3791 pd=0.7374 fa=0.000471 thr=0.41 time=81.0s
[Epoch 008] loss=0.5440 miou=0.5066 niou=0.5064 f1=0.3937 pd=0.8109 fa=0.000368 thr=0.41 time=81.6s
[Epoch 009] loss=0.5102 miou=0.5382 niou=0.5377 f1=0.4310 pd=0.8325 fa=0.000358 thr=0.41 time=81.7s
[Epoch 010] loss=0.4939 miou=0.5389 niou=0.5384 f1=0.4682 pd=0.8663 fa=0.000331 thr=0.43 time=81.7s
[Epoch 011] loss=0.4759 miou=0.6162 niou=0.6158 f1=0.5040 pd=0.8838 fa=0.000132 thr=0.40 time=81.6s
[Epoch 012] loss=0.3750 miou=0.6559 niou=0.6557 f1=0.4915 pd=0.8955 fa=0.000070 thr=0.41 time=81.2s
[Epoch 013] loss=0.3481 miou=0.6577 niou=0.6560 f1=0.5130 pd=0.9242 fa=0.000098 thr=0.44 time=81.5s
[Epoch 014] loss=0.3142 miou=0.7033 niou=0.7018 f1=0.5267 pd=0.9231 fa=0.000084 thr=0.43 time=81.2s
[Epoch 015] loss=0.2939 miou=0.7376 niou=0.7363 f1=0.4974 pd=0.9240 fa=0.000125 thr=0.39 time=81.7s
[Epoch 016] loss=0.2929 miou=0.6992 niou=0.6989 f1=0.5796 pd=0.9184 fa=0.000053 thr=0.40 time=81.7s
[Epoch 017] loss=0.2734 miou=0.7017 niou=0.7017 f1=0.5491 pd=0.9541 fa=0.000062 thr=0.41 time=81.4s
[Epoch 018] loss=0.2677 miou=0.7151 niou=0.7150 f1=0.6026 pd=0.9505 fa=0.000061 thr=0.40 time=81.4s
[Epoch 019] loss=0.2559 miou=0.7213 niou=0.7212 f1=0.5934 pd=0.9550 fa=0.000045 thr=0.43 time=81.4s
[Epoch 020] loss=0.2623 miou=0.7678 niou=0.7666 f1=0.4952 pd=0.9455 fa=0.000048 thr=0.41 time=81.3s
[Epoch 021] loss=0.2636 miou=0.7029 niou=0.7030 f1=0.5633 pd=0.9548 fa=0.000082 thr=0.45 time=81.3s
[Epoch 022] loss=0.2589 miou=0.7074 niou=0.7059 f1=0.5763 pd=0.9492 fa=0.000092 thr=0.41 time=81.3s
[Epoch 023] loss=0.2503 miou=0.6584 niou=0.6587 f1=0.5551 pd=0.8708 fa=0.000038 thr=0.37 time=81.2s
[Epoch 024] loss=0.2533 miou=0.7287 niou=0.7274 f1=0.6202 pd=0.9517 fa=0.000013 thr=0.42 time=81.2s
[Epoch 025] loss=0.2462 miou=0.7283 niou=0.7284 f1=0.6000 pd=0.9492 fa=0.000083 thr=0.43 time=81.3s
[Epoch 026] loss=0.2297 miou=0.7534 niou=0.7536 f1=0.5369 pd=0.9609 fa=0.000032 thr=0.43 time=81.4s
[Epoch 027] loss=0.2295 miou=0.7504 niou=0.7505 f1=0.5927 pd=0.9797 fa=0.000032 thr=0.42 time=81.0s
[Epoch 028] loss=0.2262 miou=0.7374 niou=0.7377 f1=0.5844 pd=0.9444 fa=0.000050 thr=0.41 time=81.3s
[Epoch 029] loss=0.2271 miou=0.7379 niou=0.7382 f1=0.5581 pd=0.9424 fa=0.000097 thr=0.40 time=81.4s
[Epoch 030] loss=0.2387 miou=0.7109 niou=0.7110 f1=0.6068 pd=0.9663 fa=0.000045 thr=0.45 time=81.2s
[Epoch 031] loss=0.2447 miou=0.7216 niou=0.7217 f1=0.5890 pd=0.9662 fa=0.000113 thr=0.44 time=80.8s
[Epoch 032] loss=0.2322 miou=0.7551 niou=0.7557 f1=0.5774 pd=0.9697 fa=0.000076 thr=0.41 time=80.6s
[Epoch 033] loss=0.2259 miou=0.7131 niou=0.7117 f1=0.5858 pd=0.9363 fa=0.000090 thr=0.40 time=80.8s
[Epoch 034] loss=0.2361 miou=0.7410 niou=0.7409 f1=0.5948 pd=0.9698 fa=0.000053 thr=0.43 time=80.9s
[Epoch 035] loss=0.2240 miou=0.7470 niou=0.7457 f1=0.5867 pd=0.9303 fa=0.000086 thr=0.41 time=81.1s
[Epoch 036] loss=0.2343 miou=0.7587 niou=0.7575 f1=0.5356 pd=0.9708 fa=0.000126 thr=0.42 time=80.9s
[Epoch 037] loss=0.3197 miou=0.7559 niou=0.7559 f1=0.5739 pd=0.9737 fa=0.000029 thr=0.40 time=80.7s
[Epoch 038] loss=0.2223 miou=0.7185 niou=0.7185 f1=0.5752 pd=0.9691 fa=0.000037 thr=0.44 time=80.5s
[Epoch 039] loss=0.2313 miou=0.7773 niou=0.7779 f1=0.5606 pd=0.9574 fa=0.000082 thr=0.40 time=80.6s
[Epoch 040] loss=0.2139 miou=0.7450 niou=0.7452 f1=0.5957 pd=0.9791 fa=0.000089 thr=0.41 time=81.0s
[Epoch 041] loss=0.2229 miou=0.7596 niou=0.7599 f1=0.5969 pd=0.9608 fa=0.000035 thr=0.39 time=81.1s
[Epoch 042] loss=0.2243 miou=0.7665 niou=0.7653 f1=0.5737 pd=0.9536 fa=0.000038 thr=0.41 time=80.9s
