Run directory: ./outputs_sam_sirst_hq\IRSTD1k_HQ_PGAPiTFmul03_pure_mllm_Qwen3_tokenCLIP_TDPxattn_SC_20260227_150017
MLLM TextConditioner disabled by --pgap_text_prior_only.
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.5, params=525697
[Epoch 001] loss=0.8246 miou=0.1211 niou=0.4068 f1=0.2160 pd=0.8608 fa=0.002105 thr=0.43 time=40.4s
[Epoch 002] loss=0.4995 miou=0.1909 niou=0.4372 f1=0.3205 pd=0.6842 fa=0.000874 thr=0.40 time=39.7s
[Epoch 003] loss=0.4615 miou=0.2020 niou=0.4655 f1=0.3360 pd=0.7824 fa=0.000975 thr=0.40 time=39.5s
[Epoch 004] loss=0.4360 miou=0.2235 niou=0.4614 f1=0.3654 pd=0.8182 fa=0.001046 thr=0.42 time=39.7s
[Epoch 005] loss=0.4192 miou=0.2264 niou=0.4795 f1=0.3692 pd=0.7650 fa=0.000772 thr=0.41 time=39.5s
[Epoch 006] loss=0.3989 miou=0.2951 niou=0.5627 f1=0.4557 pd=0.8404 fa=0.000617 thr=0.40 time=39.7s
[Epoch 007] loss=0.3808 miou=0.2759 niou=0.4712 f1=0.4325 pd=0.8421 fa=0.000809 thr=0.42 time=39.8s
[Epoch 008] loss=0.4061 miou=0.3194 niou=0.5149 f1=0.4842 pd=0.8235 fa=0.000401 thr=0.39 time=39.9s
[Epoch 009] loss=0.3601 miou=0.2920 niou=0.5073 f1=0.4520 pd=0.7946 fa=0.000172 thr=0.38 time=39.9s
[Epoch 010] loss=0.3692 miou=0.2337 niou=0.4581 f1=0.3788 pd=0.6872 fa=0.000101 thr=0.37 time=39.6s
[Epoch 011] loss=0.3544 miou=0.2770 niou=0.4818 f1=0.4338 pd=0.7068 fa=0.000093 thr=0.37 time=39.8s
[Epoch 012] loss=0.3229 miou=0.2440 niou=0.4986 f1=0.3923 pd=0.7310 fa=0.000061 thr=0.37 time=39.6s
[Epoch 013] loss=0.3041 miou=0.3029 niou=0.4760 f1=0.4650 pd=0.6340 fa=0.000101 thr=0.38 time=39.6s
[Epoch 014] loss=0.3171 miou=0.2519 niou=0.4814 f1=0.4024 pd=0.7128 fa=0.000087 thr=0.37 time=39.4s
[Epoch 015] loss=0.2898 miou=0.2211 niou=0.4422 f1=0.3621 pd=0.5645 fa=0.000065 thr=0.36 time=37.3s
[Epoch 016] loss=0.2920 miou=0.2219 niou=0.4582 f1=0.3632 pd=0.6596 fa=0.000076 thr=0.36 time=34.3s
[Epoch 017] loss=0.2702 miou=0.2440 niou=0.4690 f1=0.3922 pd=0.7487 fa=0.000192 thr=0.38 time=34.1s
[Epoch 018] loss=0.2784 miou=0.1725 niou=0.4006 f1=0.2943 pd=0.5683 fa=0.000079 thr=0.36 time=34.6s
[Epoch 019] loss=0.2599 miou=0.2392 niou=0.4344 f1=0.3861 pd=0.6649 fa=0.000127 thr=0.37 time=39.3s
[Epoch 020] loss=0.2523 miou=0.2713 niou=0.4946 f1=0.4269 pd=0.6865 fa=0.000206 thr=0.36 time=40.8s
[Epoch 021] loss=0.2478 miou=0.1841 niou=0.3967 f1=0.3110 pd=0.5385 fa=0.000069 thr=0.36 time=40.4s
[Epoch 022] loss=0.2458 miou=0.2975 niou=0.4674 f1=0.4586 pd=0.6417 fa=0.000154 thr=0.37 time=40.4s
[Epoch 023] loss=0.2444 miou=0.2097 niou=0.3975 f1=0.3467 pd=0.5648 fa=0.000213 thr=0.37 time=40.5s
[Epoch 024] loss=0.2503 miou=0.2523 niou=0.4000 f1=0.4029 pd=0.6531 fa=0.000275 thr=0.37 time=40.7s
[Epoch 025] loss=0.2386 miou=0.2134 niou=0.3954 f1=0.3518 pd=0.5800 fa=0.000174 thr=0.36 time=40.8s
[Epoch 026] loss=0.2288 miou=0.2634 niou=0.4318 f1=0.4170 pd=0.5979 fa=0.000148 thr=0.38 time=41.0s
[Epoch 027] loss=0.2389 miou=0.1690 niou=0.3695 f1=0.2892 pd=0.5026 fa=0.000093 thr=0.36 time=40.8s
[Epoch 028] loss=0.2259 miou=0.2728 niou=0.4070 f1=0.4286 pd=0.6050 fa=0.000116 thr=0.36 time=40.8s
[Epoch 029] loss=0.2288 miou=0.2661 niou=0.4445 f1=0.4204 pd=0.6332 fa=0.000317 thr=0.37 time=40.8s
[Epoch 030] loss=0.2181 miou=0.2684 niou=0.3956 f1=0.4232 pd=0.7050 fa=0.000389 thr=0.40 time=37.5s
[Epoch 031] loss=0.2224 miou=0.2495 niou=0.4112 f1=0.3994 pd=0.6000 fa=0.000375 thr=0.38 time=34.0s
[Epoch 032] loss=0.2231 miou=0.2303 niou=0.3650 f1=0.3743 pd=0.5797 fa=0.000262 thr=0.39 time=33.7s
[Epoch 033] loss=0.2126 miou=0.2893 niou=0.4058 f1=0.4488 pd=0.6683 fa=0.000153 thr=0.37 time=34.0s
[Epoch 034] loss=0.2253 miou=0.2260 niou=0.4037 f1=0.3687 pd=0.6368 fa=0.000536 thr=0.38 time=34.0s
[Epoch 035] loss=0.2342 miou=0.2026 niou=0.3784 f1=0.3370 pd=0.6019 fa=0.000133 thr=0.36 time=34.2s
[Epoch 036] loss=0.2101 miou=0.2379 niou=0.4130 f1=0.3844 pd=0.5381 fa=0.000113 thr=0.36 time=34.0s
[Epoch 037] loss=0.2206 miou=0.2259 niou=0.4074 f1=0.3685 pd=0.7016 fa=0.000253 thr=0.38 time=34.0s
[Epoch 038] loss=0.2134 miou=0.2608 niou=0.4164 f1=0.4138 pd=0.5815 fa=0.000253 thr=0.37 time=36.2s
[Epoch 039] loss=0.2169 miou=0.2157 niou=0.3686 f1=0.3549 pd=0.5276 fa=0.000086 thr=0.36 time=38.0s
[Epoch 040] loss=0.2241 miou=0.3019 niou=0.4163 f1=0.4638 pd=0.7194 fa=0.000354 thr=0.40 time=41.3s
[Epoch 041] loss=0.2161 miou=0.2514 niou=0.4109 f1=0.4018 pd=0.5272 fa=0.000180 thr=0.36 time=41.0s
[Epoch 042] loss=0.2079 miou=0.2560 niou=0.4329 f1=0.4076 pd=0.6927 fa=0.000176 thr=0.38 time=41.2s
[Epoch 043] loss=0.2144 miou=0.3277 niou=0.4057 f1=0.4936 pd=0.7053 fa=0.000177 thr=0.38 time=41.7s
[Epoch 044] loss=0.2057 miou=0.2205 niou=0.3734 f1=0.3613 pd=0.5556 fa=0.000147 thr=0.37 time=42.0s
[Epoch 045] loss=0.2213 miou=0.2442 niou=0.3982 f1=0.3925 pd=0.6099 fa=0.000370 thr=0.37 time=41.9s
[Epoch 046] loss=0.2094 miou=0.2725 niou=0.4038 f1=0.4283 pd=0.6667 fa=0.000237 thr=0.37 time=42.3s
[Epoch 047] loss=0.2053 miou=0.2415 niou=0.4130 f1=0.3890 pd=0.5829 fa=0.000139 thr=0.38 time=39.9s
[Epoch 048] loss=0.2051 miou=0.2122 niou=0.3687 f1=0.3501 pd=0.5956 fa=0.000164 thr=0.37 time=35.0s
[Epoch 049] loss=0.2090 miou=0.1451 niou=0.3602 f1=0.2535 pd=0.5435 fa=0.000169 thr=0.36 time=34.3s
[Epoch 050] loss=0.2009 miou=0.2646 niou=0.3621 f1=0.4184 pd=0.6268 fa=0.000184 thr=0.37 time=34.3s
[Epoch 051] loss=0.2035 miou=0.1473 niou=0.2829 f1=0.2568 pd=0.4712 fa=0.000181 thr=0.36 time=34.6s
[Epoch 052] loss=0.2082 miou=0.2094 niou=0.3727 f1=0.3462 pd=0.4924 fa=0.000294 thr=0.36 time=34.1s
[Epoch 053] loss=0.1981 miou=0.2847 niou=0.3718 f1=0.4433 pd=0.6114 fa=0.000305 thr=0.38 time=34.3s
[Epoch 054] loss=0.2036 miou=0.2447 niou=0.3585 f1=0.3932 pd=0.6256 fa=0.000274 thr=0.37 time=34.2s
[Epoch 055] loss=0.1827 miou=0.2306 niou=0.3896 f1=0.3747 pd=0.6308 fa=0.000244 thr=0.38 time=34.3s
[Epoch 056] loss=0.2009 miou=0.2613 niou=0.3587 f1=0.4144 pd=0.4375 fa=0.000225 thr=0.36 time=34.0s
[Epoch 057] loss=0.2003 miou=0.2724 niou=0.4006 f1=0.4281 pd=0.6788 fa=0.000277 thr=0.38 time=34.0s
[Epoch 058] loss=0.1985 miou=0.2197 niou=0.3974 f1=0.3602 pd=0.6243 fa=0.000233 thr=0.36 time=33.8s
