Run directory: ./outputs_sam_sirst_hq\IRSTD1k_HQ_mllm_Qwen3_tokenCLIP_BiFusion_TSP1_TDPxattn03_SC_20260227_114400
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
BiFusion adapter enabled: interms+img levels, hidden=128, heads=4, params=511296
[Epoch 001] loss=0.8010 miou=0.0000 niou=0.2935 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=37.2s
[Epoch 002] loss=0.7069 miou=0.1626 niou=0.3669 f1=0.2796 pd=0.6845 fa=0.000363 thr=0.39 time=36.7s
[Epoch 003] loss=0.3690 miou=0.4993 niou=0.6160 f1=0.6661 pd=0.8513 fa=0.000128 thr=0.39 time=36.3s
[Epoch 004] loss=0.2615 miou=0.4758 niou=0.6358 f1=0.6448 pd=0.9301 fa=0.000325 thr=0.46 time=36.9s
[Epoch 005] loss=0.2403 miou=0.5589 niou=0.6907 f1=0.7170 pd=0.9124 fa=0.000144 thr=0.44 time=36.2s
[Epoch 006] loss=0.2307 miou=0.2964 niou=0.5419 f1=0.4572 pd=0.6158 fa=0.000031 thr=0.37 time=36.4s
[Epoch 007] loss=0.2343 miou=0.5694 niou=0.7134 f1=0.7257 pd=0.8950 fa=0.000081 thr=0.41 time=36.2s
[Epoch 008] loss=0.2122 miou=0.5927 niou=0.7072 f1=0.7442 pd=0.9086 fa=0.000049 thr=0.41 time=36.4s
[Epoch 009] loss=0.2101 miou=0.5730 niou=0.7053 f1=0.7285 pd=0.9000 fa=0.000102 thr=0.41 time=36.4s
[Epoch 010] loss=0.2011 miou=0.6183 niou=0.7163 f1=0.7641 pd=0.9358 fa=0.000101 thr=0.43 time=36.2s
[Epoch 011] loss=0.2097 miou=0.6189 niou=0.7257 f1=0.7646 pd=0.9045 fa=0.000083 thr=0.42 time=39.5s
[Epoch 012] loss=0.1976 miou=0.5832 niou=0.7243 f1=0.7368 pd=0.9301 fa=0.000060 thr=0.39 time=39.0s
[Epoch 013] loss=0.1963 miou=0.6036 niou=0.6972 f1=0.7528 pd=0.8829 fa=0.000075 thr=0.42 time=36.9s
[Epoch 014] loss=0.1901 miou=0.6586 niou=0.7450 f1=0.7942 pd=0.9309 fa=0.000074 thr=0.41 time=39.7s
[Epoch 015] loss=0.1871 miou=0.6045 niou=0.7232 f1=0.7535 pd=0.9150 fa=0.000067 thr=0.39 time=36.4s
[Epoch 016] loss=0.1862 miou=0.6246 niou=0.7219 f1=0.7689 pd=0.9694 fa=0.000087 thr=0.42 time=36.5s
[Epoch 017] loss=0.1867 miou=0.6460 niou=0.7076 f1=0.7849 pd=0.9463 fa=0.000070 thr=0.42 time=36.4s
[Epoch 018] loss=0.1775 miou=0.6788 niou=0.7239 f1=0.8087 pd=0.9519 fa=0.000089 thr=0.42 time=36.4s
[Epoch 019] loss=0.1775 miou=0.5898 niou=0.7279 f1=0.7420 pd=0.9275 fa=0.000054 thr=0.39 time=36.6s
[Epoch 020] loss=0.1814 miou=0.6566 niou=0.7316 f1=0.7927 pd=0.9628 fa=0.000085 thr=0.42 time=43.5s
[Epoch 021] loss=0.1773 miou=0.6742 niou=0.7600 f1=0.8054 pd=0.9598 fa=0.000063 thr=0.39 time=42.9s
[Epoch 022] loss=0.1720 miou=0.6366 niou=0.7571 f1=0.7779 pd=0.9211 fa=0.000062 thr=0.39 time=37.5s
[Epoch 023] loss=0.1767 miou=0.6095 niou=0.7114 f1=0.7574 pd=0.9303 fa=0.000125 thr=0.42 time=40.5s
[Epoch 024] loss=0.1763 miou=0.6725 niou=0.7566 f1=0.8042 pd=0.9572 fa=0.000033 thr=0.40 time=43.0s
[Epoch 025] loss=0.1774 miou=0.6340 niou=0.7195 f1=0.7760 pd=0.9397 fa=0.000184 thr=0.42 time=43.0s
[Epoch 026] loss=0.1786 miou=0.6384 niou=0.7586 f1=0.7793 pd=0.9500 fa=0.000059 thr=0.39 time=43.0s
[Epoch 027] loss=0.1711 miou=0.6604 niou=0.7087 f1=0.7955 pd=0.9479 fa=0.000101 thr=0.41 time=42.8s
[Epoch 028] loss=0.1718 miou=0.6521 niou=0.7481 f1=0.7894 pd=0.9303 fa=0.000039 thr=0.41 time=43.0s
[Epoch 029] loss=0.1715 miou=0.6609 niou=0.7351 f1=0.7958 pd=0.9198 fa=0.000099 thr=0.41 time=43.0s
[Epoch 030] loss=0.1772 miou=0.6658 niou=0.7413 f1=0.7994 pd=0.9681 fa=0.000088 thr=0.43 time=42.8s
[Epoch 031] loss=0.1786 miou=0.6864 niou=0.7596 f1=0.8141 pd=0.9626 fa=0.000024 thr=0.41 time=43.0s
[Epoch 032] loss=0.1769 miou=0.7106 niou=0.7621 f1=0.8308 pd=0.9511 fa=0.000013 thr=0.41 time=42.9s
[Epoch 033] loss=0.1842 miou=0.6624 niou=0.7260 f1=0.7969 pd=0.9515 fa=0.000080 thr=0.41 time=43.0s
[Epoch 034] loss=0.1691 miou=0.6343 niou=0.7590 f1=0.7762 pd=0.9368 fa=0.000075 thr=0.39 time=43.0s
[Epoch 035] loss=0.1874 miou=0.6579 niou=0.7553 f1=0.7937 pd=0.9180 fa=0.000020 thr=0.41 time=42.6s
