Run directory: ./outputs_sam_sirst_hq\IRSTD1k_HQ_mllm_Qwen3_tokenCLIP_BkBiFusionPure_NoFiLM_TSP1_TDPxattn03_SC_20260228_165050
MLLM TextConditioner disabled by --disable_text_conditioner.
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, params=1766336
[Epoch 001] loss=1.0350 miou=0.0000 niou=0.2338 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=65.5s
[Epoch 002] loss=0.8938 miou=0.0000 niou=0.2587 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=66.9s
[Epoch 003] loss=0.9484 miou=0.0000 niou=0.2786 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=66.0s
[Epoch 004] loss=0.8774 miou=0.0000 niou=0.2736 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=64.6s
[Epoch 005] loss=0.9008 miou=0.0000 niou=0.2836 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=64.1s
[Epoch 006] loss=0.8903 miou=0.1454 niou=0.3668 f1=0.2538 pd=0.7208 fa=0.000323 thr=0.39 time=67.4s
[Epoch 007] loss=0.5528 miou=0.3866 niou=0.5393 f1=0.5576 pd=0.8075 fa=0.000302 thr=0.40 time=66.8s
[Epoch 008] loss=0.4566 miou=0.5128 niou=0.6043 f1=0.6779 pd=0.8617 fa=0.000070 thr=0.39 time=65.3s
[Epoch 009] loss=0.3880 miou=0.5704 niou=0.6584 f1=0.7264 pd=0.9381 fa=0.000103 thr=0.43 time=66.6s
[Epoch 010] loss=0.3338 miou=0.6175 niou=0.7235 f1=0.7635 pd=0.9302 fa=0.000102 thr=0.40 time=66.6s
[Epoch 011] loss=0.3027 miou=0.6652 niou=0.7055 f1=0.7990 pd=0.9502 fa=0.000044 thr=0.42 time=66.6s
[Epoch 012] loss=0.2755 miou=0.6569 niou=0.7068 f1=0.7930 pd=0.9235 fa=0.000048 thr=0.40 time=66.5s
[Epoch 013] loss=0.2883 miou=0.5860 niou=0.6749 f1=0.7389 pd=0.8857 fa=0.000085 thr=0.39 time=66.5s
[Epoch 014] loss=0.2736 miou=0.6567 niou=0.7125 f1=0.7928 pd=0.9655 fa=0.000041 thr=0.44 time=66.5s
[Epoch 015] loss=0.2547 miou=0.6450 niou=0.6974 f1=0.7842 pd=0.9350 fa=0.000080 thr=0.44 time=66.6s
[Epoch 016] loss=0.2669 miou=0.6800 niou=0.7462 f1=0.8095 pd=0.9724 fa=0.000026 thr=0.41 time=66.6s
[Epoch 017] loss=0.2606 miou=0.6843 niou=0.7373 f1=0.8126 pd=0.9289 fa=0.000016 thr=0.41 time=64.4s
[Epoch 018] loss=0.2365 miou=0.6719 niou=0.7156 f1=0.8037 pd=0.9698 fa=0.000030 thr=0.40 time=61.8s
[Epoch 019] loss=0.2503 miou=0.6517 niou=0.7136 f1=0.7891 pd=0.9476 fa=0.000114 thr=0.41 time=61.8s
[Epoch 020] loss=0.2310 miou=0.6816 niou=0.7340 f1=0.8107 pd=0.9689 fa=0.000074 thr=0.42 time=66.6s
[Epoch 021] loss=0.2371 miou=0.6385 niou=0.7315 f1=0.7794 pd=0.9615 fa=0.000074 thr=0.42 time=64.4s
[Epoch 022] loss=0.2425 miou=0.6779 niou=0.7371 f1=0.8080 pd=0.9488 fa=0.000062 thr=0.42 time=65.8s
[Epoch 023] loss=0.2238 miou=0.6805 niou=0.7266 f1=0.8099 pd=0.9731 fa=0.000108 thr=0.42 time=66.4s
[Epoch 024] loss=0.2358 miou=0.6265 niou=0.7004 f1=0.7704 pd=0.9500 fa=0.000061 thr=0.43 time=67.0s
[Epoch 025] loss=0.2356 miou=0.6954 niou=0.7417 f1=0.8203 pd=0.9439 fa=0.000105 thr=0.42 time=64.5s
[Epoch 026] loss=0.2577 miou=0.6756 niou=0.7441 f1=0.8064 pd=0.9259 fa=0.000129 thr=0.40 time=67.2s
[Epoch 027] loss=0.2315 miou=0.6444 niou=0.7236 f1=0.7837 pd=0.9124 fa=0.000027 thr=0.40 time=63.8s
[Epoch 028] loss=0.2100 miou=0.7245 niou=0.7457 f1=0.8402 pd=0.9643 fa=0.000018 thr=0.40 time=61.9s
[Epoch 029] loss=0.2307 miou=0.6969 niou=0.7241 f1=0.8214 pd=0.9655 fa=0.000049 thr=0.43 time=68.6s
[Epoch 030] loss=0.2298 miou=0.6692 niou=0.7417 f1=0.8018 pd=0.9507 fa=0.000105 thr=0.43 time=65.5s
[Epoch 031] loss=0.2012 miou=0.7032 niou=0.7351 f1=0.8257 pd=0.9567 fa=0.000089 thr=0.42 time=67.3s
[Epoch 032] loss=0.2339 miou=0.6387 niou=0.7533 f1=0.7795 pd=0.9444 fa=0.000069 thr=0.39 time=67.4s
[Epoch 033] loss=0.2175 miou=0.7060 niou=0.7303 f1=0.8277 pd=0.9854 fa=0.000040 thr=0.43 time=67.6s
[Epoch 034] loss=0.2176 miou=0.6887 niou=0.7774 f1=0.8157 pd=0.9765 fa=0.000076 thr=0.40 time=67.8s
[Epoch 035] loss=0.2202 miou=0.7133 niou=0.7545 f1=0.8327 pd=0.9854 fa=0.000018 thr=0.41 time=67.6s
[Epoch 036] loss=0.2138 miou=0.7001 niou=0.7286 f1=0.8236 pd=0.9764 fa=0.000043 thr=0.43 time=68.0s
[Epoch 037] loss=0.2289 miou=0.7085 niou=0.7541 f1=0.8294 pd=0.9548 fa=0.000025 thr=0.41 time=68.4s
[Epoch 038] loss=0.2197 miou=0.6716 niou=0.7532 f1=0.8036 pd=0.9347 fa=0.000027 thr=0.40 time=67.7s
[Epoch 039] loss=0.2095 miou=0.6787 niou=0.7277 f1=0.8086 pd=0.9735 fa=0.000064 thr=0.42 time=67.5s
[Epoch 040] loss=0.2137 miou=0.6906 niou=0.7458 f1=0.8170 pd=0.9657 fa=0.000066 thr=0.42 time=65.6s
[Epoch 041] loss=0.2134 miou=0.6066 niou=0.7398 f1=0.7551 pd=0.9485 fa=0.000020 thr=0.41 time=68.0s
[Epoch 042] loss=0.2042 miou=0.6852 niou=0.7554 f1=0.8132 pd=0.9519 fa=0.000063 thr=0.42 time=67.6s
[Epoch 043] loss=0.2040 miou=0.6371 niou=0.7398 f1=0.7783 pd=0.9600 fa=0.000051 thr=0.41 time=67.8s
[Epoch 044] loss=0.2128 miou=0.6886 niou=0.7339 f1=0.8156 pd=0.9617 fa=0.000099 thr=0.41 time=68.1s
[Epoch 045] loss=0.2005 miou=0.7129 niou=0.7692 f1=0.8324 pd=0.9755 fa=0.000017 thr=0.40 time=67.9s
[Epoch 046] loss=0.2030 miou=0.7095 niou=0.7839 f1=0.8301 pd=0.9605 fa=0.000027 thr=0.41 time=67.4s
[Epoch 047] loss=0.2079 miou=0.7378 niou=0.7851 f1=0.8491 pd=0.9781 fa=0.000027 thr=0.41 time=67.3s
[Epoch 048] loss=0.2118 miou=0.6675 niou=0.7319 f1=0.8006 pd=0.9420 fa=0.000082 thr=0.41 time=67.3s
[Epoch 049] loss=0.1986 miou=0.6729 niou=0.7699 f1=0.8045 pd=0.9719 fa=0.000061 thr=0.41 time=67.5s
[Epoch 050] loss=0.2072 miou=0.6798 niou=0.7444 f1=0.8094 pd=0.9583 fa=0.000074 thr=0.41 time=66.8s
[Epoch 051] loss=0.1995 miou=0.6990 niou=0.7553 f1=0.8228 pd=0.9749 fa=0.000028 thr=0.42 time=64.2s
[Epoch 052] loss=0.2031 miou=0.6901 niou=0.7631 f1=0.8166 pd=0.9848 fa=0.000057 thr=0.40 time=67.2s
[Epoch 053] loss=0.2019 miou=0.4838 niou=0.6924 f1=0.6521 pd=0.8762 fa=0.000047 thr=0.39 time=66.8s
[Epoch 054] loss=0.2136 miou=0.7002 niou=0.7240 f1=0.8236 pd=0.9758 fa=0.000040 thr=0.43 time=67.0s
[Epoch 055] loss=0.1947 miou=0.7153 niou=0.7849 f1=0.8340 pd=0.9735 fa=0.000023 thr=0.42 time=66.8s
[Epoch 056] loss=0.1919 miou=0.6991 niou=0.7813 f1=0.8229 pd=0.9716 fa=0.000061 thr=0.40 time=67.2s
[Epoch 057] loss=0.2152 miou=0.7043 niou=0.7749 f1=0.8265 pd=0.9741 fa=0.000075 thr=0.40 time=67.2s
[Epoch 058] loss=0.1996 miou=0.6937 niou=0.7386 f1=0.8192 pd=0.9619 fa=0.000086 thr=0.41 time=67.0s
[Epoch 059] loss=0.1941 miou=0.6717 niou=0.7423 f1=0.8036 pd=0.9641 fa=0.000048 thr=0.41 time=67.2s
[Epoch 060] loss=0.1945 miou=0.6589 niou=0.7471 f1=0.7944 pd=0.9552 fa=0.000027 thr=0.40 time=67.0s
Unfroze at epoch 60: encoder + all heads.
[Epoch 061] loss=0.2362 miou=0.6837 niou=0.7418 f1=0.8121 pd=0.9485 fa=0.000025 thr=0.42 time=71.3s
[Epoch 062] loss=0.2397 miou=0.6946 niou=0.7608 f1=0.8198 pd=0.9899 fa=0.000068 thr=0.40 time=69.3s
[Epoch 063] loss=0.2174 miou=0.6386 niou=0.7548 f1=0.7794 pd=0.9319 fa=0.000050 thr=0.39 time=68.8s
[Epoch 064] loss=0.2138 miou=0.7097 niou=0.7497 f1=0.8302 pd=0.9569 fa=0.000026 thr=0.42 time=71.5s
[Epoch 065] loss=0.2037 miou=0.7199 niou=0.7309 f1=0.8372 pd=0.9899 fa=0.000026 thr=0.43 time=69.8s
[Epoch 066] loss=0.2183 miou=0.6851 niou=0.7470 f1=0.8131 pd=0.9764 fa=0.000033 thr=0.40 time=69.8s
[Epoch 067] loss=0.2098 miou=0.6966 niou=0.7618 f1=0.8212 pd=0.9686 fa=0.000101 thr=0.42 time=69.8s
[Epoch 068] loss=0.2027 miou=0.7182 niou=0.7652 f1=0.8360 pd=0.9849 fa=0.000011 thr=0.41 time=71.6s
[Epoch 069] loss=0.2069 miou=0.7019 niou=0.7576 f1=0.8248 pd=0.9487 fa=0.000005 thr=0.40 time=70.0s
[Epoch 070] loss=0.1997 miou=0.7197 niou=0.7683 f1=0.8370 pd=0.9646 fa=0.000026 thr=0.43 time=69.8s
[Epoch 071] loss=0.1992 miou=0.6777 niou=0.7576 f1=0.8079 pd=0.9798 fa=0.000032 thr=0.41 time=69.8s
[Epoch 072] loss=0.1899 miou=0.7258 niou=0.7786 f1=0.8411 pd=0.9844 fa=0.000031 thr=0.41 time=69.6s
[Epoch 073] loss=0.1997 miou=0.6960 niou=0.7540 f1=0.8207 pd=0.9704 fa=0.000041 thr=0.42 time=69.6s
[Epoch 074] loss=0.2026 miou=0.6912 niou=0.7689 f1=0.8174 pd=0.9424 fa=0.000006 thr=0.39 time=69.7s
[Epoch 075] loss=0.1931 miou=0.7139 niou=0.7561 f1=0.8331 pd=0.9639 fa=0.000078 thr=0.41 time=69.9s
[Epoch 076] loss=0.1952 miou=0.6888 niou=0.7410 f1=0.8158 pd=0.9803 fa=0.000023 thr=0.44 time=69.8s
[Epoch 077] loss=0.2076 miou=0.7080 niou=0.7705 f1=0.8291 pd=0.9728 fa=0.000042 thr=0.42 time=69.6s
[Epoch 078] loss=0.1975 miou=0.7207 niou=0.7377 f1=0.8377 pd=0.9579 fa=0.000006 thr=0.40 time=69.6s
[Epoch 079] loss=0.2034 miou=0.6698 niou=0.7565 f1=0.8022 pd=0.9485 fa=0.000027 thr=0.39 time=69.8s
[Epoch 080] loss=0.1941 miou=0.7226 niou=0.7610 f1=0.8390 pd=0.9559 fa=0.000014 thr=0.42 time=69.8s
[Epoch 081] loss=0.1982 miou=0.7340 niou=0.7748 f1=0.8466 pd=0.9780 fa=0.000010 thr=0.43 time=69.8s
[Epoch 082] loss=0.1875 miou=0.7192 niou=0.7587 f1=0.8367 pd=0.9681 fa=0.000014 thr=0.42 time=69.8s
[Epoch 083] loss=0.1873 miou=0.6896 niou=0.7555 f1=0.8163 pd=0.9476 fa=0.000014 thr=0.40 time=69.8s
[Epoch 084] loss=0.1943 miou=0.6990 niou=0.7599 f1=0.8228 pd=0.9439 fa=0.000039 thr=0.42 time=69.8s
[Epoch 085] loss=0.2115 miou=0.6980 niou=0.7628 f1=0.8221 pd=0.9293 fa=0.000049 thr=0.40 time=69.8s
[Epoch 086] loss=0.1993 miou=0.7099 niou=0.7796 f1=0.8304 pd=0.9579 fa=0.000004 thr=0.41 time=69.9s
[Epoch 087] loss=0.1946 miou=0.7283 niou=0.7701 f1=0.8428 pd=0.9899 fa=0.000025 thr=0.43 time=70.0s
[Epoch 088] loss=0.1926 miou=0.7005 niou=0.7467 f1=0.8239 pd=0.9434 fa=0.000011 thr=0.42 time=69.8s
