Run directory: ./outputs_sam_sirst_hq\IRSTD1k_HQ_mllm_Qwen3_tokenCLIP_BkBiFusionPure_TSP1_TDPxattn03_SC_20260227_200152
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, params=1766336
[Epoch 001] loss=1.0144 miou=0.0000 niou=0.2338 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=59.8s
[Epoch 002] loss=0.7980 miou=0.2416 niou=0.4483 f1=0.3891 pd=0.7005 fa=0.000271 thr=0.40 time=60.6s
[Epoch 003] loss=0.4926 miou=0.3709 niou=0.5703 f1=0.5412 pd=0.8619 fa=0.000461 thr=0.43 time=60.2s
[Epoch 004] loss=0.4035 miou=0.4638 niou=0.6533 f1=0.6337 pd=0.8824 fa=0.000040 thr=0.39 time=60.1s
[Epoch 005] loss=0.3372 miou=0.6125 niou=0.6650 f1=0.7597 pd=0.9531 fa=0.000202 thr=0.45 time=61.6s
[Epoch 006] loss=0.3023 miou=0.6026 niou=0.7028 f1=0.7520 pd=0.9663 fa=0.000076 thr=0.41 time=62.1s
[Epoch 007] loss=0.3015 miou=0.6036 niou=0.6828 f1=0.7528 pd=0.9261 fa=0.000083 thr=0.41 time=58.8s
[Epoch 008] loss=0.2727 miou=0.5772 niou=0.7147 f1=0.7320 pd=0.9175 fa=0.000057 thr=0.39 time=59.1s
[Epoch 009] loss=0.2516 miou=0.6257 niou=0.7073 f1=0.7697 pd=0.9397 fa=0.000082 thr=0.43 time=59.1s
[Epoch 010] loss=0.2698 miou=0.6148 niou=0.7314 f1=0.7615 pd=0.9665 fa=0.000117 thr=0.43 time=59.1s
[Epoch 011] loss=0.2515 miou=0.6027 niou=0.7433 f1=0.7521 pd=0.9524 fa=0.000038 thr=0.40 time=60.0s
[Epoch 012] loss=0.2541 miou=0.6286 niou=0.7492 f1=0.7719 pd=0.9267 fa=0.000034 thr=0.40 time=59.2s
[Epoch 013] loss=0.2388 miou=0.6847 niou=0.7417 f1=0.8128 pd=0.9500 fa=0.000030 thr=0.44 time=58.7s
[Epoch 014] loss=0.2477 miou=0.6122 niou=0.7038 f1=0.7595 pd=0.9324 fa=0.000058 thr=0.40 time=59.4s
[Epoch 015] loss=0.2442 miou=0.6441 niou=0.7221 f1=0.7836 pd=0.9655 fa=0.000090 thr=0.43 time=58.8s
[Epoch 016] loss=0.2329 miou=0.6471 niou=0.7121 f1=0.7858 pd=0.9677 fa=0.000090 thr=0.44 time=59.0s
[Epoch 017] loss=0.2495 miou=0.6352 niou=0.7129 f1=0.7769 pd=0.9698 fa=0.000065 thr=0.41 time=59.0s
[Epoch 018] loss=0.2604 miou=0.7019 niou=0.7252 f1=0.8248 pd=0.9400 fa=0.000030 thr=0.39 time=59.3s
[Epoch 019] loss=0.2346 miou=0.6442 niou=0.7206 f1=0.7836 pd=0.9598 fa=0.000085 thr=0.43 time=59.2s
[Epoch 020] loss=0.2134 miou=0.6436 niou=0.7329 f1=0.7831 pd=0.9497 fa=0.000046 thr=0.39 time=59.3s
[Epoch 021] loss=0.2365 miou=0.6306 niou=0.7496 f1=0.7735 pd=0.9792 fa=0.000033 thr=0.43 time=59.3s
[Epoch 022] loss=0.2401 miou=0.6901 niou=0.7371 f1=0.8166 pd=0.9792 fa=0.000074 thr=0.42 time=59.3s
[Epoch 023] loss=0.2255 miou=0.6571 niou=0.7362 f1=0.7931 pd=0.9643 fa=0.000024 thr=0.42 time=59.0s
[Epoch 024] loss=0.2272 miou=0.6627 niou=0.7305 f1=0.7972 pd=0.9598 fa=0.000133 thr=0.44 time=58.9s
[Epoch 025] loss=0.2259 miou=0.6647 niou=0.7142 f1=0.7986 pd=0.9856 fa=0.000102 thr=0.44 time=58.8s
[Epoch 026] loss=0.2147 miou=0.6962 niou=0.7430 f1=0.8209 pd=0.9463 fa=0.000042 thr=0.43 time=59.0s
[Epoch 027] loss=0.2145 miou=0.6458 niou=0.7528 f1=0.7848 pd=0.9403 fa=0.000033 thr=0.41 time=59.0s
[Epoch 028] loss=0.2060 miou=0.6702 niou=0.7446 f1=0.8025 pd=0.9543 fa=0.000049 thr=0.41 time=58.8s
[Epoch 029] loss=0.2233 miou=0.6972 niou=0.7384 f1=0.8216 pd=0.9694 fa=0.000093 thr=0.43 time=59.4s
[Epoch 030] loss=0.2195 miou=0.7085 niou=0.7604 f1=0.8294 pd=0.9515 fa=0.000015 thr=0.42 time=59.5s
[Epoch 031] loss=0.2072 miou=0.6771 niou=0.7680 f1=0.8074 pd=0.9418 fa=0.000021 thr=0.41 time=59.2s
[Epoch 032] loss=0.2107 miou=0.7033 niou=0.7529 f1=0.8258 pd=0.9645 fa=0.000022 thr=0.40 time=59.6s
[Epoch 033] loss=0.1999 miou=0.7223 niou=0.7448 f1=0.8388 pd=0.9541 fa=0.000013 thr=0.42 time=59.4s
[Epoch 034] loss=0.2194 miou=0.7153 niou=0.7518 f1=0.8340 pd=0.9554 fa=0.000091 thr=0.42 time=59.4s
[Epoch 035] loss=0.2101 miou=0.6925 niou=0.7639 f1=0.8183 pd=0.9534 fa=0.000067 thr=0.40 time=59.3s
[Epoch 036] loss=0.2218 miou=0.7032 niou=0.7596 f1=0.8258 pd=0.9650 fa=0.000093 thr=0.42 time=59.1s
[Epoch 037] loss=0.2220 miou=0.6929 niou=0.7618 f1=0.8186 pd=0.9519 fa=0.000020 thr=0.41 time=59.0s
[Epoch 038] loss=0.1994 miou=0.6830 niou=0.7359 f1=0.8117 pd=0.9534 fa=0.000060 thr=0.40 time=59.2s
[Epoch 039] loss=0.2126 miou=0.6770 niou=0.7682 f1=0.8074 pd=0.9442 fa=0.000076 thr=0.40 time=59.2s
[Epoch 040] loss=0.2087 miou=0.6278 niou=0.7058 f1=0.7714 pd=0.9519 fa=0.000048 thr=0.42 time=59.2s
[Epoch 041] loss=0.2186 miou=0.7073 niou=0.7663 f1=0.8286 pd=0.9677 fa=0.000062 thr=0.43 time=58.9s
[Epoch 042] loss=0.2113 miou=0.6948 niou=0.7628 f1=0.8200 pd=0.9606 fa=0.000051 thr=0.42 time=59.5s
[Epoch 043] loss=0.2198 miou=0.6499 niou=0.7422 f1=0.7878 pd=0.9703 fa=0.000053 thr=0.43 time=59.4s
[Epoch 044] loss=0.1973 miou=0.5995 niou=0.7152 f1=0.7496 pd=0.9500 fa=0.000108 thr=0.41 time=59.5s
[Epoch 045] loss=0.2169 miou=0.6635 niou=0.7595 f1=0.7977 pd=0.9545 fa=0.000064 thr=0.42 time=59.5s
[Epoch 046] loss=0.2075 miou=0.7201 niou=0.7536 f1=0.8373 pd=0.9791 fa=0.000027 thr=0.42 time=60.9s
[Epoch 047] loss=0.1999 miou=0.6949 niou=0.7622 f1=0.8200 pd=0.9508 fa=0.000016 thr=0.40 time=85.8s
[Epoch 048] loss=0.2138 miou=0.7237 niou=0.7744 f1=0.8397 pd=0.9286 fa=0.000024 thr=0.39 time=87.6s
[Epoch 049] loss=0.1971 miou=0.7118 niou=0.7640 f1=0.8316 pd=0.9777 fa=0.000030 thr=0.41 time=70.8s
[Epoch 050] loss=0.2082 miou=0.7049 niou=0.7453 f1=0.8269 pd=0.9691 fa=0.000025 thr=0.43 time=61.0s
[Epoch 051] loss=0.2055 miou=0.7078 niou=0.7692 f1=0.8289 pd=0.9802 fa=0.000006 thr=0.39 time=61.6s
[Epoch 052] loss=0.2092 miou=0.7077 niou=0.7707 f1=0.8288 pd=0.9686 fa=0.000050 thr=0.41 time=62.6s
[Epoch 053] loss=0.2069 miou=0.7170 niou=0.7608 f1=0.8351 pd=0.9660 fa=0.000010 thr=0.41 time=82.3s
[Epoch 054] loss=0.1953 miou=0.6702 niou=0.7500 f1=0.8026 pd=0.9502 fa=0.000055 thr=0.43 time=62.1s
[Epoch 055] loss=0.1975 miou=0.7319 niou=0.7771 f1=0.8452 pd=0.9531 fa=0.000014 thr=0.40 time=61.0s
[Epoch 056] loss=0.1978 miou=0.6968 niou=0.7678 f1=0.8213 pd=0.9721 fa=0.000027 thr=0.41 time=61.2s
[Epoch 057] loss=0.1988 miou=0.7071 niou=0.7642 f1=0.8284 pd=0.9548 fa=0.000059 thr=0.41 time=61.2s
[Epoch 058] loss=0.1978 miou=0.6974 niou=0.7677 f1=0.8217 pd=0.9686 fa=0.000053 thr=0.43 time=61.4s
[Epoch 059] loss=0.1914 miou=0.6946 niou=0.7642 f1=0.8198 pd=0.9852 fa=0.000036 thr=0.41 time=61.2s
[Epoch 060] loss=0.2000 miou=0.6869 niou=0.7589 f1=0.8144 pd=0.9707 fa=0.000014 thr=0.41 time=61.2s
Unfroze at epoch 60: encoder + all heads.
[Epoch 061] loss=0.2765 miou=0.6235 niou=0.7145 f1=0.7681 pd=0.9505 fa=0.000080 thr=0.42 time=65.2s
[Epoch 062] loss=0.2327 miou=0.6296 niou=0.7413 f1=0.7727 pd=0.9492 fa=0.000184 thr=0.45 time=65.0s
[Epoch 063] loss=0.2285 miou=0.6697 niou=0.7423 f1=0.8022 pd=0.9307 fa=0.000005 thr=0.39 time=65.2s
[Epoch 064] loss=0.2105 miou=0.6546 niou=0.7439 f1=0.7912 pd=0.9590 fa=0.000048 thr=0.41 time=65.3s
[Epoch 065] loss=0.2164 miou=0.6699 niou=0.7480 f1=0.8023 pd=0.9706 fa=0.000032 thr=0.42 time=65.2s
[Epoch 066] loss=0.2243 miou=0.6992 niou=0.7317 f1=0.8230 pd=0.9655 fa=0.000021 thr=0.45 time=65.0s
[Epoch 067] loss=0.2182 miou=0.6936 niou=0.7632 f1=0.8191 pd=0.9492 fa=0.000028 thr=0.41 time=65.0s
[Epoch 068] loss=0.2189 miou=0.6864 niou=0.7567 f1=0.8140 pd=0.9706 fa=0.000013 thr=0.40 time=65.2s
[Epoch 069] loss=0.2019 miou=0.6952 niou=0.7620 f1=0.8202 pd=0.9590 fa=0.000049 thr=0.41 time=65.2s
[Epoch 070] loss=0.2175 miou=0.7121 niou=0.7565 f1=0.8318 pd=0.9684 fa=0.000047 thr=0.42 time=65.2s
[Epoch 071] loss=0.2074 miou=0.6698 niou=0.7625 f1=0.8022 pd=0.9534 fa=0.000036 thr=0.41 time=65.0s
[Epoch 072] loss=0.2176 miou=0.6853 niou=0.7438 f1=0.8133 pd=0.9641 fa=0.000041 thr=0.41 time=65.2s
[Epoch 073] loss=0.2113 miou=0.6489 niou=0.7449 f1=0.7871 pd=0.9526 fa=0.000036 thr=0.42 time=65.0s
[Epoch 074] loss=0.2022 miou=0.7138 niou=0.7578 f1=0.8330 pd=0.9541 fa=0.000018 thr=0.42 time=65.2s
[Epoch 075] loss=0.2056 miou=0.7105 niou=0.7709 f1=0.8308 pd=0.9684 fa=0.000086 thr=0.41 time=65.0s
[Epoch 076] loss=0.2018 miou=0.6924 niou=0.7706 f1=0.8183 pd=0.9799 fa=0.000017 thr=0.41 time=65.0s
[Epoch 077] loss=0.2040 miou=0.6798 niou=0.7846 f1=0.8094 pd=0.9524 fa=0.000048 thr=0.40 time=65.2s
[Epoch 078] loss=0.2004 miou=0.6798 niou=0.7664 f1=0.8093 pd=0.9795 fa=0.000053 thr=0.41 time=65.2s
[Epoch 079] loss=0.2110 miou=0.7118 niou=0.7507 f1=0.8316 pd=0.9846 fa=0.000023 thr=0.42 time=65.0s
[Epoch 080] loss=0.2060 miou=0.7116 niou=0.7636 f1=0.8315 pd=0.9665 fa=0.000017 thr=0.43 time=65.2s
[Epoch 081] loss=0.2211 miou=0.7053 niou=0.7437 f1=0.8272 pd=0.9476 fa=0.000059 thr=0.40 time=65.0s
[Epoch 082] loss=0.2128 miou=0.6398 niou=0.7642 f1=0.7804 pd=0.9468 fa=0.000012 thr=0.39 time=65.0s
[Epoch 083] loss=0.2024 miou=0.7189 niou=0.7690 f1=0.8365 pd=0.9750 fa=0.000015 thr=0.40 time=65.0s
[Epoch 084] loss=0.1882 miou=0.7404 niou=0.7857 f1=0.8508 pd=0.9837 fa=0.000008 thr=0.40 time=65.0s
[Epoch 085] loss=0.1988 miou=0.7076 niou=0.7722 f1=0.8288 pd=0.9323 fa=0.000100 thr=0.42 time=65.0s
[Epoch 086] loss=0.1949 miou=0.7073 niou=0.7688 f1=0.8285 pd=0.9485 fa=0.000042 thr=0.42 time=65.0s
[Epoch 087] loss=0.1914 miou=0.7251 niou=0.7922 f1=0.8406 pd=0.9780 fa=0.000021 thr=0.40 time=64.8s
[Epoch 088] loss=0.2018 miou=0.7259 niou=0.7863 f1=0.8412 pd=0.9838 fa=0.000008 thr=0.41 time=64.7s
[Epoch 089] loss=0.1929 miou=0.7002 niou=0.7600 f1=0.8237 pd=0.9655 fa=0.000047 thr=0.41 time=65.2s
[Epoch 090] loss=0.1920 miou=0.6871 niou=0.7621 f1=0.8145 pd=0.9734 fa=0.000048 thr=0.41 time=65.1s
[Epoch 091] loss=0.1931 miou=0.6978 niou=0.7701 f1=0.8220 pd=0.9840 fa=0.000076 thr=0.42 time=65.0s
[Epoch 092] loss=0.1935 miou=0.7253 niou=0.7731 f1=0.8408 pd=0.9850 fa=0.000009 thr=0.43 time=65.2s
