Run directory: ./outputs_sam_sirst_hq/NUAA-SIRST_model-vitt_size256_HQ_RadialGate_SelfPrompt_SCPreproc_bs4_e1000_kp1_split-50_50_20260215_231443
Initialized Self-Prompting Head (pos_k=3, neg_k=2, heatmap_w=1.0, gt_ratio=0.5, params=184,641)
[Epoch 001] loss=1.4561 miou=0.0421 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=19.1s
[Epoch 002] loss=1.1327 miou=0.0310 niou=0.0310 f1=0.0313 pd=0.2789 fa=0.000025 thr=0.36 time=16.7s
[Epoch 003] loss=0.9731 miou=0.3852 niou=0.3852 f1=0.4878 pd=0.9213 fa=0.001481 thr=0.45 time=15.9s
[Epoch 004] loss=0.6964 miou=0.4649 niou=0.4649 f1=0.5433 pd=0.8502 fa=0.000574 thr=0.42 time=16.9s
[Epoch 005] loss=0.6196 miou=0.4901 niou=0.4901 f1=0.6002 pd=0.9562 fa=0.000896 thr=0.45 time=17.1s
[Epoch 006] loss=0.5945 miou=0.5009 niou=0.5009 f1=0.6038 pd=0.9258 fa=0.000572 thr=0.43 time=16.8s
[Epoch 007] loss=0.5662 miou=0.5172 niou=0.5172 f1=0.6221 pd=0.9609 fa=0.000638 thr=0.45 time=16.7s
[Epoch 008] loss=0.5657 miou=0.5269 niou=0.5269 f1=0.6346 pd=0.9291 fa=0.000432 thr=0.44 time=16.7s
[Epoch 009] loss=0.5282 miou=0.5464 niou=0.5464 f1=0.6247 pd=0.9350 fa=0.000475 thr=0.44 time=16.7s
[Epoch 010] loss=0.5262 miou=0.5410 niou=0.5410 f1=0.6430 pd=0.9529 fa=0.000411 thr=0.44 time=17.0s
[Epoch 011] loss=0.5263 miou=0.5444 niou=0.5444 f1=0.6508 pd=0.9524 fa=0.000417 thr=0.43 time=17.0s
[Epoch 012] loss=0.4847 miou=0.5644 niou=0.5644 f1=0.6508 pd=0.9442 fa=0.000257 thr=0.42 time=17.0s
[Epoch 013] loss=0.4727 miou=0.5642 niou=0.5642 f1=0.6553 pd=0.9647 fa=0.000222 thr=0.42 time=17.1s
[Epoch 014] loss=0.4868 miou=0.5668 niou=0.5668 f1=0.6556 pd=0.9639 fa=0.000310 thr=0.44 time=17.0s
[Epoch 015] loss=0.4594 miou=0.5666 niou=0.5666 f1=0.6754 pd=0.9528 fa=0.000238 thr=0.43 time=17.0s
[Epoch 016] loss=0.4499 miou=0.5776 niou=0.5776 f1=0.6850 pd=0.9687 fa=0.000368 thr=0.46 time=17.0s
[Epoch 017] loss=0.4206 miou=0.5931 niou=0.5931 f1=0.6860 pd=0.9723 fa=0.000244 thr=0.44 time=17.0s
[Epoch 018] loss=0.4168 miou=0.5757 niou=0.5757 f1=0.6773 pd=0.9639 fa=0.000274 thr=0.44 time=16.8s
[Epoch 019] loss=0.4578 miou=0.5917 niou=0.5917 f1=0.6857 pd=0.9680 fa=0.000187 thr=0.42 time=17.0s
[Epoch 020] loss=0.4189 miou=0.5802 niou=0.5802 f1=0.6968 pd=0.9647 fa=0.000245 thr=0.44 time=16.7s
[Epoch 021] loss=0.4128 miou=0.6021 niou=0.6021 f1=0.6990 pd=0.9444 fa=0.000185 thr=0.43 time=17.1s
[Epoch 022] loss=0.4342 miou=0.5920 niou=0.5920 f1=0.6855 pd=0.9520 fa=0.000157 thr=0.42 time=17.0s
[Epoch 023] loss=0.4154 miou=0.6135 niou=0.6135 f1=0.7118 pd=0.9605 fa=0.000215 thr=0.43 time=16.8s
[Epoch 024] loss=0.4279 miou=0.6074 niou=0.6074 f1=0.7108 pd=0.9721 fa=0.000151 thr=0.42 time=16.7s
[Epoch 025] loss=0.3924 miou=0.6222 niou=0.6222 f1=0.7180 pd=0.9762 fa=0.000163 thr=0.44 time=16.6s
[Epoch 026] loss=0.3933 miou=0.5948 niou=0.5948 f1=0.6872 pd=0.9598 fa=0.000108 thr=0.40 time=16.8s
[Epoch 027] loss=0.4240 miou=0.5906 niou=0.5906 f1=0.6998 pd=0.9602 fa=0.000166 thr=0.43 time=16.9s
[Epoch 028] loss=0.4026 miou=0.6145 niou=0.6145 f1=0.7104 pd=0.9646 fa=0.000172 thr=0.42 time=16.7s
[Epoch 029] loss=0.4179 miou=0.6219 niou=0.6219 f1=0.6972 pd=0.9549 fa=0.000140 thr=0.41 time=16.9s
[Epoch 030] loss=0.4021 miou=0.6077 niou=0.6077 f1=0.7187 pd=0.9725 fa=0.000235 thr=0.43 time=16.9s
[Epoch 031] loss=0.3734 miou=0.6368 niou=0.6368 f1=0.7178 pd=0.9567 fa=0.000120 thr=0.41 time=16.9s
[Epoch 032] loss=0.3939 miou=0.6220 niou=0.6220 f1=0.7164 pd=0.9683 fa=0.000173 thr=0.44 time=17.0s
