Run directory: ./outputs_sam_sirst_hq/NUAA-SIRST_model-vitt_size256_HQ_RadialGate_SelfPrompt_ValFixed_SCPreproc_bs4_e1000_kp1_split-50_50_20260216_152526
Initialized Self-Prompting Head (pos_k=3, neg_k=2, heatmap_w=1.0, gt_ratio=0.5, params=184,641)
[Epoch 001] loss=3.8741 miou=0.0423 niou=0.0423 f1=0.0006 pd=0.0080 fa=0.000000 thr=0.35 time=18.7s
[Epoch 002] loss=2.6249 miou=0.1389 niou=0.1389 f1=0.2014 pd=0.7835 fa=0.000370 thr=0.40 time=16.7s
[Epoch 003] loss=1.7869 miou=0.3985 niou=0.3985 f1=0.4874 pd=0.9206 fa=0.001161 thr=0.44 time=16.5s
[Epoch 004] loss=1.3288 miou=0.4577 niou=0.4577 f1=0.5708 pd=0.9496 fa=0.001128 thr=0.45 time=16.7s
[Epoch 005] loss=1.1115 miou=0.5046 niou=0.5046 f1=0.5903 pd=0.9400 fa=0.000807 thr=0.45 time=16.7s
[Epoch 006] loss=0.9005 miou=0.5033 niou=0.5033 f1=0.6211 pd=0.9189 fa=0.000533 thr=0.44 time=16.5s
[Epoch 007] loss=0.8211 miou=0.5087 niou=0.5087 f1=0.6032 pd=0.9680 fa=0.000679 thr=0.45 time=16.8s
[Epoch 008] loss=0.7178 miou=0.5106 niou=0.5106 f1=0.6149 pd=0.9449 fa=0.000471 thr=0.44 time=16.8s
[Epoch 009] loss=0.7037 miou=0.5452 niou=0.5452 f1=0.6145 pd=0.9390 fa=0.000475 thr=0.43 time=16.8s
[Epoch 010] loss=0.6320 miou=0.5382 niou=0.5382 f1=0.6362 pd=0.9380 fa=0.000366 thr=0.42 time=16.7s
[Epoch 011] loss=0.5970 miou=0.5267 niou=0.5267 f1=0.6330 pd=0.9516 fa=0.000333 thr=0.43 time=16.5s
[Epoch 012] loss=0.5906 miou=0.5202 niou=0.5202 f1=0.6334 pd=0.9723 fa=0.000549 thr=0.44 time=16.5s
[Epoch 013] loss=0.5773 miou=0.5414 niou=0.5414 f1=0.6229 pd=0.9280 fa=0.000283 thr=0.42 time=16.6s
[Epoch 014] loss=0.5466 miou=0.5569 niou=0.5569 f1=0.6562 pd=0.9526 fa=0.000296 thr=0.43 time=16.5s
[Epoch 015] loss=0.5203 miou=0.5588 niou=0.5588 f1=0.6588 pd=0.9524 fa=0.000325 thr=0.44 time=16.8s
[Epoch 016] loss=0.4870 miou=0.5537 niou=0.5537 f1=0.6626 pd=0.9490 fa=0.000237 thr=0.41 time=16.6s
[Epoch 017] loss=0.4925 miou=0.5339 niou=0.5339 f1=0.6365 pd=0.9798 fa=0.000468 thr=0.47 time=16.3s
[Epoch 018] loss=0.4915 miou=0.5787 niou=0.5787 f1=0.6708 pd=0.9720 fa=0.000306 thr=0.44 time=16.3s
[Epoch 019] loss=0.4749 miou=0.5715 niou=0.5715 f1=0.6738 pd=0.9722 fa=0.000357 thr=0.44 time=16.3s
[Epoch 020] loss=0.4739 miou=0.5908 niou=0.5908 f1=0.6832 pd=0.9644 fa=0.000269 thr=0.44 time=16.3s
[Epoch 021] loss=0.4624 miou=0.5953 niou=0.5953 f1=0.6927 pd=0.9606 fa=0.000220 thr=0.42 time=16.3s
[Epoch 022] loss=0.4559 miou=0.5746 niou=0.5746 f1=0.6963 pd=0.9728 fa=0.000263 thr=0.43 time=16.7s
[Epoch 023] loss=0.4743 miou=0.6069 niou=0.6069 f1=0.6837 pd=0.9640 fa=0.000190 thr=0.44 time=16.9s
[Epoch 024] loss=0.4614 miou=0.5555 niou=0.5555 f1=0.6632 pd=0.9686 fa=0.000271 thr=0.44 time=16.9s
[Epoch 025] loss=0.4623 miou=0.5977 niou=0.5977 f1=0.7068 pd=0.9651 fa=0.000154 thr=0.42 time=16.8s
[Epoch 026] loss=0.4382 miou=0.5925 niou=0.5925 f1=0.7006 pd=0.9646 fa=0.000191 thr=0.43 time=16.8s
[Epoch 027] loss=0.4503 miou=0.5907 niou=0.5907 f1=0.7038 pd=0.9609 fa=0.000165 thr=0.42 time=16.8s
[Epoch 028] loss=0.4445 miou=0.5818 niou=0.5818 f1=0.6920 pd=0.9727 fa=0.000260 thr=0.46 time=16.7s
[Epoch 029] loss=0.4360 miou=0.6015 niou=0.6015 f1=0.7100 pd=0.9684 fa=0.000191 thr=0.43 time=16.8s
[Epoch 030] loss=0.4270 miou=0.5554 niou=0.5554 f1=0.6682 pd=0.9841 fa=0.000409 thr=0.48 time=16.8s
[Epoch 031] loss=0.4206 miou=0.6153 niou=0.6153 f1=0.7164 pd=0.9569 fa=0.000156 thr=0.42 time=16.8s
[Epoch 032] loss=0.4142 miou=0.6192 niou=0.6192 f1=0.7066 pd=0.9721 fa=0.000151 thr=0.42 time=16.8s
[Epoch 033] loss=0.4047 miou=0.6046 niou=0.6046 f1=0.6983 pd=0.9718 fa=0.000213 thr=0.43 time=16.7s
[Epoch 034] loss=0.4069 miou=0.5852 niou=0.5852 f1=0.6956 pd=0.9644 fa=0.000231 thr=0.44 time=16.7s
[Epoch 035] loss=0.4268 miou=0.5973 niou=0.5973 f1=0.6877 pd=0.9684 fa=0.000223 thr=0.44 time=16.7s
[Epoch 036] loss=0.4171 miou=0.5952 niou=0.5952 f1=0.7021 pd=0.9644 fa=0.000215 thr=0.44 time=16.7s
[Epoch 037] loss=0.4114 miou=0.6064 niou=0.6064 f1=0.6993 pd=0.9727 fa=0.000151 thr=0.41 time=16.9s
[Epoch 038] loss=0.3961 miou=0.6014 niou=0.6014 f1=0.7150 pd=0.9724 fa=0.000191 thr=0.43 time=16.9s
[Epoch 039] loss=0.4083 miou=0.6221 niou=0.6221 f1=0.7031 pd=0.9640 fa=0.000142 thr=0.42 time=16.7s
[Epoch 040] loss=0.4021 miou=0.6160 niou=0.6160 f1=0.7049 pd=0.9722 fa=0.000172 thr=0.43 time=16.9s
[Epoch 041] loss=0.4200 miou=0.6087 niou=0.6087 f1=0.7132 pd=0.9681 fa=0.000178 thr=0.43 time=16.2s
[Epoch 042] loss=0.3869 miou=0.6361 niou=0.6361 f1=0.7161 pd=0.9684 fa=0.000115 thr=0.42 time=16.2s
[Epoch 043] loss=0.3979 miou=0.6262 niou=0.6262 f1=0.7188 pd=0.9447 fa=0.000161 thr=0.43 time=16.8s
[Epoch 044] loss=0.3760 miou=0.6040 niou=0.6040 f1=0.7064 pd=0.9602 fa=0.000177 thr=0.44 time=17.0s
[Epoch 045] loss=0.3783 miou=0.5954 niou=0.5954 f1=0.6782 pd=0.9598 fa=0.000227 thr=0.43 time=17.2s
[Epoch 046] loss=0.3718 miou=0.6059 niou=0.6059 f1=0.7085 pd=0.9569 fa=0.000188 thr=0.44 time=16.9s
[Epoch 047] loss=0.3846 miou=0.6183 niou=0.6183 f1=0.7310 pd=0.9653 fa=0.000162 thr=0.43 time=17.0s
[Epoch 048] loss=0.3894 miou=0.5889 niou=0.5889 f1=0.6789 pd=0.9800 fa=0.000244 thr=0.46 time=16.5s
[Epoch 049] loss=0.3816 miou=0.6211 niou=0.6211 f1=0.7175 pd=0.9531 fa=0.000146 thr=0.42 time=16.8s
[Epoch 050] loss=0.3767 miou=0.6106 niou=0.6106 f1=0.6856 pd=0.9603 fa=0.000138 thr=0.41 time=17.0s
[Epoch 051] loss=0.3796 miou=0.6244 niou=0.6244 f1=0.7069 pd=0.9680 fa=0.000183 thr=0.43 time=17.0s
