Run directory: ./outputs_sam_sirst_hq/NUAA-SIRST_model-vitt_size256_HQ_RadialGate_TextSelfPrompt_SCPreproc_bs4_e1000_kp1_split-50_50_20260220_102337
Initialized Self-Prompting Head (pos_k=3, neg_k=2, heatmap_w=1.0, gt_ratio=0.3, params=184,641)
Initialized Text-Guided Prompting (n_ctx=4, dim=512, clip=ViT-B/32, prompt_params=1,575,936, cond_params=66,112)
[Epoch 001] loss=5.3025 miou=0.0607 niou=0.0607 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=19.3s
[Epoch 002] loss=1.3788 miou=0.0637 niou=0.0637 f1=0.0565 pd=0.4016 fa=0.000060 thr=0.36 time=16.6s
[Epoch 003] loss=0.9418 miou=0.4008 niou=0.4008 f1=0.4998 pd=0.9219 fa=0.001853 thr=0.47 time=16.6s
[Epoch 004] loss=0.7306 miou=0.4557 niou=0.4557 f1=0.5528 pd=0.8884 fa=0.000988 thr=0.44 time=17.0s
[Epoch 005] loss=0.6406 miou=0.4778 niou=0.4778 f1=0.5840 pd=0.9409 fa=0.000789 thr=0.45 time=16.8s
[Epoch 006] loss=0.5971 miou=0.5104 niou=0.5104 f1=0.6076 pd=0.9368 fa=0.000573 thr=0.45 time=16.7s
[Epoch 007] loss=0.5741 miou=0.5094 niou=0.5094 f1=0.6106 pd=0.9213 fa=0.000345 thr=0.44 time=16.8s
[Epoch 008] loss=0.5621 miou=0.5212 niou=0.5212 f1=0.6339 pd=0.9453 fa=0.000515 thr=0.45 time=16.4s
[Epoch 009] loss=0.5400 miou=0.5220 niou=0.5220 f1=0.6262 pd=0.9529 fa=0.000712 thr=0.47 time=16.8s
[Epoch 010] loss=0.5202 miou=0.5258 niou=0.5258 f1=0.6122 pd=0.9320 fa=0.000350 thr=0.40 time=16.9s
[Epoch 011] loss=0.5309 miou=0.5082 niou=0.5082 f1=0.6120 pd=0.9558 fa=0.000719 thr=0.47 time=17.3s
[Epoch 012] loss=0.5232 miou=0.5181 niou=0.5181 f1=0.6125 pd=0.9438 fa=0.000435 thr=0.45 time=17.5s
[Epoch 013] loss=0.4854 miou=0.5313 niou=0.5313 f1=0.6199 pd=0.9051 fa=0.000199 thr=0.39 time=17.3s
[Epoch 014] loss=0.4830 miou=0.5512 niou=0.5512 f1=0.6454 pd=0.9676 fa=0.000336 thr=0.42 time=17.1s
[Epoch 015] loss=0.4848 miou=0.5411 niou=0.5411 f1=0.6517 pd=0.9600 fa=0.000365 thr=0.44 time=17.1s
[Epoch 016] loss=0.4631 miou=0.5637 niou=0.5637 f1=0.6714 pd=0.9449 fa=0.000277 thr=0.43 time=17.3s
[Epoch 017] loss=0.4440 miou=0.5674 niou=0.5674 f1=0.6656 pd=0.9368 fa=0.000217 thr=0.43 time=17.3s
[Epoch 018] loss=0.4684 miou=0.5781 niou=0.5781 f1=0.6705 pd=0.9563 fa=0.000245 thr=0.43 time=17.2s
[Epoch 019] loss=0.4650 miou=0.5681 niou=0.5681 f1=0.6560 pd=0.9438 fa=0.000290 thr=0.42 time=17.1s
[Epoch 020] loss=0.4478 miou=0.5778 niou=0.5778 f1=0.6642 pd=0.9402 fa=0.000214 thr=0.43 time=17.0s
[Epoch 021] loss=0.4408 miou=0.5612 niou=0.5612 f1=0.6673 pd=0.9679 fa=0.000472 thr=0.46 time=16.9s
[Epoch 022] loss=0.4210 miou=0.5893 niou=0.5893 f1=0.6794 pd=0.9405 fa=0.000176 thr=0.41 time=16.8s
[Epoch 023] loss=0.4406 miou=0.5701 niou=0.5701 f1=0.6859 pd=0.9612 fa=0.000355 thr=0.46 time=17.0s
[Epoch 024] loss=0.4237 miou=0.5752 niou=0.5752 f1=0.6680 pd=0.9720 fa=0.000206 thr=0.42 time=17.0s
[Epoch 025] loss=0.4407 miou=0.5744 niou=0.5744 f1=0.6814 pd=0.9650 fa=0.000275 thr=0.44 time=17.1s
[Epoch 026] loss=0.4386 miou=0.5778 niou=0.5778 f1=0.6857 pd=0.9722 fa=0.000176 thr=0.41 time=16.7s
[Epoch 027] loss=0.4143 miou=0.5765 niou=0.5765 f1=0.6765 pd=0.9801 fa=0.000154 thr=0.41 time=17.2s
[Epoch 028] loss=0.4340 miou=0.6019 niou=0.6019 f1=0.6805 pd=0.9717 fa=0.000216 thr=0.42 time=17.0s
[Epoch 029] loss=0.4090 miou=0.5784 niou=0.5784 f1=0.6806 pd=0.9804 fa=0.000274 thr=0.44 time=17.2s
[Epoch 030] loss=0.4071 miou=0.5823 niou=0.5823 f1=0.6888 pd=0.9640 fa=0.000177 thr=0.44 time=17.3s
[Epoch 031] loss=0.4118 miou=0.5967 niou=0.5967 f1=0.6846 pd=0.9680 fa=0.000207 thr=0.42 time=17.4s
[Epoch 032] loss=0.3898 miou=0.5892 niou=0.5892 f1=0.6858 pd=0.9605 fa=0.000209 thr=0.44 time=17.1s
[Epoch 033] loss=0.4023 miou=0.5920 niou=0.5920 f1=0.6975 pd=0.9643 fa=0.000214 thr=0.43 time=16.8s
[Epoch 034] loss=0.3851 miou=0.5961 niou=0.5961 f1=0.6963 pd=0.9686 fa=0.000218 thr=0.41 time=16.7s
[Epoch 035] loss=0.4070 miou=0.6050 niou=0.6050 f1=0.6890 pd=0.9756 fa=0.000213 thr=0.43 time=16.4s
[Epoch 036] loss=0.3851 miou=0.6004 niou=0.6004 f1=0.6851 pd=0.9798 fa=0.000205 thr=0.43 time=16.9s
[Epoch 037] loss=0.3952 miou=0.5945 niou=0.5945 f1=0.6875 pd=0.9565 fa=0.000172 thr=0.42 time=17.1s
[Epoch 038] loss=0.4042 miou=0.5908 niou=0.5908 f1=0.6796 pd=0.9677 fa=0.000164 thr=0.42 time=17.5s
