Run directory: ./outputs_sam_sirst_hq/NUAA-SIRST_model-vitt_size256_HQ_TextMaskAware_ITC_SCPreproc_bs4_e1000_kp1_msfxpixels0_split-50_50_20260221_092636
Initialized Self-Prompting Head (pos_k=3, neg_k=2, heatmap_w=1.0, gt_ratio=0.3, params=184,641)
Initialized Text-Guided Prompting (n_ctx=4, dim=512, clip=ViT-B/32, prompt_params=1,580,032, cond_params=66,112)
Text classes enabled: 0=no-target, 1=single-target, 2=multi-target (min_area=2)
Initialized Text Alignment Head (proj_dim=256, temp_init=0.07, params=197,121, weight=0.1)
[Epoch 001] loss=2.8974 miou=0.0189 niou=0.0189 f1=0.0003 pd=0.0039 fa=0.000001 thr=0.35 time=19.9s
[Epoch 002] loss=1.8397 miou=0.1015 niou=0.1015 f1=0.1206 pd=0.5968 fa=0.000180 thr=0.39 time=17.4s
[Epoch 003] loss=1.3844 miou=0.3652 niou=0.3652 f1=0.4705 pd=0.9124 fa=0.001317 thr=0.46 time=17.3s
[Epoch 004] loss=0.8982 miou=0.4683 niou=0.4683 f1=0.5762 pd=0.9490 fa=0.000998 thr=0.46 time=17.1s
[Epoch 005] loss=0.7210 miou=0.5004 niou=0.5004 f1=0.6098 pd=0.9412 fa=0.000692 thr=0.45 time=17.0s
[Epoch 006] loss=0.6822 miou=0.4993 niou=0.4993 f1=0.5984 pd=0.9605 fa=0.000662 thr=0.45 time=16.9s
[Epoch 007] loss=0.6234 miou=0.5047 niou=0.5047 f1=0.6074 pd=0.9365 fa=0.000606 thr=0.45 time=16.8s
[Epoch 008] loss=0.6053 miou=0.5276 niou=0.5276 f1=0.6374 pd=0.9565 fa=0.000486 thr=0.45 time=17.5s
[Epoch 009] loss=0.5913 miou=0.5215 niou=0.5215 f1=0.6068 pd=0.9325 fa=0.000310 thr=0.43 time=17.5s
[Epoch 010] loss=0.5615 miou=0.5439 niou=0.5439 f1=0.6495 pd=0.9412 fa=0.000356 thr=0.43 time=17.2s
[Epoch 011] loss=0.5625 miou=0.5591 niou=0.5591 f1=0.6646 pd=0.9690 fa=0.000426 thr=0.44 time=17.6s
[Epoch 012] loss=0.5500 miou=0.5470 niou=0.5470 f1=0.6438 pd=0.9643 fa=0.000412 thr=0.45 time=17.5s
[Epoch 013] loss=0.5274 miou=0.5465 niou=0.5465 f1=0.6569 pd=0.9492 fa=0.000267 thr=0.43 time=16.9s
[Epoch 014] loss=0.5483 miou=0.5416 niou=0.5416 f1=0.6489 pd=0.9453 fa=0.000269 thr=0.42 time=17.4s
[Epoch 015] loss=0.5183 miou=0.5557 niou=0.5557 f1=0.6523 pd=0.9637 fa=0.000289 thr=0.43 time=16.9s
[Epoch 016] loss=0.5174 miou=0.5512 niou=0.5512 f1=0.6534 pd=0.9606 fa=0.000426 thr=0.45 time=17.1s
[Epoch 017] loss=0.5104 miou=0.5793 niou=0.5793 f1=0.6462 pd=0.9676 fa=0.000228 thr=0.43 time=17.0s
