Run directory: ./outputs_sam_sirst_hq/NUAA-SIRST_model-vitt_size256_HQ_mllm_Qwen3_tokenCLIP_GatedBkBiFusion_NoFiLM_TSP1rawGate_TDPxattn03_SC_bs4_e1000_kp1_msfxpixels0_split-50_50_20260302_101355
MLLM TextConditioner disabled by --disable_text_conditioner.
Text sparse prompt enabled: source=raw_global, tokens=1, gate=True, params=264449
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Gated Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=2, gate_hidden=0, gate_bias=-2.0, params=2163392
[Epoch 001] loss=1.4355 miou=0.0701 niou=0.0701 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=27.8s
[Epoch 002] loss=1.1513 miou=0.0398 niou=0.0398 f1=0.0220 pd=0.1890 fa=0.000035 thr=0.40 time=26.1s
[Epoch 003] loss=0.9326 miou=0.3741 niou=0.3741 f1=0.4751 pd=0.9094 fa=0.002366 thr=0.49 time=26.2s
[Epoch 004] loss=0.7154 miou=0.4249 niou=0.4249 f1=0.5260 pd=0.9180 fa=0.001228 thr=0.48 time=26.3s
[Epoch 005] loss=0.6531 miou=0.4676 niou=0.4676 f1=0.5589 pd=0.8675 fa=0.000523 thr=0.46 time=26.5s
[Epoch 006] loss=0.6035 miou=0.4903 niou=0.4903 f1=0.5957 pd=0.9130 fa=0.000715 thr=0.48 time=26.3s
[Epoch 007] loss=0.5433 miou=0.5051 niou=0.5051 f1=0.6159 pd=0.9488 fa=0.000575 thr=0.48 time=26.4s
[Epoch 008] loss=0.4545 miou=0.5652 niou=0.5652 f1=0.6561 pd=0.9405 fa=0.000320 thr=0.46 time=26.4s
[Epoch 009] loss=0.4074 miou=0.6085 niou=0.6085 f1=0.7018 pd=0.9490 fa=0.000147 thr=0.45 time=26.3s
[Epoch 010] loss=0.3559 miou=0.5953 niou=0.5953 f1=0.6782 pd=0.9518 fa=0.000236 thr=0.47 time=26.5s
Unfroze at epoch 10: encoder + all heads.
[Epoch 011] loss=0.4136 miou=0.6280 niou=0.6280 f1=0.7336 pd=0.9689 fa=0.000178 thr=0.47 time=28.8s
[Epoch 012] loss=0.3870 miou=0.6431 niou=0.6431 f1=0.7308 pd=0.9520 fa=0.000122 thr=0.45 time=28.6s
[Epoch 013] loss=0.3408 miou=0.6106 niou=0.6106 f1=0.7034 pd=0.9048 fa=0.000084 thr=0.45 time=28.6s
[Epoch 014] loss=0.3526 miou=0.6566 niou=0.6566 f1=0.7275 pd=0.9593 fa=0.000085 thr=0.45 time=28.5s
[Epoch 015] loss=0.2983 miou=0.6939 niou=0.6939 f1=0.7677 pd=0.9880 fa=0.000066 thr=0.45 time=28.6s
[Epoch 016] loss=0.2805 miou=0.7042 niou=0.7042 f1=0.7660 pd=0.9796 fa=0.000049 thr=0.44 time=28.5s
[Epoch 017] loss=0.2626 miou=0.7177 niou=0.7177 f1=0.7777 pd=0.9718 fa=0.000085 thr=0.44 time=28.5s
[Epoch 018] loss=0.2612 miou=0.6777 niou=0.6777 f1=0.7630 pd=0.9804 fa=0.000065 thr=0.45 time=28.6s
[Epoch 019] loss=0.2445 miou=0.6975 niou=0.6975 f1=0.7540 pd=0.9757 fa=0.000054 thr=0.43 time=28.6s
[Epoch 020] loss=0.2630 miou=0.7084 niou=0.7084 f1=0.7779 pd=0.9722 fa=0.000045 thr=0.45 time=28.6s
[Epoch 021] loss=0.2376 miou=0.7446 niou=0.7446 f1=0.8289 pd=0.9843 fa=0.000040 thr=0.45 time=28.5s
[Epoch 022] loss=0.1954 miou=0.7481 niou=0.7481 f1=0.8213 pd=0.9882 fa=0.000036 thr=0.44 time=28.6s
[Epoch 023] loss=0.1940 miou=0.7326 niou=0.7326 f1=0.8100 pd=0.9686 fa=0.000016 thr=0.43 time=28.6s
[Epoch 024] loss=0.1890 miou=0.7509 niou=0.7509 f1=0.8126 pd=0.9843 fa=0.000039 thr=0.43 time=28.5s
[Epoch 025] loss=0.1692 miou=0.7608 niou=0.7608 f1=0.8178 pd=0.9641 fa=0.000017 thr=0.43 time=28.5s
[Epoch 026] loss=0.1815 miou=0.7585 niou=0.7585 f1=0.8193 pd=0.9843 fa=0.000038 thr=0.43 time=28.6s
[Epoch 027] loss=0.1837 miou=0.7704 niou=0.7704 f1=0.8040 pd=0.9839 fa=0.000033 thr=0.44 time=28.5s
[Epoch 028] loss=0.1753 miou=0.7448 niou=0.7448 f1=0.8128 pd=0.9842 fa=0.000048 thr=0.44 time=28.6s
[Epoch 029] loss=0.1682 miou=0.7521 niou=0.7521 f1=0.8135 pd=0.9684 fa=0.000026 thr=0.44 time=28.5s
[Epoch 030] loss=0.1831 miou=0.7557 niou=0.7557 f1=0.8075 pd=0.9528 fa=0.000023 thr=0.42 time=28.6s
[Epoch 031] loss=0.2124 miou=0.7509 niou=0.7509 f1=0.8189 pd=0.9764 fa=0.000029 thr=0.44 time=28.7s
[Epoch 032] loss=0.1723 miou=0.7515 niou=0.7515 f1=0.8067 pd=0.9800 fa=0.000072 thr=0.44 time=28.5s
[Epoch 033] loss=0.1796 miou=0.7615 niou=0.7615 f1=0.8211 pd=0.9803 fa=0.000045 thr=0.43 time=28.5s
[Epoch 034] loss=0.1671 miou=0.7610 niou=0.7610 f1=0.8450 pd=0.9884 fa=0.000035 thr=0.45 time=28.8s
[Epoch 035] loss=0.1739 miou=0.7762 niou=0.7762 f1=0.8233 pd=0.9640 fa=0.000023 thr=0.43 time=28.7s
[Epoch 036] loss=0.1597 miou=0.7926 niou=0.7926 f1=0.8375 pd=0.9839 fa=0.000035 thr=0.43 time=28.5s
[Epoch 037] loss=0.1702 miou=0.7723 niou=0.7723 f1=0.8236 pd=0.9799 fa=0.000020 thr=0.42 time=28.5s
[Epoch 038] loss=0.1747 miou=0.7751 niou=0.7751 f1=0.8308 pd=0.9880 fa=0.000021 thr=0.45 time=28.5s
[Epoch 039] loss=0.1575 miou=0.7819 niou=0.7819 f1=0.8252 pd=0.9799 fa=0.000024 thr=0.43 time=28.5s
[Epoch 040] loss=0.1527 miou=0.7966 niou=0.7966 f1=0.8214 pd=0.9677 fa=0.000019 thr=0.43 time=28.5s
[Epoch 041] loss=0.1485 miou=0.7737 niou=0.7737 f1=0.8395 pd=0.9761 fa=0.000026 thr=0.43 time=28.5s
[Epoch 042] loss=0.1454 miou=0.7875 niou=0.7875 f1=0.8591 pd=0.9923 fa=0.000011 thr=0.44 time=28.7s
[Epoch 043] loss=0.1533 miou=0.7889 niou=0.7889 f1=0.8260 pd=0.9801 fa=0.000023 thr=0.43 time=28.6s
[Epoch 044] loss=0.1512 miou=0.7703 niou=0.7703 f1=0.8367 pd=0.9803 fa=0.000011 thr=0.44 time=28.6s
[Epoch 045] loss=0.1536 miou=0.7889 niou=0.7889 f1=0.8114 pd=0.9879 fa=0.000022 thr=0.43 time=28.6s
[Epoch 046] loss=0.1447 miou=0.7823 niou=0.7823 f1=0.8318 pd=0.9802 fa=0.000017 thr=0.43 time=28.6s
[Epoch 047] loss=0.1508 miou=0.7734 niou=0.7734 f1=0.8415 pd=0.9844 fa=0.000010 thr=0.45 time=28.5s
[Epoch 048] loss=0.1479 miou=0.7737 niou=0.7737 f1=0.8212 pd=0.9839 fa=0.000011 thr=0.44 time=28.5s
[Epoch 049] loss=0.1597 miou=0.7867 niou=0.7867 f1=0.8245 pd=0.9761 fa=0.000020 thr=0.43 time=28.6s
[Epoch 050] loss=0.1430 miou=0.7906 niou=0.7906 f1=0.8276 pd=0.9759 fa=0.000016 thr=0.43 time=28.5s
[Epoch 051] loss=0.1492 miou=0.7762 niou=0.7762 f1=0.8179 pd=0.9801 fa=0.000011 thr=0.44 time=28.5s
[Epoch 052] loss=0.1384 miou=0.7795 niou=0.7795 f1=0.8252 pd=0.9801 fa=0.000009 thr=0.44 time=28.5s
[Epoch 053] loss=0.1600 miou=0.7879 niou=0.7879 f1=0.8396 pd=0.9723 fa=0.000026 thr=0.43 time=28.5s
[Epoch 054] loss=0.1464 miou=0.7714 niou=0.7714 f1=0.8277 pd=0.9684 fa=0.000017 thr=0.43 time=28.5s
[Epoch 055] loss=0.1447 miou=0.7914 niou=0.7914 f1=0.8421 pd=0.9721 fa=0.000026 thr=0.44 time=28.7s
[Epoch 056] loss=0.1565 miou=0.7889 niou=0.7889 f1=0.8309 pd=0.9760 fa=0.000025 thr=0.43 time=28.5s
[Epoch 057] loss=0.1711 miou=0.7843 niou=0.7843 f1=0.8273 pd=0.9802 fa=0.000036 thr=0.43 time=28.5s
[Epoch 058] loss=0.1499 miou=0.7943 niou=0.7943 f1=0.8534 pd=0.9843 fa=0.000017 thr=0.42 time=28.5s
[Epoch 059] loss=0.1504 miou=0.7864 niou=0.7864 f1=0.8393 pd=0.9842 fa=0.000012 thr=0.44 time=28.5s
[Epoch 060] loss=0.1417 miou=0.7807 niou=0.7807 f1=0.8508 pd=0.9844 fa=0.000016 thr=0.44 time=28.5s
[Epoch 061] loss=0.1477 miou=0.7902 niou=0.7902 f1=0.8321 pd=0.9761 fa=0.000022 thr=0.43 time=28.7s
[Epoch 062] loss=0.1516 miou=0.7952 niou=0.7952 f1=0.8456 pd=0.9683 fa=0.000010 thr=0.44 time=28.5s
[Epoch 063] loss=0.1509 miou=0.7842 niou=0.7842 f1=0.8463 pd=0.9843 fa=0.000022 thr=0.44 time=28.5s
[Epoch 064] loss=0.1359 miou=0.8032 niou=0.8032 f1=0.8218 pd=0.9795 fa=0.000025 thr=0.43 time=28.5s
[Epoch 065] loss=0.1496 miou=0.7826 niou=0.7826 f1=0.8316 pd=0.9683 fa=0.000022 thr=0.43 time=28.5s
[Epoch 066] loss=0.1374 miou=0.7990 niou=0.7990 f1=0.8389 pd=0.9839 fa=0.000014 thr=0.42 time=28.7s
[Epoch 067] loss=0.1381 miou=0.8008 niou=0.8008 f1=0.8482 pd=0.9920 fa=0.000015 thr=0.43 time=28.5s
[Epoch 068] loss=0.1421 miou=0.7807 niou=0.7807 f1=0.8459 pd=0.9687 fa=0.000007 thr=0.44 time=28.8s
[Epoch 069] loss=0.1474 miou=0.7833 niou=0.7833 f1=0.8330 pd=0.9881 fa=0.000028 thr=0.42 time=28.9s
[Epoch 070] loss=0.1565 miou=0.7722 niou=0.7722 f1=0.8361 pd=0.9764 fa=0.000019 thr=0.43 time=28.5s
[Epoch 071] loss=0.1559 miou=0.7915 niou=0.7915 f1=0.8341 pd=0.9761 fa=0.000015 thr=0.42 time=28.6s
[Epoch 072] loss=0.1357 miou=0.7863 niou=0.7863 f1=0.8404 pd=0.9841 fa=0.000020 thr=0.44 time=28.5s
