Run directory: ./outputs_sam_sirst_hq\NUAA_HQ_mllm_Qwen3_tokenCLIP_BkBiFusionPure_TSP1_TDPxattn03_SC_20260227_222757
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, params=1766336
[Epoch 001] loss=1.2232 miou=0.0000 niou=0.0187 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.4s
[Epoch 002] loss=1.1396 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.7s
[Epoch 003] loss=1.1799 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.9s
[Epoch 004] loss=1.1598 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 005] loss=1.1658 miou=0.0000 niou=0.0467 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.8s
[Epoch 006] loss=1.1416 miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 007] loss=1.1682 miou=0.0000 niou=0.0327 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.9s
[Epoch 008] loss=1.1433 miou=0.0000 niou=0.0421 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.7s
[Epoch 009] loss=1.1503 miou=0.0000 niou=0.0374 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=37.0s
[Epoch 010] loss=1.1433 miou=0.0000 niou=0.0280 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.40 time=36.9s
Unfroze at epoch 10: encoder + all heads.
[Epoch 011] loss=1.0290 miou=0.0542 niou=0.3150 f1=0.1028 pd=0.9173 fa=0.007836 thr=0.51 time=38.4s
[Epoch 012] loss=0.8904 miou=0.1783 niou=0.3995 f1=0.3026 pd=0.8504 fa=0.001293 thr=0.47 time=38.0s
[Epoch 013] loss=0.6945 miou=0.1974 niou=0.3650 f1=0.3296 pd=0.7868 fa=0.000634 thr=0.45 time=37.9s
[Epoch 014] loss=0.6704 miou=0.2084 niou=0.3298 f1=0.3449 pd=0.7413 fa=0.000369 thr=0.44 time=37.6s
[Epoch 015] loss=0.6851 miou=0.2380 niou=0.4674 f1=0.3845 pd=0.9000 fa=0.000783 thr=0.47 time=37.6s
[Epoch 016] loss=0.6078 miou=0.2521 niou=0.4379 f1=0.4027 pd=0.8314 fa=0.000501 thr=0.45 time=37.5s
[Epoch 017] loss=0.5861 miou=0.2270 niou=0.4912 f1=0.3700 pd=0.9167 fa=0.001024 thr=0.47 time=37.5s
[Epoch 018] loss=0.6085 miou=0.1749 niou=0.4426 f1=0.2978 pd=0.9197 fa=0.001478 thr=0.49 time=37.6s
[Epoch 019] loss=0.6129 miou=0.2669 niou=0.4432 f1=0.4214 pd=0.8656 fa=0.000602 thr=0.46 time=37.5s
[Epoch 020] loss=0.5337 miou=0.2612 niou=0.4604 f1=0.4142 pd=0.9023 fa=0.000639 thr=0.46 time=37.6s
[Epoch 021] loss=0.5857 miou=0.2427 niou=0.4695 f1=0.3905 pd=0.8675 fa=0.000798 thr=0.46 time=37.8s
[Epoch 022] loss=0.5716 miou=0.2040 niou=0.4869 f1=0.3389 pd=0.9609 fa=0.001432 thr=0.49 time=38.1s
[Epoch 023] loss=0.5547 miou=0.2613 niou=0.5022 f1=0.4143 pd=0.9373 fa=0.000900 thr=0.48 time=37.9s
[Epoch 024] loss=0.5201 miou=0.3241 niou=0.4516 f1=0.4895 pd=0.8465 fa=0.000241 thr=0.44 time=37.9s
[Epoch 025] loss=0.5669 miou=0.2974 niou=0.4931 f1=0.4584 pd=0.9763 fa=0.000794 thr=0.49 time=37.9s
[Epoch 026] loss=0.4718 miou=0.3333 niou=0.5207 f1=0.4999 pd=0.9843 fa=0.000763 thr=0.49 time=37.7s
