Run directory: ./outputs_sam_sirst_hq\NUAA_HQ_mllm_Qwen3_tokenCLIP_TSP1_TDPg03_SC_20260226_101308
MLLM TextConditioner enabled: text_dim=512, params=262656
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=global, hidden=128, heads=4, alpha=0.3, params=246785
[Epoch 001] loss=1.2226 miou=0.0888 niou=0.1584 f1=0.1632 pd=0.5139 fa=0.000653 thr=0.43 time=28.9s
[Epoch 002] loss=0.7976 miou=0.2702 niou=0.4201 f1=0.4255 pd=0.8554 fa=0.000580 thr=0.46 time=24.4s
[Epoch 003] loss=0.6366 miou=0.3061 niou=0.4862 f1=0.4687 pd=0.9216 fa=0.000573 thr=0.47 time=24.4s
[Epoch 004] loss=0.5973 miou=0.3369 niou=0.4898 f1=0.5040 pd=0.9331 fa=0.000434 thr=0.46 time=24.4s
[Epoch 005] loss=0.4972 miou=0.3869 niou=0.5103 f1=0.5579 pd=0.9648 fa=0.000460 thr=0.49 time=24.3s
[Epoch 006] loss=0.4601 miou=0.4750 niou=0.5555 f1=0.6441 pd=0.9331 fa=0.000169 thr=0.45 time=24.0s
[Epoch 007] loss=0.4190 miou=0.4526 niou=0.5636 f1=0.6231 pd=0.9841 fa=0.000368 thr=0.48 time=24.5s
[Epoch 008] loss=0.4005 miou=0.4641 niou=0.5771 f1=0.6339 pd=0.9243 fa=0.000180 thr=0.44 time=24.4s
[Epoch 009] loss=0.3772 miou=0.5263 niou=0.5952 f1=0.6896 pd=0.9729 fa=0.000192 thr=0.46 time=24.4s
[Epoch 010] loss=0.3650 miou=0.5084 niou=0.5839 f1=0.6741 pd=0.9524 fa=0.000126 thr=0.45 time=24.3s
Unfroze at epoch 10: encoder + all heads.
[Epoch 011] loss=0.4347 miou=0.5222 niou=0.6181 f1=0.6862 pd=0.9919 fa=0.000223 thr=0.47 time=32.4s
[Epoch 012] loss=0.3445 miou=0.6066 niou=0.6738 f1=0.7551 pd=0.9762 fa=0.000090 thr=0.44 time=34.4s
[Epoch 013] loss=0.3097 miou=0.5150 niou=0.6119 f1=0.6799 pd=0.9057 fa=0.000051 thr=0.42 time=34.4s
[Epoch 014] loss=0.2853 miou=0.6710 niou=0.6961 f1=0.8031 pd=0.9722 fa=0.000061 thr=0.45 time=34.3s
[Epoch 015] loss=0.2415 miou=0.6580 niou=0.6986 f1=0.7937 pd=0.9841 fa=0.000037 thr=0.44 time=34.2s
[Epoch 016] loss=0.2528 miou=0.6781 niou=0.7176 f1=0.8082 pd=0.9679 fa=0.000042 thr=0.43 time=34.4s
[Epoch 017] loss=0.2221 miou=0.7103 niou=0.7259 f1=0.8306 pd=0.9839 fa=0.000034 thr=0.44 time=34.1s
[Epoch 018] loss=0.2092 miou=0.7066 niou=0.7227 f1=0.8280 pd=0.9720 fa=0.000054 thr=0.44 time=34.2s
[Epoch 019] loss=0.1910 miou=0.7504 niou=0.7603 f1=0.8574 pd=0.9843 fa=0.000028 thr=0.44 time=34.3s
[Epoch 020] loss=0.1987 miou=0.7325 niou=0.7338 f1=0.8456 pd=0.9637 fa=0.000026 thr=0.44 time=34.5s
[Epoch 021] loss=0.1955 miou=0.6802 niou=0.7037 f1=0.8097 pd=0.9728 fa=0.000079 thr=0.46 time=34.4s
[Epoch 022] loss=0.2167 miou=0.6434 niou=0.7039 f1=0.7830 pd=0.9174 fa=0.000015 thr=0.42 time=34.4s
[Epoch 023] loss=0.2068 miou=0.7406 niou=0.7464 f1=0.8510 pd=0.9681 fa=0.000025 thr=0.44 time=34.2s
[Epoch 024] loss=0.1721 miou=0.7361 niou=0.7647 f1=0.8480 pd=0.9880 fa=0.000023 thr=0.42 time=34.4s
[Epoch 025] loss=0.1791 miou=0.7411 niou=0.7530 f1=0.8513 pd=0.9720 fa=0.000022 thr=0.44 time=34.4s
[Epoch 026] loss=0.1741 miou=0.7398 niou=0.7674 f1=0.8505 pd=0.9802 fa=0.000037 thr=0.44 time=34.4s
[Epoch 027] loss=0.1771 miou=0.7344 niou=0.7559 f1=0.8468 pd=0.9800 fa=0.000039 thr=0.45 time=34.4s
[Epoch 028] loss=0.2000 miou=0.7492 niou=0.7624 f1=0.8566 pd=0.9803 fa=0.000015 thr=0.44 time=34.5s
[Epoch 029] loss=0.1723 miou=0.7386 niou=0.7526 f1=0.8497 pd=0.9804 fa=0.000034 thr=0.44 time=34.2s
[Epoch 030] loss=0.1885 miou=0.7247 niou=0.7605 f1=0.8404 pd=0.9727 fa=0.000045 thr=0.43 time=34.2s
[Epoch 031] loss=0.1852 miou=0.7665 niou=0.7771 f1=0.8678 pd=0.9763 fa=0.000020 thr=0.44 time=34.6s
[Epoch 032] loss=0.1855 miou=0.6941 niou=0.7367 f1=0.8194 pd=0.9724 fa=0.000067 thr=0.45 time=34.3s
[Epoch 033] loss=0.1678 miou=0.7033 niou=0.7499 f1=0.8258 pd=0.9723 fa=0.000037 thr=0.43 time=34.5s
[Epoch 034] loss=0.1810 miou=0.7473 niou=0.7645 f1=0.8554 pd=0.9805 fa=0.000034 thr=0.43 time=34.2s
[Epoch 035] loss=0.1669 miou=0.7544 niou=0.7737 f1=0.8600 pd=0.9802 fa=0.000028 thr=0.44 time=34.2s
[Epoch 036] loss=0.1976 miou=0.6833 niou=0.7176 f1=0.8119 pd=0.9648 fa=0.000023 thr=0.43 time=34.0s
[Epoch 037] loss=0.2151 miou=0.7516 niou=0.7625 f1=0.8582 pd=0.9840 fa=0.000018 thr=0.44 time=34.2s
[Epoch 038] loss=0.1876 miou=0.7269 niou=0.7574 f1=0.8418 pd=0.9681 fa=0.000025 thr=0.42 time=34.2s
[Epoch 039] loss=0.1876 miou=0.6988 niou=0.7493 f1=0.8227 pd=0.9843 fa=0.000066 thr=0.44 time=34.3s
[Epoch 040] loss=0.1670 miou=0.7619 niou=0.7743 f1=0.8648 pd=0.9879 fa=0.000019 thr=0.43 time=34.1s
[Epoch 041] loss=0.1640 miou=0.7731 niou=0.7748 f1=0.8720 pd=0.9685 fa=0.000018 thr=0.43 time=29.0s
[Epoch 042] loss=0.1531 miou=0.7726 niou=0.7847 f1=0.8717 pd=0.9763 fa=0.000018 thr=0.42 time=29.0s
[Epoch 043] loss=0.1536 miou=0.7411 niou=0.7657 f1=0.8513 pd=0.9718 fa=0.000029 thr=0.42 time=34.5s
[Epoch 044] loss=0.1547 miou=0.7639 niou=0.7762 f1=0.8662 pd=0.9879 fa=0.000027 thr=0.44 time=35.8s
[Epoch 045] loss=0.1539 miou=0.7650 niou=0.7864 f1=0.8669 pd=0.9798 fa=0.000031 thr=0.44 time=35.7s
[Epoch 046] loss=0.1512 miou=0.7669 niou=0.7706 f1=0.8681 pd=0.9760 fa=0.000015 thr=0.44 time=35.5s
[Epoch 047] loss=0.1638 miou=0.7555 niou=0.7677 f1=0.8607 pd=0.9531 fa=0.000022 thr=0.43 time=35.3s
[Epoch 048] loss=0.1763 miou=0.7108 niou=0.7268 f1=0.8310 pd=0.9840 fa=0.000068 thr=0.47 time=35.4s
[Epoch 049] loss=0.1921 miou=0.6932 niou=0.7400 f1=0.8188 pd=0.9844 fa=0.000093 thr=0.44 time=35.3s
[Epoch 050] loss=0.1652 miou=0.7469 niou=0.7694 f1=0.8551 pd=0.9879 fa=0.000027 thr=0.43 time=35.3s
[Epoch 051] loss=0.1487 miou=0.7797 niou=0.7841 f1=0.8762 pd=0.9722 fa=0.000023 thr=0.43 time=35.4s
[Epoch 052] loss=0.1460 miou=0.7881 niou=0.7954 f1=0.8815 pd=0.9764 fa=0.000021 thr=0.43 time=35.2s
