Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_AFD_bs4_e1000_kp1_split-50_50_20260124_181036
Attached AFD to encoder (dim=256, patch=8, bins=16)
Attached AFD to decoder (dim=32, patch=8, bins=16)
[Epoch 001] loss=1.2474 miou=0.0000 niou=0.0000 f1=0.0000 pd=0.0000 fa=0.000000 thr=0.35 time=56.2s
[Epoch 002] loss=0.6951 miou=0.4465 niou=0.5140 f1=0.6173 pd=0.9450 fa=0.000246 thr=0.45 time=51.7s
[Epoch 003] loss=0.4479 miou=0.5183 niou=0.5779 f1=0.6827 pd=0.9566 fa=0.000145 thr=0.42 time=49.4s
[Epoch 004] loss=0.3983 miou=0.4379 niou=0.5242 f1=0.6091 pd=0.9915 fa=0.000439 thr=0.50 time=49.6s
[Epoch 005] loss=0.3774 miou=0.5664 niou=0.6111 f1=0.7231 pd=0.9651 fa=0.000098 thr=0.42 time=51.3s
[Epoch 006] loss=0.3507 miou=0.5932 niou=0.6387 f1=0.7447 pd=0.9746 fa=0.000104 thr=0.43 time=49.3s
[Epoch 007] loss=0.3413 miou=0.6051 niou=0.6438 f1=0.7540 pd=0.9810 fa=0.000107 thr=0.44 time=49.3s
[Epoch 008] loss=0.3252 miou=0.6074 niou=0.6543 f1=0.7558 pd=0.9841 fa=0.000110 thr=0.42 time=51.7s
[Epoch 009] loss=0.3175 miou=0.6188 niou=0.6600 f1=0.7645 pd=0.9873 fa=0.000104 thr=0.44 time=51.7s
[Epoch 010] loss=0.3095 miou=0.6115 niou=0.6503 f1=0.7589 pd=0.9884 fa=0.000114 thr=0.45 time=51.8s
[Epoch 011] loss=0.3055 miou=0.5894 niou=0.6351 f1=0.7417 pd=0.9926 fa=0.000158 thr=0.46 time=51.7s
[Epoch 012] loss=0.3007 miou=0.5654 niou=0.6211 f1=0.7224 pd=0.9894 fa=0.000206 thr=0.47 time=51.7s
[Epoch 013] loss=0.2958 miou=0.6442 niou=0.6781 f1=0.7836 pd=0.9894 fa=0.000081 thr=0.44 time=51.7s
[Epoch 014] loss=0.2917 miou=0.6378 niou=0.6722 f1=0.7788 pd=0.9884 fa=0.000086 thr=0.44 time=51.8s
[Epoch 015] loss=0.2756 miou=0.6246 niou=0.6681 f1=0.7690 pd=0.9915 fa=0.000122 thr=0.45 time=51.7s
[Epoch 016] loss=0.2811 miou=0.6561 niou=0.6927 f1=0.7924 pd=0.9884 fa=0.000076 thr=0.43 time=51.8s
[Epoch 017] loss=0.2745 miou=0.6475 niou=0.6777 f1=0.7860 pd=0.9862 fa=0.000076 thr=0.43 time=51.8s
[Epoch 018] loss=0.2814 miou=0.6427 niou=0.6768 f1=0.7825 pd=0.9926 fa=0.000100 thr=0.44 time=51.7s
[Epoch 019] loss=0.2659 miou=0.6569 niou=0.6901 f1=0.7929 pd=0.9926 fa=0.000073 thr=0.43 time=51.7s
[Epoch 020] loss=0.2572 miou=0.6559 niou=0.6909 f1=0.7922 pd=0.9926 fa=0.000077 thr=0.43 time=51.7s
[Epoch 021] loss=0.2634 miou=0.6666 niou=0.7034 f1=0.8000 pd=0.9873 fa=0.000058 thr=0.42 time=51.7s
[Epoch 022] loss=0.2584 miou=0.6743 niou=0.7095 f1=0.8055 pd=0.9894 fa=0.000054 thr=0.42 time=51.7s
[Epoch 023] loss=0.2501 miou=0.6680 niou=0.6964 f1=0.8009 pd=0.9841 fa=0.000054 thr=0.41 time=51.7s
[Epoch 024] loss=0.2540 miou=0.6744 niou=0.7067 f1=0.8055 pd=0.9873 fa=0.000053 thr=0.42 time=51.7s
[Epoch 025] loss=0.2463 miou=0.6764 niou=0.7106 f1=0.8070 pd=0.9937 fa=0.000061 thr=0.42 time=51.8s
[Epoch 026] loss=0.2512 miou=0.6565 niou=0.6910 f1=0.7926 pd=0.9894 fa=0.000086 thr=0.43 time=51.8s
[Epoch 027] loss=0.2440 miou=0.6731 niou=0.7088 f1=0.8046 pd=0.9905 fa=0.000061 thr=0.42 time=51.7s
[Epoch 028] loss=0.2415 miou=0.6826 niou=0.7142 f1=0.8113 pd=0.9884 fa=0.000061 thr=0.42 time=51.7s
[Epoch 029] loss=0.2380 miou=0.6872 niou=0.7196 f1=0.8146 pd=0.9894 fa=0.000043 thr=0.41 time=51.8s
[Epoch 030] loss=0.2326 miou=0.6890 niou=0.7198 f1=0.8158 pd=0.9841 fa=0.000052 thr=0.42 time=51.8s
[Epoch 031] loss=0.2327 miou=0.6839 niou=0.7177 f1=0.8123 pd=0.9915 fa=0.000053 thr=0.42 time=52.2s
[Epoch 032] loss=0.2360 miou=0.6823 niou=0.7114 f1=0.8111 pd=0.9926 fa=0.000070 thr=0.43 time=51.8s
[Epoch 033] loss=0.2281 miou=0.6937 niou=0.7246 f1=0.8192 pd=0.9915 fa=0.000046 thr=0.41 time=51.8s
[Epoch 034] loss=0.2265 miou=0.6824 niou=0.7155 f1=0.8112 pd=0.9926 fa=0.000079 thr=0.43 time=51.9s
[Epoch 035] loss=0.2233 miou=0.6877 niou=0.7196 f1=0.8150 pd=0.9947 fa=0.000060 thr=0.43 time=51.8s
[Epoch 036] loss=0.2255 miou=0.6857 niou=0.7176 f1=0.8135 pd=0.9894 fa=0.000055 thr=0.41 time=51.8s
[Epoch 037] loss=0.2221 miou=0.6949 niou=0.7242 f1=0.8200 pd=0.9905 fa=0.000053 thr=0.41 time=51.8s
[Epoch 038] loss=0.2199 miou=0.6986 niou=0.7345 f1=0.8226 pd=0.9884 fa=0.000037 thr=0.40 time=51.9s
[Epoch 039] loss=0.2205 miou=0.6901 niou=0.7249 f1=0.8166 pd=0.9841 fa=0.000032 thr=0.40 time=51.8s
[Epoch 040] loss=0.2187 miou=0.6945 niou=0.7261 f1=0.8197 pd=0.9841 fa=0.000033 thr=0.40 time=51.9s
[Epoch 041] loss=0.2169 miou=0.6970 niou=0.7257 f1=0.8214 pd=0.9884 fa=0.000050 thr=0.42 time=51.8s
[Epoch 042] loss=0.2094 miou=0.6963 niou=0.7240 f1=0.8210 pd=0.9915 fa=0.000061 thr=0.43 time=51.9s
[Epoch 043] loss=0.2151 miou=0.6976 niou=0.7322 f1=0.8218 pd=0.9852 fa=0.000036 thr=0.40 time=51.9s
[Epoch 044] loss=0.2154 miou=0.7038 niou=0.7328 f1=0.8261 pd=0.9926 fa=0.000053 thr=0.42 time=51.8s
[Epoch 045] loss=0.2091 miou=0.7043 niou=0.7372 f1=0.8265 pd=0.9915 fa=0.000042 thr=0.42 time=51.8s
[Epoch 046] loss=0.2164 miou=0.6916 niou=0.7215 f1=0.8177 pd=0.9958 fa=0.000070 thr=0.44 time=51.9s
[Epoch 047] loss=0.2141 miou=0.7025 niou=0.7386 f1=0.8253 pd=0.9873 fa=0.000037 thr=0.41 time=51.9s
[Epoch 048] loss=0.2143 miou=0.6946 niou=0.7246 f1=0.8198 pd=0.9947 fa=0.000068 thr=0.44 time=51.9s
[Epoch 049] loss=0.2054 miou=0.7055 niou=0.7363 f1=0.8273 pd=0.9926 fa=0.000048 thr=0.42 time=51.8s
[Epoch 050] loss=0.2022 miou=0.7131 niou=0.7410 f1=0.8326 pd=0.9937 fa=0.000048 thr=0.42 time=51.9s
[Epoch 051] loss=0.2049 miou=0.7154 niou=0.7435 f1=0.8341 pd=0.9873 fa=0.000044 thr=0.42 time=51.9s
[Epoch 052] loss=0.2074 miou=0.7069 niou=0.7340 f1=0.8283 pd=0.9937 fa=0.000050 thr=0.43 time=52.0s
[Epoch 053] loss=0.1993 miou=0.6793 niou=0.7066 f1=0.8090 pd=0.9937 fa=0.000092 thr=0.45 time=51.9s
[Epoch 054] loss=0.2040 miou=0.7115 niou=0.7400 f1=0.8314 pd=0.9926 fa=0.000055 thr=0.43 time=51.8s
[Epoch 055] loss=0.2012 miou=0.7182 niou=0.7482 f1=0.8360 pd=0.9915 fa=0.000039 thr=0.41 time=51.8s
[Epoch 056] loss=0.2034 miou=0.7043 niou=0.7300 f1=0.8265 pd=0.9937 fa=0.000057 thr=0.44 time=49.4s
[Epoch 057] loss=0.2023 miou=0.7061 niou=0.7337 f1=0.8278 pd=0.9894 fa=0.000058 thr=0.43 time=49.3s
[Epoch 058] loss=0.1971 miou=0.7163 niou=0.7482 f1=0.8347 pd=0.9915 fa=0.000039 thr=0.41 time=51.6s
[Epoch 059] loss=0.1955 miou=0.7122 niou=0.7358 f1=0.8319 pd=0.9926 fa=0.000046 thr=0.43 time=51.7s
[Epoch 060] loss=0.1943 miou=0.7208 niou=0.7488 f1=0.8378 pd=0.9905 fa=0.000035 thr=0.41 time=51.6s
[Epoch 061] loss=0.1957 miou=0.7098 niou=0.7388 f1=0.8302 pd=0.9926 fa=0.000042 thr=0.42 time=51.7s
