Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_ASG2_PGAP_bs4_e1000_kp1_split-50_50_20260109_215735
[Epoch 001] loss=1.2838 miou=0.0014 niou=0.0016 f1=0.0029 pd=0.0275 fa=0.000001 thr=0.35 time=50.4s
[Epoch 002] loss=0.6252 miou=0.5293 niou=0.5809 f1=0.6922 pd=0.9788 fa=0.000185 thr=0.45 time=48.6s
[Epoch 003] loss=0.3770 miou=0.5855 niou=0.6246 f1=0.7386 pd=0.9757 fa=0.000124 thr=0.44 time=48.4s
[Epoch 004] loss=0.3453 miou=0.5874 niou=0.6307 f1=0.7401 pd=0.9810 fa=0.000133 thr=0.45 time=48.7s
[Epoch 005] loss=0.3333 miou=0.5981 niou=0.6359 f1=0.7485 pd=0.9841 fa=0.000147 thr=0.46 time=48.7s
[Epoch 006] loss=0.3365 miou=0.6289 niou=0.6604 f1=0.7722 pd=0.9820 fa=0.000090 thr=0.44 time=48.3s
[Epoch 007] loss=0.3157 miou=0.6444 niou=0.6706 f1=0.7838 pd=0.9810 fa=0.000060 thr=0.43 time=48.4s
[Epoch 008] loss=0.3070 miou=0.6455 niou=0.6714 f1=0.7846 pd=0.9810 fa=0.000062 thr=0.41 time=48.8s
[Epoch 009] loss=0.3074 miou=0.5703 niou=0.6111 f1=0.7263 pd=0.9894 fa=0.000200 thr=0.49 time=49.4s
[Epoch 010] loss=0.3036 miou=0.6608 niou=0.6852 f1=0.7958 pd=0.9810 fa=0.000068 thr=0.44 time=48.6s
[Epoch 011] loss=0.2913 miou=0.6731 niou=0.6958 f1=0.8046 pd=0.9831 fa=0.000046 thr=0.43 time=48.2s
[Epoch 012] loss=0.2825 miou=0.6705 niou=0.6931 f1=0.8027 pd=0.9841 fa=0.000064 thr=0.43 time=48.8s
[Epoch 013] loss=0.2757 miou=0.6763 niou=0.6986 f1=0.8069 pd=0.9841 fa=0.000060 thr=0.43 time=48.2s
[Epoch 014] loss=0.2752 miou=0.6821 niou=0.7048 f1=0.8110 pd=0.9810 fa=0.000051 thr=0.42 time=48.6s
[Epoch 015] loss=0.2728 miou=0.6789 niou=0.6985 f1=0.8087 pd=0.9862 fa=0.000057 thr=0.43 time=49.0s
[Epoch 016] loss=0.2668 miou=0.6876 niou=0.7102 f1=0.8149 pd=0.9862 fa=0.000049 thr=0.42 time=48.4s
[Epoch 017] loss=0.2572 miou=0.6963 niou=0.7189 f1=0.8210 pd=0.9862 fa=0.000049 thr=0.43 time=48.2s
[Epoch 018] loss=0.2654 miou=0.6919 niou=0.7139 f1=0.8179 pd=0.9852 fa=0.000037 thr=0.42 time=49.3s
[Epoch 019] loss=0.2547 miou=0.6990 niou=0.7211 f1=0.8229 pd=0.9831 fa=0.000045 thr=0.42 time=49.1s
[Epoch 020] loss=0.2580 miou=0.6796 niou=0.6999 f1=0.8093 pd=0.9873 fa=0.000076 thr=0.44 time=48.7s
[Epoch 021] loss=0.2607 miou=0.6955 niou=0.7171 f1=0.8204 pd=0.9841 fa=0.000054 thr=0.43 time=48.8s
[Epoch 022] loss=0.2583 miou=0.6826 niou=0.7042 f1=0.8113 pd=0.9884 fa=0.000071 thr=0.44 time=48.6s
[Epoch 023] loss=0.2448 miou=0.7039 niou=0.7252 f1=0.8262 pd=0.9862 fa=0.000047 thr=0.42 time=48.9s
[Epoch 024] loss=0.2450 miou=0.7081 niou=0.7308 f1=0.8291 pd=0.9820 fa=0.000041 thr=0.42 time=49.8s
[Epoch 025] loss=0.2382 miou=0.6900 niou=0.7098 f1=0.8166 pd=0.9873 fa=0.000065 thr=0.44 time=49.4s
[Epoch 026] loss=0.2460 miou=0.7013 niou=0.7231 f1=0.8244 pd=0.9799 fa=0.000032 thr=0.40 time=49.3s
[Epoch 027] loss=0.2395 miou=0.7073 niou=0.7318 f1=0.8286 pd=0.9820 fa=0.000035 thr=0.41 time=48.9s
[Epoch 028] loss=0.2350 miou=0.7117 niou=0.7359 f1=0.8315 pd=0.9810 fa=0.000027 thr=0.40 time=48.7s
[Epoch 029] loss=0.2413 miou=0.7124 niou=0.7332 f1=0.8321 pd=0.9852 fa=0.000045 thr=0.43 time=48.7s
[Epoch 030] loss=0.2299 miou=0.7138 niou=0.7414 f1=0.8330 pd=0.9788 fa=0.000027 thr=0.41 time=48.8s
[Epoch 031] loss=0.2345 miou=0.7087 niou=0.7288 f1=0.8295 pd=0.9894 fa=0.000053 thr=0.43 time=48.5s
[Epoch 032] loss=0.2294 miou=0.7201 niou=0.7447 f1=0.8372 pd=0.9820 fa=0.000029 thr=0.42 time=48.9s
[Epoch 033] loss=0.2310 miou=0.7136 niou=0.7376 f1=0.8328 pd=0.9884 fa=0.000053 thr=0.43 time=49.0s
[Epoch 034] loss=0.2287 miou=0.6899 niou=0.7145 f1=0.8165 pd=0.9905 fa=0.000083 thr=0.44 time=48.7s
[Epoch 035] loss=0.2311 miou=0.6968 niou=0.7211 f1=0.8213 pd=0.9746 fa=0.000025 thr=0.39 time=48.9s
[Epoch 036] loss=0.2333 miou=0.6975 niou=0.7273 f1=0.8218 pd=0.9704 fa=0.000031 thr=0.39 time=49.1s
[Epoch 037] loss=0.2235 miou=0.7190 niou=0.7436 f1=0.8365 pd=0.9905 fa=0.000050 thr=0.42 time=48.7s
[Epoch 038] loss=0.2243 miou=0.7025 niou=0.7229 f1=0.8252 pd=0.9873 fa=0.000066 thr=0.44 time=49.0s
[Epoch 039] loss=0.2247 miou=0.7167 niou=0.7414 f1=0.8349 pd=0.9810 fa=0.000025 thr=0.40 time=48.9s
[Epoch 040] loss=0.2257 miou=0.7278 niou=0.7467 f1=0.8424 pd=0.9810 fa=0.000038 thr=0.42 time=48.8s
[Epoch 041] loss=0.2204 miou=0.7192 niou=0.7423 f1=0.8367 pd=0.9852 fa=0.000031 thr=0.40 time=48.6s
[Epoch 042] loss=0.2182 miou=0.7156 niou=0.7394 f1=0.8342 pd=0.9820 fa=0.000040 thr=0.41 time=48.1s
[Epoch 043] loss=0.2174 miou=0.7262 niou=0.7474 f1=0.8414 pd=0.9852 fa=0.000038 thr=0.42 time=48.9s
[Epoch 044] loss=0.2134 miou=0.7121 niou=0.7355 f1=0.8318 pd=0.9884 fa=0.000058 thr=0.43 time=48.1s
[Epoch 045] loss=0.2167 miou=0.7288 niou=0.7497 f1=0.8431 pd=0.9873 fa=0.000038 thr=0.42 time=49.0s
[Epoch 046] loss=0.2097 miou=0.7346 niou=0.7568 f1=0.8470 pd=0.9862 fa=0.000038 thr=0.42 time=48.7s
[Epoch 047] loss=0.2109 miou=0.7258 niou=0.7440 f1=0.8411 pd=0.9841 fa=0.000041 thr=0.41 time=48.9s
[Epoch 048] loss=0.2144 miou=0.7190 niou=0.7394 f1=0.8365 pd=0.9905 fa=0.000058 thr=0.43 time=48.6s
[Epoch 049] loss=0.2113 miou=0.7048 niou=0.7295 f1=0.8268 pd=0.9894 fa=0.000076 thr=0.44 time=48.4s
[Epoch 050] loss=0.2069 miou=0.7345 niou=0.7575 f1=0.8469 pd=0.9852 fa=0.000038 thr=0.41 time=48.8s
[Epoch 051] loss=0.2058 miou=0.7362 niou=0.7600 f1=0.8481 pd=0.9852 fa=0.000029 thr=0.41 time=49.1s
[Epoch 052] loss=0.2080 miou=0.7335 niou=0.7564 f1=0.8463 pd=0.9884 fa=0.000041 thr=0.43 time=48.9s
[Epoch 053] loss=0.2045 miou=0.7289 niou=0.7476 f1=0.8432 pd=0.9884 fa=0.000048 thr=0.43 time=48.8s
[Epoch 054] loss=0.2031 miou=0.7333 niou=0.7550 f1=0.8462 pd=0.9852 fa=0.000026 thr=0.39 time=48.7s
[Epoch 055] loss=0.2054 miou=0.6850 niou=0.7100 f1=0.8130 pd=0.9937 fa=0.000090 thr=0.45 time=48.8s
[Epoch 056] loss=0.2139 miou=0.7254 niou=0.7456 f1=0.8409 pd=0.9831 fa=0.000047 thr=0.42 time=48.7s
[Epoch 057] loss=0.2074 miou=0.7301 niou=0.7516 f1=0.8440 pd=0.9862 fa=0.000041 thr=0.42 time=48.7s
[Epoch 058] loss=0.2016 miou=0.7151 niou=0.7369 f1=0.8339 pd=0.9894 fa=0.000059 thr=0.43 time=48.9s
[Epoch 059] loss=0.2025 miou=0.7341 niou=0.7557 f1=0.8466 pd=0.9820 fa=0.000033 thr=0.41 time=48.5s
[Epoch 060] loss=0.2025 miou=0.7294 niou=0.7516 f1=0.8435 pd=0.9852 fa=0.000046 thr=0.42 time=48.8s
[Epoch 061] loss=0.1998 miou=0.7294 niou=0.7495 f1=0.8435 pd=0.9841 fa=0.000040 thr=0.43 time=48.8s
[Epoch 062] loss=0.2024 miou=0.7380 niou=0.7578 f1=0.8492 pd=0.9862 fa=0.000031 thr=0.42 time=47.2s
[Epoch 063] loss=0.1944 miou=0.7412 niou=0.7614 f1=0.8514 pd=0.9831 fa=0.000035 thr=0.42 time=49.2s
[Epoch 064] loss=0.1973 miou=0.7379 niou=0.7603 f1=0.8492 pd=0.9841 fa=0.000040 thr=0.42 time=49.0s
[Epoch 065] loss=0.2005 miou=0.7227 niou=0.7426 f1=0.8390 pd=0.9884 fa=0.000053 thr=0.43 time=48.6s
[Epoch 066] loss=0.1993 miou=0.7135 niou=0.7372 f1=0.8328 pd=0.9905 fa=0.000066 thr=0.43 time=49.0s
[Epoch 067] loss=0.1962 miou=0.7276 niou=0.7471 f1=0.8424 pd=0.9841 fa=0.000051 thr=0.43 time=48.7s
[Epoch 068] loss=0.1978 miou=0.7415 niou=0.7626 f1=0.8516 pd=0.9841 fa=0.000044 thr=0.42 time=48.8s
[Epoch 069] loss=0.1922 miou=0.7417 niou=0.7632 f1=0.8517 pd=0.9799 fa=0.000034 thr=0.41 time=48.9s
[Epoch 070] loss=0.1912 miou=0.7303 niou=0.7518 f1=0.8441 pd=0.9820 fa=0.000036 thr=0.41 time=47.8s
[Epoch 071] loss=0.1952 miou=0.7081 niou=0.7288 f1=0.8291 pd=0.9873 fa=0.000071 thr=0.44 time=48.9s
[Epoch 072] loss=0.1949 miou=0.7350 niou=0.7553 f1=0.8473 pd=0.9884 fa=0.000040 thr=0.42 time=48.8s
[Epoch 073] loss=0.1952 miou=0.7324 niou=0.7514 f1=0.8455 pd=0.9862 fa=0.000047 thr=0.43 time=48.0s
[Epoch 074] loss=0.1909 miou=0.7326 niou=0.7511 f1=0.8457 pd=0.9852 fa=0.000037 thr=0.41 time=46.9s
[Epoch 075] loss=0.1922 miou=0.7371 niou=0.7590 f1=0.8487 pd=0.9831 fa=0.000030 thr=0.40 time=48.4s
[Epoch 076] loss=0.1918 miou=0.7403 niou=0.7613 f1=0.8507 pd=0.9841 fa=0.000034 thr=0.41 time=48.0s
[Epoch 077] loss=0.1884 miou=0.7406 niou=0.7615 f1=0.8510 pd=0.9841 fa=0.000036 thr=0.41 time=48.9s
[Epoch 078] loss=0.1854 miou=0.7160 niou=0.7349 f1=0.8345 pd=0.9905 fa=0.000064 thr=0.44 time=48.9s
[Epoch 079] loss=0.1907 miou=0.7302 niou=0.7515 f1=0.8441 pd=0.9894 fa=0.000044 thr=0.42 time=47.4s
[Epoch 080] loss=0.1869 miou=0.7272 niou=0.7489 f1=0.8420 pd=0.9894 fa=0.000057 thr=0.43 time=48.5s
[Epoch 081] loss=0.1849 miou=0.7330 niou=0.7568 f1=0.8460 pd=0.9831 fa=0.000041 thr=0.42 time=47.6s
[Epoch 082] loss=0.1821 miou=0.7368 niou=0.7593 f1=0.8484 pd=0.9841 fa=0.000040 thr=0.42 time=48.3s
[Epoch 083] loss=0.1822 miou=0.7423 niou=0.7615 f1=0.8521 pd=0.9841 fa=0.000031 thr=0.40 time=48.8s
[Epoch 084] loss=0.1796 miou=0.7364 niou=0.7533 f1=0.8482 pd=0.9884 fa=0.000045 thr=0.42 time=48.8s
[Epoch 085] loss=0.1859 miou=0.7465 niou=0.7671 f1=0.8549 pd=0.9841 fa=0.000036 thr=0.41 time=48.7s
[Epoch 086] loss=0.1879 miou=0.7401 niou=0.7594 f1=0.8507 pd=0.9852 fa=0.000041 thr=0.42 time=47.7s
[Epoch 087] loss=0.1862 miou=0.7351 niou=0.7535 f1=0.8473 pd=0.9862 fa=0.000043 thr=0.42 time=49.7s
[Epoch 088] loss=0.1806 miou=0.7236 niou=0.7441 f1=0.8397 pd=0.9894 fa=0.000067 thr=0.43 time=48.6s
[Epoch 089] loss=0.1851 miou=0.7328 niou=0.7511 f1=0.8458 pd=0.9852 fa=0.000048 thr=0.43 time=48.8s
[Epoch 090] loss=0.1747 miou=0.7424 niou=0.7606 f1=0.8521 pd=0.9894 fa=0.000037 thr=0.43 time=48.1s
[Epoch 091] loss=0.1812 miou=0.7453 niou=0.7637 f1=0.8541 pd=0.9841 fa=0.000037 thr=0.42 time=48.4s
[Epoch 092] loss=0.1781 miou=0.7414 niou=0.7599 f1=0.8515 pd=0.9852 fa=0.000039 thr=0.42 time=48.4s
[Epoch 093] loss=0.1825 miou=0.7392 niou=0.7597 f1=0.8500 pd=0.9841 fa=0.000034 thr=0.41 time=48.3s
[Epoch 094] loss=0.1786 miou=0.7405 niou=0.7571 f1=0.8509 pd=0.9905 fa=0.000042 thr=0.42 time=49.4s
[Epoch 095] loss=0.1797 miou=0.7389 niou=0.7590 f1=0.8499 pd=0.9894 fa=0.000040 thr=0.43 time=48.8s
[Epoch 096] loss=0.1774 miou=0.7213 niou=0.7437 f1=0.8381 pd=0.9915 fa=0.000062 thr=0.43 time=48.7s
[Epoch 097] loss=0.1804 miou=0.7373 niou=0.7605 f1=0.8488 pd=0.9788 fa=0.000026 thr=0.39 time=48.1s
[Epoch 098] loss=0.1766 miou=0.7476 niou=0.7672 f1=0.8556 pd=0.9810 fa=0.000036 thr=0.41 time=48.1s
[Epoch 099] loss=0.1762 miou=0.7340 niou=0.7542 f1=0.8466 pd=0.9862 fa=0.000043 thr=0.41 time=48.4s
[Epoch 100] loss=0.1767 miou=0.7447 niou=0.7649 f1=0.8537 pd=0.9841 fa=0.000039 thr=0.41 time=48.6s
[Epoch 101] loss=0.1759 miou=0.7483 niou=0.7688 f1=0.8561 pd=0.9767 fa=0.000030 thr=0.40 time=48.7s
[Epoch 102] loss=0.1735 miou=0.7420 niou=0.7604 f1=0.8519 pd=0.9884 fa=0.000040 thr=0.42 time=48.9s
[Epoch 103] loss=0.1778 miou=0.7425 niou=0.7618 f1=0.8522 pd=0.9831 fa=0.000029 thr=0.40 time=48.7s
[Epoch 104] loss=0.1732 miou=0.7485 niou=0.7656 f1=0.8562 pd=0.9852 fa=0.000037 thr=0.42 time=48.8s
[Epoch 105] loss=0.1767 miou=0.7328 niou=0.7515 f1=0.8458 pd=0.9937 fa=0.000057 thr=0.43 time=47.1s
[Epoch 106] loss=0.1738 miou=0.7254 niou=0.7420 f1=0.8409 pd=0.9926 fa=0.000062 thr=0.44 time=47.6s
[Epoch 107] loss=0.1741 miou=0.7418 niou=0.7625 f1=0.8518 pd=0.9894 fa=0.000038 thr=0.41 time=48.2s
[Epoch 108] loss=0.1734 miou=0.7456 niou=0.7630 f1=0.8542 pd=0.9852 fa=0.000030 thr=0.40 time=48.5s
[Epoch 109] loss=0.1723 miou=0.7402 niou=0.7572 f1=0.8507 pd=0.9873 fa=0.000049 thr=0.43 time=49.2s
[Epoch 110] loss=0.1675 miou=0.7474 niou=0.7651 f1=0.8555 pd=0.9905 fa=0.000035 thr=0.41 time=47.6s
[Epoch 111] loss=0.1729 miou=0.7492 niou=0.7665 f1=0.8567 pd=0.9831 fa=0.000034 thr=0.40 time=47.8s
[Epoch 112] loss=0.1692 miou=0.7450 niou=0.7636 f1=0.8539 pd=0.9831 fa=0.000029 thr=0.40 time=48.5s
[Epoch 113] loss=0.1758 miou=0.7463 niou=0.7648 f1=0.8548 pd=0.9841 fa=0.000036 thr=0.42 time=48.4s
[Epoch 114] loss=0.1653 miou=0.7480 niou=0.7653 f1=0.8558 pd=0.9905 fa=0.000035 thr=0.42 time=48.6s
[Epoch 115] loss=0.1699 miou=0.7418 niou=0.7586 f1=0.8517 pd=0.9873 fa=0.000044 thr=0.42 time=49.2s
[Epoch 116] loss=0.1686 miou=0.7350 niou=0.7548 f1=0.8473 pd=0.9915 fa=0.000051 thr=0.43 time=48.2s
[Epoch 117] loss=0.1674 miou=0.7493 niou=0.7679 f1=0.8567 pd=0.9841 fa=0.000034 thr=0.42 time=49.6s
[Epoch 118] loss=0.1709 miou=0.7473 niou=0.7655 f1=0.8554 pd=0.9862 fa=0.000042 thr=0.41 time=49.5s
[Epoch 119] loss=0.1682 miou=0.7423 niou=0.7606 f1=0.8521 pd=0.9873 fa=0.000040 thr=0.41 time=49.8s
[Epoch 120] loss=0.1704 miou=0.7369 niou=0.7542 f1=0.8485 pd=0.9926 fa=0.000057 thr=0.44 time=49.2s
[Epoch 121] loss=0.1685 miou=0.7326 niou=0.7503 f1=0.8457 pd=0.9862 fa=0.000048 thr=0.42 time=48.3s
[Epoch 122] loss=0.1719 miou=0.7476 niou=0.7663 f1=0.8556 pd=0.9862 fa=0.000039 thr=0.42 time=48.1s
[Epoch 123] loss=0.1690 miou=0.7398 niou=0.7583 f1=0.8505 pd=0.9852 fa=0.000030 thr=0.41 time=48.8s
[Epoch 124] loss=0.1645 miou=0.7413 niou=0.7614 f1=0.8515 pd=0.9862 fa=0.000043 thr=0.42 time=48.6s
[Epoch 125] loss=0.1625 miou=0.7443 niou=0.7624 f1=0.8534 pd=0.9852 fa=0.000038 thr=0.42 time=48.9s
[Epoch 126] loss=0.1620 miou=0.7468 niou=0.7649 f1=0.8551 pd=0.9852 fa=0.000034 thr=0.41 time=48.6s
[Epoch 127] loss=0.1697 miou=0.7508 niou=0.7654 f1=0.8577 pd=0.9841 fa=0.000042 thr=0.42 time=48.6s
[Epoch 128] loss=0.1671 miou=0.7392 niou=0.7557 f1=0.8501 pd=0.9884 fa=0.000048 thr=0.43 time=47.9s
[Epoch 129] loss=0.1623 miou=0.7517 niou=0.7650 f1=0.8583 pd=0.9884 fa=0.000034 thr=0.42 time=48.6s
[Epoch 130] loss=0.1641 miou=0.7461 niou=0.7628 f1=0.8546 pd=0.9884 fa=0.000038 thr=0.42 time=48.4s
[Epoch 131] loss=0.1689 miou=0.7444 niou=0.7647 f1=0.8535 pd=0.9862 fa=0.000025 thr=0.39 time=47.9s
[Epoch 132] loss=0.1659 miou=0.7459 niou=0.7623 f1=0.8545 pd=0.9884 fa=0.000029 thr=0.42 time=48.3s
[Epoch 133] loss=0.1602 miou=0.7503 niou=0.7679 f1=0.8574 pd=0.9905 fa=0.000038 thr=0.42 time=48.4s
[Epoch 134] loss=0.1631 miou=0.7514 niou=0.7699 f1=0.8580 pd=0.9884 fa=0.000032 thr=0.40 time=48.5s
[Epoch 135] loss=0.1582 miou=0.7516 niou=0.7705 f1=0.8582 pd=0.9873 fa=0.000033 thr=0.41 time=48.8s
[Epoch 136] loss=0.1586 miou=0.7342 niou=0.7487 f1=0.8467 pd=0.9884 fa=0.000048 thr=0.42 time=48.6s
[Epoch 137] loss=0.1605 miou=0.7534 niou=0.7711 f1=0.8593 pd=0.9862 fa=0.000028 thr=0.41 time=48.6s
[Epoch 138] loss=0.1602 miou=0.7437 niou=0.7635 f1=0.8530 pd=0.9831 fa=0.000033 thr=0.40 time=48.6s
[Epoch 139] loss=0.1597 miou=0.7469 niou=0.7631 f1=0.8551 pd=0.9884 fa=0.000044 thr=0.43 time=48.2s
[Epoch 140] loss=0.1568 miou=0.7533 niou=0.7732 f1=0.8593 pd=0.9905 fa=0.000027 thr=0.41 time=48.3s
[Epoch 141] loss=0.1578 miou=0.7470 niou=0.7623 f1=0.8552 pd=0.9873 fa=0.000042 thr=0.43 time=48.5s
[Epoch 142] loss=0.1610 miou=0.7525 niou=0.7680 f1=0.8588 pd=0.9873 fa=0.000031 thr=0.41 time=48.7s
[Epoch 143] loss=0.1606 miou=0.7333 niou=0.7460 f1=0.8461 pd=0.9905 fa=0.000049 thr=0.43 time=49.1s
[Epoch 144] loss=0.1588 miou=0.7479 niou=0.7621 f1=0.8558 pd=0.9915 fa=0.000035 thr=0.42 time=49.1s
[Epoch 145] loss=0.1580 miou=0.7581 niou=0.7732 f1=0.8624 pd=0.9873 fa=0.000028 thr=0.42 time=49.1s
[Epoch 146] loss=0.1575 miou=0.7521 niou=0.7680 f1=0.8585 pd=0.9873 fa=0.000029 thr=0.41 time=49.1s
[Epoch 147] loss=0.1566 miou=0.7526 niou=0.7693 f1=0.8588 pd=0.9852 fa=0.000032 thr=0.40 time=48.4s
[Epoch 148] loss=0.1567 miou=0.7496 niou=0.7676 f1=0.8569 pd=0.9873 fa=0.000038 thr=0.41 time=47.8s
[Epoch 149] loss=0.1578 miou=0.7476 niou=0.7615 f1=0.8556 pd=0.9894 fa=0.000043 thr=0.42 time=49.0s
[Epoch 150] loss=0.1531 miou=0.7484 niou=0.7644 f1=0.8561 pd=0.9884 fa=0.000038 thr=0.42 time=49.0s
[Epoch 151] loss=0.1540 miou=0.7522 niou=0.7701 f1=0.8586 pd=0.9852 fa=0.000028 thr=0.40 time=48.6s
[Epoch 152] loss=0.1547 miou=0.7477 niou=0.7628 f1=0.8556 pd=0.9884 fa=0.000031 thr=0.41 time=48.3s
[Epoch 153] loss=0.1556 miou=0.7391 niou=0.7556 f1=0.8500 pd=0.9905 fa=0.000053 thr=0.43 time=48.5s
[Epoch 154] loss=0.1575 miou=0.7452 niou=0.7615 f1=0.8540 pd=0.9894 fa=0.000046 thr=0.43 time=49.1s
[Epoch 155] loss=0.1556 miou=0.7546 niou=0.7726 f1=0.8601 pd=0.9894 fa=0.000031 thr=0.41 time=48.2s
[Epoch 156] loss=0.1531 miou=0.7464 niou=0.7590 f1=0.8548 pd=0.9915 fa=0.000038 thr=0.42 time=49.0s
[Epoch 157] loss=0.1543 miou=0.7470 niou=0.7631 f1=0.8552 pd=0.9862 fa=0.000050 thr=0.43 time=48.6s
[Epoch 158] loss=0.1576 miou=0.7343 niou=0.7533 f1=0.8468 pd=0.9884 fa=0.000057 thr=0.43 time=48.5s
[Epoch 159] loss=0.1554 miou=0.7551 niou=0.7720 f1=0.8605 pd=0.9894 fa=0.000035 thr=0.41 time=48.7s
[Epoch 160] loss=0.1524 miou=0.7463 niou=0.7614 f1=0.8547 pd=0.9852 fa=0.000031 thr=0.41 time=48.8s
[Epoch 161] loss=0.1499 miou=0.7511 niou=0.7657 f1=0.8579 pd=0.9862 fa=0.000032 thr=0.42 time=48.5s
[Epoch 162] loss=0.1561 miou=0.7477 niou=0.7654 f1=0.8556 pd=0.9862 fa=0.000034 thr=0.42 time=49.9s
[Epoch 163] loss=0.1512 miou=0.7467 niou=0.7642 f1=0.8550 pd=0.9852 fa=0.000030 thr=0.41 time=49.2s
[Epoch 164] loss=0.1514 miou=0.7448 niou=0.7604 f1=0.8538 pd=0.9862 fa=0.000040 thr=0.42 time=48.9s
[Epoch 165] loss=0.1516 miou=0.7505 niou=0.7677 f1=0.8575 pd=0.9905 fa=0.000037 thr=0.42 time=48.6s
[Epoch 166] loss=0.1482 miou=0.7503 niou=0.7688 f1=0.8573 pd=0.9820 fa=0.000024 thr=0.40 time=48.8s
[Epoch 167] loss=0.1524 miou=0.7499 niou=0.7678 f1=0.8571 pd=0.9884 fa=0.000036 thr=0.41 time=49.1s
[Epoch 168] loss=0.1521 miou=0.7509 niou=0.7677 f1=0.8577 pd=0.9884 fa=0.000032 thr=0.40 time=48.7s
[Epoch 169] loss=0.1522 miou=0.7567 niou=0.7727 f1=0.8615 pd=0.9873 fa=0.000033 thr=0.41 time=47.2s
[Epoch 170] loss=0.1551 miou=0.7522 niou=0.7661 f1=0.8586 pd=0.9862 fa=0.000037 thr=0.42 time=49.0s
[Epoch 171] loss=0.1502 miou=0.7527 niou=0.7712 f1=0.8589 pd=0.9841 fa=0.000023 thr=0.39 time=48.4s
[Epoch 172] loss=0.1527 miou=0.7462 niou=0.7593 f1=0.8546 pd=0.9884 fa=0.000042 thr=0.42 time=48.5s
[Epoch 173] loss=0.1514 miou=0.7497 niou=0.7654 f1=0.8569 pd=0.9862 fa=0.000034 thr=0.41 time=48.5s
[Epoch 174] loss=0.1463 miou=0.7519 niou=0.7705 f1=0.8584 pd=0.9873 fa=0.000031 thr=0.41 time=48.3s
[Epoch 175] loss=0.1505 miou=0.7502 niou=0.7684 f1=0.8573 pd=0.9799 fa=0.000027 thr=0.40 time=48.0s
[Epoch 176] loss=0.1504 miou=0.7453 niou=0.7641 f1=0.8541 pd=0.9746 fa=0.000024 thr=0.40 time=48.2s
[Epoch 177] loss=0.1521 miou=0.7412 niou=0.7577 f1=0.8513 pd=0.9894 fa=0.000044 thr=0.42 time=48.2s
[Epoch 178] loss=0.1488 miou=0.7523 niou=0.7689 f1=0.8587 pd=0.9884 fa=0.000026 thr=0.40 time=47.9s
[Epoch 179] loss=0.1493 miou=0.7449 niou=0.7603 f1=0.8538 pd=0.9905 fa=0.000034 thr=0.41 time=48.8s
[Epoch 180] loss=0.1468 miou=0.7489 niou=0.7637 f1=0.8564 pd=0.9894 fa=0.000039 thr=0.42 time=48.7s
[Epoch 181] loss=0.1475 miou=0.7539 niou=0.7706 f1=0.8597 pd=0.9841 fa=0.000026 thr=0.40 time=48.9s
[Epoch 182] loss=0.1453 miou=0.7580 niou=0.7757 f1=0.8623 pd=0.9862 fa=0.000030 thr=0.41 time=49.0s
[Epoch 183] loss=0.1479 miou=0.7474 niou=0.7594 f1=0.8554 pd=0.9905 fa=0.000042 thr=0.43 time=48.8s
[Epoch 184] loss=0.1482 miou=0.7526 niou=0.7686 f1=0.8588 pd=0.9862 fa=0.000027 thr=0.41 time=48.8s
[Epoch 185] loss=0.1451 miou=0.7545 niou=0.7706 f1=0.8601 pd=0.9873 fa=0.000028 thr=0.40 time=48.7s
[Epoch 186] loss=0.1476 miou=0.7523 niou=0.7683 f1=0.8586 pd=0.9884 fa=0.000031 thr=0.41 time=49.3s
[Epoch 187] loss=0.1455 miou=0.7461 niou=0.7583 f1=0.8546 pd=0.9905 fa=0.000037 thr=0.42 time=49.0s
[Epoch 188] loss=0.1478 miou=0.7528 niou=0.7690 f1=0.8589 pd=0.9873 fa=0.000028 thr=0.41 time=48.5s
[Epoch 189] loss=0.1431 miou=0.7518 niou=0.7679 f1=0.8583 pd=0.9862 fa=0.000031 thr=0.41 time=48.7s
[Epoch 190] loss=0.1455 miou=0.7513 niou=0.7662 f1=0.8580 pd=0.9873 fa=0.000041 thr=0.42 time=49.2s
[Epoch 191] loss=0.1457 miou=0.7439 niou=0.7610 f1=0.8531 pd=0.9894 fa=0.000040 thr=0.41 time=49.1s
[Epoch 192] loss=0.1430 miou=0.7480 niou=0.7616 f1=0.8559 pd=0.9905 fa=0.000040 thr=0.42 time=48.5s
[Epoch 193] loss=0.1398 miou=0.7578 niou=0.7729 f1=0.8622 pd=0.9884 fa=0.000030 thr=0.41 time=48.5s
[Epoch 194] loss=0.1429 miou=0.7421 niou=0.7554 f1=0.8520 pd=0.9873 fa=0.000052 thr=0.42 time=50.1s
[Epoch 195] loss=0.1444 miou=0.7551 niou=0.7710 f1=0.8605 pd=0.9862 fa=0.000022 thr=0.40 time=49.0s
[Epoch 196] loss=0.1427 miou=0.7481 niou=0.7603 f1=0.8559 pd=0.9915 fa=0.000044 thr=0.42 time=49.3s
[Epoch 197] loss=0.1428 miou=0.7544 niou=0.7729 f1=0.8600 pd=0.9894 fa=0.000033 thr=0.41 time=48.3s
[Epoch 198] loss=0.1438 miou=0.7577 niou=0.7711 f1=0.8621 pd=0.9905 fa=0.000030 thr=0.41 time=48.8s
