Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_ASG2_r48_t96_enc0p6_dec0p6bs4_e1000_kp1_split-50_50_20260109_220317
[Epoch 001] loss=1.2787 miou=0.0249 niou=0.0242 f1=0.0486 pd=0.3661 fa=0.000120 thr=0.40 time=51.1s
[Epoch 002] loss=0.6122 miou=0.5370 niou=0.5823 f1=0.6987 pd=0.9862 fa=0.000199 thr=0.46 time=49.0s
[Epoch 003] loss=0.3655 miou=0.6047 niou=0.6363 f1=0.7536 pd=0.9746 fa=0.000064 thr=0.41 time=49.0s
[Epoch 004] loss=0.3258 miou=0.6359 niou=0.6604 f1=0.7775 pd=0.9831 fa=0.000059 thr=0.42 time=47.5s
[Epoch 005] loss=0.3065 miou=0.6518 niou=0.6725 f1=0.7892 pd=0.9873 fa=0.000070 thr=0.45 time=49.1s
[Epoch 006] loss=0.2952 miou=0.6746 niou=0.7005 f1=0.8057 pd=0.9873 fa=0.000042 thr=0.41 time=49.1s
[Epoch 007] loss=0.2803 miou=0.6800 niou=0.7002 f1=0.8095 pd=0.9884 fa=0.000032 thr=0.42 time=48.9s
[Epoch 008] loss=0.2735 miou=0.6855 niou=0.7106 f1=0.8134 pd=0.9873 fa=0.000032 thr=0.42 time=48.2s
[Epoch 009] loss=0.2778 miou=0.6899 niou=0.7140 f1=0.8165 pd=0.9873 fa=0.000033 thr=0.42 time=48.7s
[Epoch 010] loss=0.2590 miou=0.6890 niou=0.7131 f1=0.8159 pd=0.9862 fa=0.000022 thr=0.40 time=48.4s
[Epoch 011] loss=0.2563 miou=0.6864 niou=0.7103 f1=0.8140 pd=0.9873 fa=0.000027 thr=0.41 time=49.0s
[Epoch 012] loss=0.2533 miou=0.7033 niou=0.7283 f1=0.8258 pd=0.9884 fa=0.000028 thr=0.40 time=49.0s
[Epoch 013] loss=0.2505 miou=0.7113 niou=0.7242 f1=0.8313 pd=0.9905 fa=0.000043 thr=0.44 time=49.1s
[Epoch 014] loss=0.2488 miou=0.7053 niou=0.7235 f1=0.8272 pd=0.9905 fa=0.000042 thr=0.43 time=48.8s
[Epoch 015] loss=0.2394 miou=0.7145 niou=0.7341 f1=0.8335 pd=0.9905 fa=0.000034 thr=0.43 time=48.9s
[Epoch 016] loss=0.2358 miou=0.7103 niou=0.7292 f1=0.8306 pd=0.9947 fa=0.000038 thr=0.42 time=49.3s
[Epoch 017] loss=0.2460 miou=0.7191 niou=0.7345 f1=0.8366 pd=0.9926 fa=0.000044 thr=0.44 time=48.9s
[Epoch 018] loss=0.2305 miou=0.7118 niou=0.7410 f1=0.8316 pd=0.9884 fa=0.000020 thr=0.39 time=47.5s
[Epoch 019] loss=0.2332 miou=0.7285 niou=0.7498 f1=0.8429 pd=0.9905 fa=0.000029 thr=0.42 time=48.5s
[Epoch 020] loss=0.2246 miou=0.7186 niou=0.7348 f1=0.8362 pd=0.9937 fa=0.000048 thr=0.43 time=48.3s
