Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_FSADAPTER_PGAP_DCT_nowin_bs4_e1000_kp1_split-50_50_20260120_223653
Enabled FSAdapter params during encoder freeze.
[Epoch 001] loss=1.2739 miou=0.1298 niou=0.1512 f1=0.2298 pd=0.8984 fa=0.000473 thr=0.43 time=76.0s
[Epoch 002] loss=0.4641 miou=0.6036 niou=0.6322 f1=0.7528 pd=0.9757 fa=0.000075 thr=0.42 time=72.0s
[Epoch 003] loss=0.3357 miou=0.6269 niou=0.6543 f1=0.7707 pd=0.9841 fa=0.000072 thr=0.42 time=71.9s
[Epoch 004] loss=0.3110 miou=0.6482 niou=0.6698 f1=0.7866 pd=0.9820 fa=0.000074 thr=0.44 time=72.1s
[Epoch 005] loss=0.2985 miou=0.6592 niou=0.6792 f1=0.7946 pd=0.9862 fa=0.000062 thr=0.44 time=72.0s
[Epoch 006] loss=0.2820 miou=0.6791 niou=0.7064 f1=0.8089 pd=0.9852 fa=0.000052 thr=0.42 time=72.8s
[Epoch 007] loss=0.2790 miou=0.6678 niou=0.6872 f1=0.8008 pd=0.9894 fa=0.000065 thr=0.44 time=72.3s
[Epoch 008] loss=0.2692 miou=0.6852 niou=0.7149 f1=0.8132 pd=0.9820 fa=0.000031 thr=0.41 time=72.2s
[Epoch 009] loss=0.2579 miou=0.6856 niou=0.7084 f1=0.8135 pd=0.9884 fa=0.000052 thr=0.43 time=72.3s
[Epoch 010] loss=0.2585 miou=0.6879 niou=0.7128 f1=0.8151 pd=0.9894 fa=0.000058 thr=0.44 time=72.4s
[Epoch 011] loss=0.2540 miou=0.7066 niou=0.7307 f1=0.8281 pd=0.9873 fa=0.000040 thr=0.43 time=73.3s
[Epoch 012] loss=0.2385 miou=0.7010 niou=0.7195 f1=0.8242 pd=0.9915 fa=0.000050 thr=0.44 time=74.0s
[Epoch 013] loss=0.2392 miou=0.7177 niou=0.7432 f1=0.8357 pd=0.9873 fa=0.000029 thr=0.41 time=73.8s
[Epoch 014] loss=0.2370 miou=0.7163 niou=0.7408 f1=0.8347 pd=0.9862 fa=0.000025 thr=0.40 time=73.0s
[Epoch 015] loss=0.2311 miou=0.7235 niou=0.7483 f1=0.8396 pd=0.9894 fa=0.000037 thr=0.42 time=72.3s
[Epoch 016] loss=0.2326 miou=0.7253 niou=0.7484 f1=0.8408 pd=0.9862 fa=0.000025 thr=0.40 time=73.1s
[Epoch 017] loss=0.2250 miou=0.7283 niou=0.7508 f1=0.8428 pd=0.9862 fa=0.000030 thr=0.41 time=73.0s
