Run directory: ./outputs_sam_sirst_hq\NUDT-SIRST_model-vitt_size256_HQ_PGAP_DCT_nowin_maskprompt_bs4_e1000_kp1_split-50_50_20260122_123549
[Epoch 001] loss=1.2774 miou=0.0283 niou=0.0331 f1=0.0551 pd=0.4074 fa=0.000038 thr=0.39 time=46.0s
[Epoch 002] loss=0.5630 miou=0.5890 niou=0.6130 f1=0.7413 pd=0.9788 fa=0.000110 thr=0.45 time=44.2s
[Epoch 003] loss=0.3553 miou=0.6306 niou=0.6635 f1=0.7735 pd=0.9714 fa=0.000055 thr=0.42 time=41.5s
[Epoch 004] loss=0.3159 miou=0.6349 niou=0.6534 f1=0.7767 pd=0.9831 fa=0.000075 thr=0.44 time=42.2s
[Epoch 005] loss=0.2965 miou=0.6618 niou=0.6901 f1=0.7965 pd=0.9810 fa=0.000041 thr=0.42 time=45.7s
[Epoch 006] loss=0.2849 miou=0.6441 niou=0.6685 f1=0.7836 pd=0.9905 fa=0.000087 thr=0.45 time=44.4s
[Epoch 007] loss=0.2840 miou=0.6759 niou=0.7018 f1=0.8066 pd=0.9831 fa=0.000044 thr=0.42 time=43.3s
[Epoch 008] loss=0.2666 miou=0.6809 niou=0.7079 f1=0.8101 pd=0.9841 fa=0.000045 thr=0.43 time=42.5s
[Epoch 009] loss=0.2644 miou=0.6777 niou=0.7007 f1=0.8079 pd=0.9841 fa=0.000047 thr=0.43 time=43.9s
[Epoch 010] loss=0.2634 miou=0.6903 niou=0.7171 f1=0.8168 pd=0.9862 fa=0.000043 thr=0.42 time=45.2s
[Epoch 011] loss=0.2648 miou=0.6884 niou=0.7141 f1=0.8155 pd=0.9905 fa=0.000054 thr=0.43 time=45.4s
[Epoch 012] loss=0.2500 miou=0.6984 niou=0.7268 f1=0.8224 pd=0.9831 fa=0.000034 thr=0.41 time=45.5s
[Epoch 013] loss=0.2456 miou=0.6962 niou=0.7245 f1=0.8209 pd=0.9820 fa=0.000028 thr=0.40 time=45.3s
[Epoch 014] loss=0.2444 miou=0.6973 niou=0.7256 f1=0.8217 pd=0.9820 fa=0.000029 thr=0.41 time=44.9s
[Epoch 015] loss=0.2453 miou=0.7020 niou=0.7238 f1=0.8249 pd=0.9873 fa=0.000040 thr=0.42 time=44.8s
[Epoch 016] loss=0.2401 miou=0.7124 niou=0.7394 f1=0.8320 pd=0.9841 fa=0.000033 thr=0.42 time=44.9s
[Epoch 017] loss=0.2400 miou=0.6948 niou=0.7167 f1=0.8199 pd=0.9905 fa=0.000061 thr=0.43 time=44.9s
[Epoch 018] loss=0.2326 miou=0.7202 niou=0.7476 f1=0.8374 pd=0.9852 fa=0.000032 thr=0.41 time=44.8s
[Epoch 019] loss=0.2298 miou=0.7028 niou=0.7287 f1=0.8255 pd=0.9947 fa=0.000056 thr=0.43 time=44.9s
[Epoch 020] loss=0.2299 miou=0.7166 niou=0.7444 f1=0.8349 pd=0.9831 fa=0.000031 thr=0.41 time=45.0s
[Epoch 021] loss=0.2291 miou=0.7014 niou=0.7351 f1=0.8245 pd=0.9820 fa=0.000020 thr=0.39 time=45.0s
[Epoch 022] loss=0.2196 miou=0.7201 niou=0.7463 f1=0.8373 pd=0.9884 fa=0.000034 thr=0.41 time=44.8s
[Epoch 023] loss=0.2218 miou=0.7234 niou=0.7509 f1=0.8395 pd=0.9873 fa=0.000032 thr=0.41 time=45.0s
[Epoch 024] loss=0.2188 miou=0.7168 niou=0.7391 f1=0.8351 pd=0.9884 fa=0.000027 thr=0.41 time=44.9s
[Epoch 025] loss=0.2148 miou=0.7280 niou=0.7510 f1=0.8426 pd=0.9884 fa=0.000029 thr=0.43 time=44.8s
[Epoch 026] loss=0.2162 miou=0.7252 niou=0.7467 f1=0.8407 pd=0.9905 fa=0.000041 thr=0.42 time=44.8s
[Epoch 027] loss=0.2119 miou=0.7307 niou=0.7548 f1=0.8444 pd=0.9862 fa=0.000029 thr=0.41 time=44.8s
[Epoch 028] loss=0.2172 miou=0.7300 niou=0.7534 f1=0.8439 pd=0.9873 fa=0.000027 thr=0.41 time=44.9s
[Epoch 029] loss=0.2090 miou=0.7324 niou=0.7568 f1=0.8455 pd=0.9873 fa=0.000026 thr=0.41 time=44.9s
[Epoch 030] loss=0.2059 miou=0.7336 niou=0.7562 f1=0.8463 pd=0.9915 fa=0.000031 thr=0.41 time=44.9s
[Epoch 031] loss=0.2076 miou=0.7334 niou=0.7614 f1=0.8462 pd=0.9810 fa=0.000025 thr=0.40 time=44.9s
[Epoch 032] loss=0.2019 miou=0.7354 niou=0.7577 f1=0.8475 pd=0.9894 fa=0.000032 thr=0.41 time=44.8s
[Epoch 033] loss=0.2111 miou=0.7340 niou=0.7570 f1=0.8466 pd=0.9937 fa=0.000028 thr=0.41 time=44.9s
[Epoch 034] loss=0.2035 miou=0.7301 niou=0.7568 f1=0.8440 pd=0.9841 fa=0.000020 thr=0.39 time=44.8s
[Epoch 035] loss=0.2031 miou=0.7312 niou=0.7539 f1=0.8447 pd=0.9894 fa=0.000022 thr=0.40 time=44.8s
