Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_PGAP_bs4_e1000_kp1_split-50_50_20260109_174621
[Epoch 001] loss=1.2908 miou=0.0002 niou=0.0003 f1=0.0005 pd=0.0063 fa=0.000000 thr=0.35 time=51.1s
[Epoch 002] loss=0.7327 miou=0.4870 niou=0.5669 f1=0.6550 pd=0.9841 fa=0.000296 thr=0.47 time=48.5s
[Epoch 003] loss=0.3821 miou=0.5905 niou=0.6336 f1=0.7425 pd=0.9725 fa=0.000112 thr=0.44 time=48.8s
[Epoch 004] loss=0.3527 miou=0.6088 niou=0.6441 f1=0.7569 pd=0.9704 fa=0.000069 thr=0.41 time=48.9s
[Epoch 005] loss=0.3411 miou=0.6288 niou=0.6600 f1=0.7721 pd=0.9767 fa=0.000081 thr=0.43 time=48.6s
[Epoch 006] loss=0.3308 miou=0.6337 niou=0.6638 f1=0.7758 pd=0.9820 fa=0.000093 thr=0.44 time=49.3s
[Epoch 007] loss=0.3110 miou=0.6283 niou=0.6586 f1=0.7717 pd=0.9841 fa=0.000088 thr=0.43 time=48.8s
[Epoch 008] loss=0.3121 miou=0.6040 niou=0.6307 f1=0.7531 pd=0.9841 fa=0.000144 thr=0.47 time=49.2s
[Epoch 009] loss=0.3067 miou=0.6615 niou=0.6889 f1=0.7963 pd=0.9820 fa=0.000064 thr=0.43 time=49.0s
[Epoch 010] loss=0.2968 miou=0.6616 niou=0.6882 f1=0.7963 pd=0.9820 fa=0.000066 thr=0.43 time=48.5s
[Epoch 011] loss=0.2921 miou=0.6526 niou=0.6802 f1=0.7898 pd=0.9862 fa=0.000084 thr=0.45 time=49.3s
[Epoch 012] loss=0.2904 miou=0.6540 niou=0.6797 f1=0.7908 pd=0.9820 fa=0.000088 thr=0.45 time=49.4s
[Epoch 013] loss=0.2870 miou=0.6421 niou=0.6728 f1=0.7820 pd=0.9873 fa=0.000115 thr=0.45 time=49.0s
[Epoch 014] loss=0.2778 miou=0.6733 niou=0.7002 f1=0.8048 pd=0.9810 fa=0.000041 thr=0.42 time=49.4s
[Epoch 015] loss=0.2727 miou=0.6854 niou=0.7135 f1=0.8133 pd=0.9788 fa=0.000034 thr=0.41 time=48.9s
[Epoch 016] loss=0.2669 miou=0.6844 niou=0.7083 f1=0.8126 pd=0.9810 fa=0.000052 thr=0.42 time=48.4s
[Epoch 017] loss=0.2693 miou=0.6759 niou=0.7018 f1=0.8066 pd=0.9841 fa=0.000078 thr=0.44 time=49.3s
[Epoch 018] loss=0.2609 miou=0.6875 niou=0.7086 f1=0.8148 pd=0.9841 fa=0.000054 thr=0.43 time=49.5s
[Epoch 019] loss=0.2572 miou=0.6898 niou=0.7109 f1=0.8164 pd=0.9862 fa=0.000053 thr=0.43 time=49.3s
[Epoch 020] loss=0.2562 miou=0.6962 niou=0.7137 f1=0.8209 pd=0.9862 fa=0.000052 thr=0.43 time=49.3s
[Epoch 021] loss=0.2642 miou=0.6583 niou=0.6862 f1=0.7939 pd=0.9894 fa=0.000112 thr=0.45 time=48.1s
[Epoch 022] loss=0.2526 miou=0.7028 niou=0.7268 f1=0.8255 pd=0.9831 fa=0.000038 thr=0.42 time=49.4s
[Epoch 023] loss=0.2454 miou=0.7016 niou=0.7241 f1=0.8246 pd=0.9820 fa=0.000056 thr=0.43 time=49.4s
[Epoch 024] loss=0.2401 miou=0.7001 niou=0.7235 f1=0.8236 pd=0.9852 fa=0.000054 thr=0.42 time=48.5s
[Epoch 025] loss=0.2476 miou=0.6742 niou=0.7011 f1=0.8054 pd=0.9852 fa=0.000095 thr=0.45 time=48.8s
[Epoch 026] loss=0.2422 miou=0.7082 niou=0.7310 f1=0.8292 pd=0.9862 fa=0.000045 thr=0.43 time=48.8s
[Epoch 027] loss=0.2338 miou=0.7136 niou=0.7388 f1=0.8329 pd=0.9852 fa=0.000037 thr=0.40 time=49.2s
[Epoch 028] loss=0.2330 miou=0.7160 niou=0.7351 f1=0.8345 pd=0.9852 fa=0.000045 thr=0.43 time=47.6s
[Epoch 029] loss=0.2368 miou=0.7084 niou=0.7314 f1=0.8293 pd=0.9862 fa=0.000058 thr=0.44 time=48.7s
[Epoch 030] loss=0.2319 miou=0.7020 niou=0.7224 f1=0.8249 pd=0.9894 fa=0.000064 thr=0.44 time=47.6s
[Epoch 031] loss=0.2401 miou=0.7148 niou=0.7415 f1=0.8337 pd=0.9810 fa=0.000038 thr=0.42 time=48.1s
[Epoch 032] loss=0.2282 miou=0.7200 niou=0.7448 f1=0.8372 pd=0.9810 fa=0.000039 thr=0.42 time=48.4s
[Epoch 033] loss=0.2325 miou=0.7117 niou=0.7364 f1=0.8316 pd=0.9852 fa=0.000048 thr=0.43 time=48.6s
[Epoch 034] loss=0.2270 miou=0.7199 niou=0.7446 f1=0.8371 pd=0.9884 fa=0.000034 thr=0.42 time=48.7s
[Epoch 035] loss=0.2293 miou=0.7238 niou=0.7474 f1=0.8398 pd=0.9884 fa=0.000029 thr=0.41 time=48.4s
[Epoch 036] loss=0.2245 miou=0.7014 niou=0.7260 f1=0.8245 pd=0.9915 fa=0.000072 thr=0.44 time=48.5s
[Epoch 037] loss=0.2197 miou=0.7132 niou=0.7359 f1=0.8326 pd=0.9831 fa=0.000048 thr=0.43 time=48.0s
[Epoch 038] loss=0.2230 miou=0.7194 niou=0.7445 f1=0.8368 pd=0.9894 fa=0.000050 thr=0.43 time=48.8s
[Epoch 039] loss=0.2159 miou=0.7174 niou=0.7346 f1=0.8354 pd=0.9884 fa=0.000047 thr=0.42 time=47.6s
[Epoch 040] loss=0.2201 miou=0.7267 niou=0.7499 f1=0.8417 pd=0.9873 fa=0.000038 thr=0.42 time=49.8s
[Epoch 041] loss=0.2195 miou=0.7247 niou=0.7492 f1=0.8404 pd=0.9831 fa=0.000031 thr=0.41 time=49.6s
[Epoch 042] loss=0.2220 miou=0.7234 niou=0.7426 f1=0.8395 pd=0.9862 fa=0.000047 thr=0.43 time=48.7s
[Epoch 043] loss=0.2117 miou=0.7257 niou=0.7518 f1=0.8410 pd=0.9852 fa=0.000041 thr=0.42 time=47.4s
[Epoch 044] loss=0.2155 miou=0.7250 niou=0.7455 f1=0.8406 pd=0.9873 fa=0.000043 thr=0.42 time=48.4s
[Epoch 045] loss=0.2184 miou=0.7210 niou=0.7421 f1=0.8379 pd=0.9873 fa=0.000047 thr=0.43 time=48.9s
[Epoch 046] loss=0.2116 miou=0.7307 niou=0.7547 f1=0.8444 pd=0.9841 fa=0.000034 thr=0.41 time=50.0s
[Epoch 047] loss=0.2135 miou=0.7239 niou=0.7470 f1=0.8399 pd=0.9873 fa=0.000041 thr=0.42 time=50.1s
[Epoch 048] loss=0.2068 miou=0.7237 niou=0.7468 f1=0.8397 pd=0.9884 fa=0.000043 thr=0.42 time=48.4s
[Epoch 049] loss=0.2088 miou=0.7260 niou=0.7479 f1=0.8413 pd=0.9884 fa=0.000044 thr=0.41 time=49.3s
[Epoch 050] loss=0.2069 miou=0.7228 niou=0.7468 f1=0.8391 pd=0.9862 fa=0.000052 thr=0.43 time=50.4s
[Epoch 051] loss=0.2026 miou=0.7155 niou=0.7402 f1=0.8342 pd=0.9799 fa=0.000034 thr=0.39 time=49.8s
[Epoch 052] loss=0.2076 miou=0.7281 niou=0.7519 f1=0.8427 pd=0.9841 fa=0.000025 thr=0.40 time=48.4s
[Epoch 053] loss=0.2048 miou=0.7273 niou=0.7508 f1=0.8421 pd=0.9852 fa=0.000026 thr=0.40 time=49.5s
[Epoch 054] loss=0.2115 miou=0.7296 niou=0.7492 f1=0.8437 pd=0.9873 fa=0.000040 thr=0.42 time=48.6s
[Epoch 055] loss=0.2101 miou=0.7389 niou=0.7629 f1=0.8498 pd=0.9873 fa=0.000030 thr=0.41 time=49.5s
[Epoch 056] loss=0.2066 miou=0.7318 niou=0.7527 f1=0.8451 pd=0.9831 fa=0.000031 thr=0.41 time=49.5s
[Epoch 057] loss=0.2002 miou=0.7242 niou=0.7417 f1=0.8400 pd=0.9841 fa=0.000048 thr=0.42 time=49.7s
[Epoch 058] loss=0.2030 miou=0.7343 niou=0.7573 f1=0.8468 pd=0.9852 fa=0.000039 thr=0.42 time=49.2s
[Epoch 059] loss=0.2011 miou=0.7241 niou=0.7463 f1=0.8400 pd=0.9862 fa=0.000046 thr=0.43 time=50.4s
[Epoch 060] loss=0.2013 miou=0.7364 niou=0.7583 f1=0.8482 pd=0.9884 fa=0.000032 thr=0.41 time=49.5s
[Epoch 061] loss=0.2008 miou=0.7344 niou=0.7551 f1=0.8468 pd=0.9841 fa=0.000034 thr=0.41 time=49.5s
[Epoch 062] loss=0.1979 miou=0.7356 niou=0.7547 f1=0.8476 pd=0.9862 fa=0.000037 thr=0.41 time=48.8s
[Epoch 063] loss=0.1946 miou=0.7410 niou=0.7628 f1=0.8512 pd=0.9852 fa=0.000030 thr=0.41 time=49.4s
[Epoch 064] loss=0.2036 miou=0.7242 niou=0.7463 f1=0.8401 pd=0.9873 fa=0.000040 thr=0.42 time=48.6s
[Epoch 065] loss=0.1995 miou=0.7189 niou=0.7457 f1=0.8364 pd=0.9831 fa=0.000030 thr=0.40 time=49.6s
[Epoch 066] loss=0.1987 miou=0.7329 niou=0.7524 f1=0.8459 pd=0.9873 fa=0.000045 thr=0.42 time=49.1s
[Epoch 067] loss=0.1939 miou=0.7261 niou=0.7405 f1=0.8413 pd=0.9894 fa=0.000056 thr=0.43 time=49.4s
[Epoch 068] loss=0.1978 miou=0.7263 niou=0.7434 f1=0.8415 pd=0.9852 fa=0.000054 thr=0.43 time=49.7s
[Epoch 069] loss=0.1978 miou=0.7268 niou=0.7485 f1=0.8418 pd=0.9841 fa=0.000051 thr=0.43 time=49.6s
[Epoch 070] loss=0.1990 miou=0.7351 niou=0.7558 f1=0.8473 pd=0.9831 fa=0.000033 thr=0.40 time=49.8s
[Epoch 071] loss=0.2045 miou=0.7294 niou=0.7490 f1=0.8435 pd=0.9873 fa=0.000054 thr=0.43 time=50.2s
[Epoch 072] loss=0.1899 miou=0.7326 niou=0.7488 f1=0.8456 pd=0.9873 fa=0.000050 thr=0.43 time=48.8s
[Epoch 073] loss=0.1933 miou=0.7333 niou=0.7565 f1=0.8462 pd=0.9852 fa=0.000035 thr=0.41 time=49.3s
[Epoch 074] loss=0.1903 miou=0.7344 niou=0.7527 f1=0.8469 pd=0.9873 fa=0.000041 thr=0.42 time=49.9s
[Epoch 075] loss=0.1939 miou=0.7394 niou=0.7535 f1=0.8502 pd=0.9862 fa=0.000041 thr=0.43 time=49.0s
[Epoch 076] loss=0.1951 miou=0.7310 niou=0.7544 f1=0.8446 pd=0.9841 fa=0.000032 thr=0.41 time=49.2s
[Epoch 077] loss=0.1912 miou=0.7413 niou=0.7606 f1=0.8514 pd=0.9862 fa=0.000038 thr=0.42 time=50.5s
[Epoch 078] loss=0.1895 miou=0.7433 niou=0.7630 f1=0.8528 pd=0.9894 fa=0.000038 thr=0.42 time=49.7s
[Epoch 079] loss=0.1919 miou=0.7369 niou=0.7590 f1=0.8485 pd=0.9831 fa=0.000029 thr=0.41 time=49.3s
[Epoch 080] loss=0.1870 miou=0.7348 niou=0.7525 f1=0.8471 pd=0.9841 fa=0.000043 thr=0.43 time=48.3s
[Epoch 081] loss=0.1916 miou=0.7399 niou=0.7591 f1=0.8505 pd=0.9831 fa=0.000031 thr=0.41 time=48.4s
[Epoch 082] loss=0.1887 miou=0.7221 niou=0.7403 f1=0.8386 pd=0.9873 fa=0.000054 thr=0.44 time=48.6s
[Epoch 083] loss=0.1878 miou=0.7253 niou=0.7442 f1=0.8408 pd=0.9884 fa=0.000056 thr=0.44 time=48.6s
[Epoch 084] loss=0.1911 miou=0.7294 niou=0.7471 f1=0.8436 pd=0.9873 fa=0.000046 thr=0.43 time=47.8s
[Epoch 085] loss=0.1871 miou=0.7185 niou=0.7372 f1=0.8362 pd=0.9915 fa=0.000067 thr=0.44 time=48.9s
[Epoch 086] loss=0.1862 miou=0.7393 niou=0.7597 f1=0.8501 pd=0.9820 fa=0.000024 thr=0.40 time=48.9s
[Epoch 087] loss=0.1859 miou=0.7245 niou=0.7433 f1=0.8403 pd=0.9894 fa=0.000063 thr=0.45 time=49.0s
[Epoch 088] loss=0.1851 miou=0.7298 niou=0.7497 f1=0.8438 pd=0.9894 fa=0.000060 thr=0.43 time=48.9s
[Epoch 089] loss=0.1818 miou=0.7173 niou=0.7344 f1=0.8354 pd=0.9862 fa=0.000064 thr=0.43 time=49.0s
[Epoch 090] loss=0.1847 miou=0.7383 niou=0.7619 f1=0.8495 pd=0.9820 fa=0.000028 thr=0.39 time=48.8s
[Epoch 091] loss=0.1844 miou=0.7450 niou=0.7652 f1=0.8539 pd=0.9841 fa=0.000031 thr=0.41 time=48.9s
[Epoch 092] loss=0.1810 miou=0.7488 niou=0.7680 f1=0.8563 pd=0.9831 fa=0.000032 thr=0.41 time=48.7s
[Epoch 093] loss=0.1774 miou=0.7395 niou=0.7596 f1=0.8503 pd=0.9799 fa=0.000034 thr=0.41 time=49.0s
[Epoch 094] loss=0.1799 miou=0.7415 niou=0.7635 f1=0.8516 pd=0.9810 fa=0.000030 thr=0.41 time=48.6s
[Epoch 095] loss=0.1841 miou=0.7409 niou=0.7578 f1=0.8512 pd=0.9862 fa=0.000038 thr=0.42 time=48.9s
[Epoch 096] loss=0.1761 miou=0.7503 niou=0.7669 f1=0.8573 pd=0.9852 fa=0.000030 thr=0.41 time=48.7s
[Epoch 097] loss=0.1760 miou=0.7411 niou=0.7613 f1=0.8513 pd=0.9831 fa=0.000031 thr=0.41 time=48.7s
[Epoch 098] loss=0.1749 miou=0.7422 niou=0.7609 f1=0.8520 pd=0.9862 fa=0.000035 thr=0.42 time=48.5s
[Epoch 099] loss=0.1775 miou=0.7385 niou=0.7604 f1=0.8496 pd=0.9831 fa=0.000027 thr=0.40 time=48.9s
