Run directory: ./outputs_sam_sirst_hq\NUDT-SIRST_model-vitt_size256_HQ_PGAP_fixTopk_bs4_e1000_kp0_split-50_50_20260113_101749
[Epoch 001] loss=1.2777 miou=0.0000 niou=0.0000 f1=0.0001 pd=0.0000 fa=0.000000 thr=0.35 time=41.4s
[Epoch 002] loss=0.7002 miou=0.4115 niou=0.5021 f1=0.5830 pd=0.9884 fa=0.000506 thr=0.49 time=40.1s
[Epoch 003] loss=0.3912 miou=0.5906 niou=0.6275 f1=0.7426 pd=0.9640 fa=0.000080 thr=0.41 time=43.2s
[Epoch 004] loss=0.3566 miou=0.6116 niou=0.6454 f1=0.7590 pd=0.9651 fa=0.000071 thr=0.42 time=43.4s
[Epoch 005] loss=0.3424 miou=0.6261 niou=0.6584 f1=0.7700 pd=0.9683 fa=0.000070 thr=0.42 time=42.9s
[Epoch 006] loss=0.3262 miou=0.6020 niou=0.6428 f1=0.7516 pd=0.9820 fa=0.000137 thr=0.45 time=43.3s
[Epoch 007] loss=0.3152 miou=0.6187 niou=0.6495 f1=0.7644 pd=0.9820 fa=0.000111 thr=0.45 time=43.0s
[Epoch 008] loss=0.3101 miou=0.6408 niou=0.6707 f1=0.7811 pd=0.9767 fa=0.000060 thr=0.42 time=42.9s
[Epoch 009] loss=0.3026 miou=0.6544 niou=0.6824 f1=0.7911 pd=0.9810 fa=0.000066 thr=0.42 time=42.8s
[Epoch 010] loss=0.2945 miou=0.6490 niou=0.6761 f1=0.7872 pd=0.9810 fa=0.000081 thr=0.43 time=43.8s
[Epoch 011] loss=0.2933 miou=0.6479 niou=0.6817 f1=0.7863 pd=0.9725 fa=0.000033 thr=0.40 time=42.8s
[Epoch 012] loss=0.2907 miou=0.6457 niou=0.6719 f1=0.7847 pd=0.9831 fa=0.000096 thr=0.45 time=42.8s
[Epoch 013] loss=0.2855 miou=0.6710 niou=0.6979 f1=0.8031 pd=0.9788 fa=0.000057 thr=0.42 time=42.8s
[Epoch 014] loss=0.2806 miou=0.6599 niou=0.6864 f1=0.7951 pd=0.9841 fa=0.000085 thr=0.44 time=42.7s
[Epoch 015] loss=0.2738 miou=0.6491 niou=0.6824 f1=0.7872 pd=0.9746 fa=0.000033 thr=0.39 time=42.8s
[Epoch 016] loss=0.2726 miou=0.6843 niou=0.7048 f1=0.8126 pd=0.9831 fa=0.000057 thr=0.44 time=42.8s
[Epoch 017] loss=0.2697 miou=0.6891 niou=0.7120 f1=0.8159 pd=0.9810 fa=0.000049 thr=0.41 time=42.3s
[Epoch 018] loss=0.2674 miou=0.6877 niou=0.7120 f1=0.8150 pd=0.9757 fa=0.000044 thr=0.41 time=40.2s
[Epoch 019] loss=0.2609 miou=0.6883 niou=0.7117 f1=0.8154 pd=0.9820 fa=0.000049 thr=0.41 time=41.0s
[Epoch 020] loss=0.2577 miou=0.6927 niou=0.7181 f1=0.8185 pd=0.9767 fa=0.000032 thr=0.41 time=42.8s
[Epoch 021] loss=0.2512 miou=0.6998 niou=0.7234 f1=0.8234 pd=0.9799 fa=0.000042 thr=0.42 time=42.8s
[Epoch 022] loss=0.2506 miou=0.7018 niou=0.7266 f1=0.8247 pd=0.9841 fa=0.000050 thr=0.42 time=42.8s
[Epoch 023] loss=0.2482 miou=0.6861 niou=0.7072 f1=0.8138 pd=0.9873 fa=0.000071 thr=0.44 time=42.5s
[Epoch 024] loss=0.2444 miou=0.6845 niou=0.7048 f1=0.8127 pd=0.9862 fa=0.000075 thr=0.44 time=42.6s
[Epoch 025] loss=0.2448 miou=0.6970 niou=0.7219 f1=0.8214 pd=0.9810 fa=0.000048 thr=0.42 time=43.1s
[Epoch 026] loss=0.2466 miou=0.6984 niou=0.7205 f1=0.8224 pd=0.9852 fa=0.000062 thr=0.43 time=41.5s
[Epoch 027] loss=0.2440 miou=0.7062 niou=0.7306 f1=0.8278 pd=0.9831 fa=0.000046 thr=0.42 time=41.3s
[Epoch 028] loss=0.2384 miou=0.7028 niou=0.7282 f1=0.8254 pd=0.9831 fa=0.000060 thr=0.43 time=41.9s
[Epoch 029] loss=0.2383 miou=0.7107 niou=0.7336 f1=0.8309 pd=0.9852 fa=0.000038 thr=0.41 time=43.1s
[Epoch 030] loss=0.2345 miou=0.7120 niou=0.7339 f1=0.8318 pd=0.9852 fa=0.000055 thr=0.42 time=40.3s
[Epoch 031] loss=0.2325 miou=0.6968 niou=0.7182 f1=0.8213 pd=0.9852 fa=0.000066 thr=0.43 time=42.5s
[Epoch 032] loss=0.2369 miou=0.7039 niou=0.7267 f1=0.8262 pd=0.9873 fa=0.000063 thr=0.44 time=40.0s
[Epoch 033] loss=0.2401 miou=0.7133 niou=0.7407 f1=0.8327 pd=0.9862 fa=0.000045 thr=0.42 time=42.4s
[Epoch 034] loss=0.2312 miou=0.7152 niou=0.7387 f1=0.8340 pd=0.9862 fa=0.000045 thr=0.43 time=40.8s
[Epoch 035] loss=0.2273 miou=0.7094 niou=0.7351 f1=0.8300 pd=0.9810 fa=0.000027 thr=0.40 time=42.9s
[Epoch 036] loss=0.2193 miou=0.7100 niou=0.7348 f1=0.8304 pd=0.9884 fa=0.000051 thr=0.43 time=43.3s
[Epoch 037] loss=0.2221 miou=0.7206 niou=0.7448 f1=0.8376 pd=0.9841 fa=0.000038 thr=0.42 time=39.9s
[Epoch 038] loss=0.2298 miou=0.7193 niou=0.7438 f1=0.8368 pd=0.9810 fa=0.000035 thr=0.41 time=39.7s
[Epoch 039] loss=0.2247 miou=0.7127 niou=0.7344 f1=0.8323 pd=0.9788 fa=0.000029 thr=0.40 time=39.9s
[Epoch 040] loss=0.2175 miou=0.7168 niou=0.7405 f1=0.8350 pd=0.9841 fa=0.000038 thr=0.42 time=39.7s
[Epoch 041] loss=0.2202 miou=0.7155 niou=0.7399 f1=0.8341 pd=0.9884 fa=0.000053 thr=0.42 time=39.7s
[Epoch 042] loss=0.2160 miou=0.7179 niou=0.7402 f1=0.8358 pd=0.9873 fa=0.000039 thr=0.42 time=39.7s
[Epoch 043] loss=0.2173 miou=0.7095 niou=0.7245 f1=0.8300 pd=0.9852 fa=0.000052 thr=0.43 time=38.9s
[Epoch 044] loss=0.2204 miou=0.7176 niou=0.7423 f1=0.8356 pd=0.9862 fa=0.000041 thr=0.42 time=39.2s
[Epoch 045] loss=0.2149 miou=0.7198 niou=0.7360 f1=0.8371 pd=0.9831 fa=0.000051 thr=0.44 time=39.2s
[Epoch 046] loss=0.2159 miou=0.7241 niou=0.7490 f1=0.8400 pd=0.9820 fa=0.000032 thr=0.41 time=39.0s
[Epoch 047] loss=0.2122 miou=0.7232 niou=0.7477 f1=0.8394 pd=0.9841 fa=0.000038 thr=0.41 time=39.5s
[Epoch 048] loss=0.2101 miou=0.7171 niou=0.7389 f1=0.8353 pd=0.9894 fa=0.000050 thr=0.43 time=39.1s
[Epoch 049] loss=0.2100 miou=0.7288 niou=0.7515 f1=0.8432 pd=0.9841 fa=0.000035 thr=0.41 time=39.3s
[Epoch 050] loss=0.2103 miou=0.7148 niou=0.7429 f1=0.8337 pd=0.9799 fa=0.000028 thr=0.40 time=39.8s
[Epoch 051] loss=0.2151 miou=0.7279 niou=0.7507 f1=0.8425 pd=0.9852 fa=0.000044 thr=0.42 time=39.5s
[Epoch 052] loss=0.2088 miou=0.7266 niou=0.7493 f1=0.8416 pd=0.9841 fa=0.000038 thr=0.42 time=39.9s
[Epoch 053] loss=0.2107 miou=0.7265 niou=0.7512 f1=0.8416 pd=0.9831 fa=0.000034 thr=0.41 time=39.7s
[Epoch 054] loss=0.2057 miou=0.7229 niou=0.7517 f1=0.8392 pd=0.9820 fa=0.000027 thr=0.40 time=39.5s
[Epoch 055] loss=0.2047 miou=0.7271 niou=0.7514 f1=0.8420 pd=0.9831 fa=0.000033 thr=0.40 time=39.8s
[Epoch 056] loss=0.2069 miou=0.7343 niou=0.7593 f1=0.8468 pd=0.9810 fa=0.000028 thr=0.41 time=40.3s
[Epoch 057] loss=0.2050 miou=0.7311 niou=0.7507 f1=0.8447 pd=0.9841 fa=0.000046 thr=0.42 time=40.2s
[Epoch 058] loss=0.2051 miou=0.7151 niou=0.7363 f1=0.8339 pd=0.9862 fa=0.000055 thr=0.42 time=40.7s
[Epoch 059] loss=0.2061 miou=0.7285 niou=0.7523 f1=0.8429 pd=0.9831 fa=0.000040 thr=0.42 time=40.2s
[Epoch 060] loss=0.1986 miou=0.7300 niou=0.7546 f1=0.8439 pd=0.9852 fa=0.000036 thr=0.41 time=43.9s
[Epoch 061] loss=0.2020 miou=0.7259 niou=0.7490 f1=0.8412 pd=0.9862 fa=0.000048 thr=0.42 time=42.7s
[Epoch 062] loss=0.2005 miou=0.7289 niou=0.7503 f1=0.8432 pd=0.9841 fa=0.000041 thr=0.41 time=42.8s
[Epoch 063] loss=0.2073 miou=0.6634 niou=0.6857 f1=0.7976 pd=0.9905 fa=0.000122 thr=0.46 time=43.8s
[Epoch 064] loss=0.2061 miou=0.7315 niou=0.7511 f1=0.8449 pd=0.9862 fa=0.000039 thr=0.42 time=43.5s
[Epoch 065] loss=0.2014 miou=0.7301 niou=0.7530 f1=0.8440 pd=0.9873 fa=0.000041 thr=0.42 time=43.5s
[Epoch 066] loss=0.1995 miou=0.7335 niou=0.7544 f1=0.8463 pd=0.9841 fa=0.000031 thr=0.41 time=43.3s
[Epoch 067] loss=0.1987 miou=0.7386 niou=0.7589 f1=0.8497 pd=0.9894 fa=0.000041 thr=0.42 time=43.2s
[Epoch 068] loss=0.1930 miou=0.7332 niou=0.7555 f1=0.8461 pd=0.9873 fa=0.000038 thr=0.42 time=43.2s
[Epoch 069] loss=0.1966 miou=0.7245 niou=0.7462 f1=0.8402 pd=0.9884 fa=0.000058 thr=0.43 time=43.2s
[Epoch 070] loss=0.1982 miou=0.7238 niou=0.7459 f1=0.8398 pd=0.9767 fa=0.000026 thr=0.39 time=43.3s
[Epoch 071] loss=0.1992 miou=0.7323 niou=0.7565 f1=0.8455 pd=0.9862 fa=0.000037 thr=0.42 time=42.8s
[Epoch 072] loss=0.1914 miou=0.7277 niou=0.7507 f1=0.8424 pd=0.9862 fa=0.000046 thr=0.42 time=42.9s
[Epoch 073] loss=0.1898 miou=0.7324 niou=0.7551 f1=0.8456 pd=0.9831 fa=0.000039 thr=0.41 time=43.2s
[Epoch 074] loss=0.1931 miou=0.7318 niou=0.7515 f1=0.8451 pd=0.9852 fa=0.000042 thr=0.43 time=40.3s
[Epoch 075] loss=0.1925 miou=0.7390 niou=0.7605 f1=0.8499 pd=0.9831 fa=0.000033 thr=0.42 time=42.8s
[Epoch 076] loss=0.1939 miou=0.7310 niou=0.7524 f1=0.8446 pd=0.9841 fa=0.000049 thr=0.42 time=42.8s
[Epoch 077] loss=0.1866 miou=0.7295 niou=0.7484 f1=0.8436 pd=0.9841 fa=0.000045 thr=0.43 time=41.4s
[Epoch 078] loss=0.1892 miou=0.7355 niou=0.7572 f1=0.8476 pd=0.9831 fa=0.000026 thr=0.41 time=39.2s
[Epoch 079] loss=0.1926 miou=0.7356 niou=0.7566 f1=0.8477 pd=0.9820 fa=0.000022 thr=0.40 time=39.3s
[Epoch 080] loss=0.1895 miou=0.7370 niou=0.7566 f1=0.8486 pd=0.9820 fa=0.000035 thr=0.42 time=40.4s
[Epoch 081] loss=0.1862 miou=0.7401 niou=0.7602 f1=0.8506 pd=0.9852 fa=0.000033 thr=0.42 time=40.3s
[Epoch 082] loss=0.1893 miou=0.7276 niou=0.7465 f1=0.8424 pd=0.9862 fa=0.000048 thr=0.42 time=41.6s
[Epoch 083] loss=0.1913 miou=0.7388 niou=0.7605 f1=0.8498 pd=0.9873 fa=0.000027 thr=0.41 time=41.4s
[Epoch 084] loss=0.1891 miou=0.7406 niou=0.7605 f1=0.8509 pd=0.9894 fa=0.000041 thr=0.43 time=40.3s
[Epoch 085] loss=0.1859 miou=0.7379 niou=0.7598 f1=0.8492 pd=0.9841 fa=0.000034 thr=0.41 time=40.7s
[Epoch 086] loss=0.1857 miou=0.7413 niou=0.7606 f1=0.8514 pd=0.9810 fa=0.000028 thr=0.41 time=40.0s
