Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_RadialGate_FAB_bs4_e1000_kp1_split-50_50_20260207_150000
Initialized FAB Loss (bins=16, boundary_width=3, high_freq_weight=2.0)
[Epoch 001] loss=1.2909 miou=0.0470 niou=0.0483 f1=0.0898 pd=0.4656 fa=0.000106 thr=0.40 time=51.4s
[Epoch 002] loss=0.5428 miou=0.5344 niou=0.5869 f1=0.6965 pd=0.9852 fa=0.000179 thr=0.45 time=50.5s
[Epoch 003] loss=0.3667 miou=0.6068 niou=0.6431 f1=0.7553 pd=0.9693 fa=0.000064 thr=0.41 time=48.0s
[Epoch 004] loss=0.3363 miou=0.6296 niou=0.6578 f1=0.7727 pd=0.9810 fa=0.000075 thr=0.43 time=51.0s
[Epoch 005] loss=0.3158 miou=0.6493 niou=0.6743 f1=0.7874 pd=0.9852 fa=0.000070 thr=0.44 time=50.4s
[Epoch 006] loss=0.3019 miou=0.6709 niou=0.6954 f1=0.8030 pd=0.9820 fa=0.000046 thr=0.41 time=49.9s
[Epoch 007] loss=0.2882 miou=0.6787 niou=0.7015 f1=0.8086 pd=0.9852 fa=0.000061 thr=0.43 time=50.5s
[Epoch 008] loss=0.2853 miou=0.6693 niou=0.6849 f1=0.8019 pd=0.9884 fa=0.000060 thr=0.43 time=50.3s
[Epoch 009] loss=0.2735 miou=0.6682 niou=0.6895 f1=0.8011 pd=0.9937 fa=0.000073 thr=0.44 time=50.0s
[Epoch 010] loss=0.2697 miou=0.6824 niou=0.7041 f1=0.8112 pd=0.9915 fa=0.000060 thr=0.44 time=50.0s
[Epoch 011] loss=0.2562 miou=0.6950 niou=0.7137 f1=0.8200 pd=0.9905 fa=0.000044 thr=0.42 time=49.3s
[Epoch 012] loss=0.2599 miou=0.6972 niou=0.7239 f1=0.8216 pd=0.9841 fa=0.000026 thr=0.40 time=50.4s
[Epoch 013] loss=0.2518 miou=0.6973 niou=0.7176 f1=0.8216 pd=0.9937 fa=0.000058 thr=0.44 time=50.1s
[Epoch 014] loss=0.2455 miou=0.7048 niou=0.7264 f1=0.8269 pd=0.9894 fa=0.000034 thr=0.41 time=48.4s
[Epoch 015] loss=0.2418 miou=0.7113 niou=0.7307 f1=0.8313 pd=0.9894 fa=0.000036 thr=0.42 time=50.3s
[Epoch 016] loss=0.2450 miou=0.7139 niou=0.7340 f1=0.8330 pd=0.9894 fa=0.000047 thr=0.44 time=50.5s
[Epoch 017] loss=0.2367 miou=0.6568 niou=0.6819 f1=0.7928 pd=0.9926 fa=0.000113 thr=0.46 time=50.3s
[Epoch 018] loss=0.2379 miou=0.7178 niou=0.7376 f1=0.8357 pd=0.9884 fa=0.000035 thr=0.41 time=50.3s
[Epoch 019] loss=0.2388 miou=0.7208 niou=0.7417 f1=0.8377 pd=0.9894 fa=0.000043 thr=0.43 time=50.3s
[Epoch 020] loss=0.2299 miou=0.7153 niou=0.7385 f1=0.8340 pd=0.9937 fa=0.000038 thr=0.42 time=50.4s
[Epoch 021] loss=0.2261 miou=0.7266 niou=0.7494 f1=0.8417 pd=0.9873 fa=0.000033 thr=0.41 time=50.1s
[Epoch 022] loss=0.2249 miou=0.7203 niou=0.7398 f1=0.8374 pd=0.9926 fa=0.000039 thr=0.42 time=50.3s
[Epoch 023] loss=0.2257 miou=0.7305 niou=0.7498 f1=0.8442 pd=0.9926 fa=0.000028 thr=0.41 time=50.2s
[Epoch 024] loss=0.2217 miou=0.7224 niou=0.7414 f1=0.8388 pd=0.9926 fa=0.000038 thr=0.42 time=50.5s
[Epoch 025] loss=0.2179 miou=0.7299 niou=0.7600 f1=0.8439 pd=0.9852 fa=0.000022 thr=0.40 time=50.3s
[Epoch 026] loss=0.2224 miou=0.7352 niou=0.7544 f1=0.8474 pd=0.9915 fa=0.000033 thr=0.42 time=50.5s
[Epoch 027] loss=0.2167 miou=0.7179 niou=0.7301 f1=0.8358 pd=0.9937 fa=0.000045 thr=0.44 time=50.4s
[Epoch 028] loss=0.2137 miou=0.7390 niou=0.7624 f1=0.8499 pd=0.9894 fa=0.000024 thr=0.41 time=50.3s
[Epoch 029] loss=0.2147 miou=0.7338 niou=0.7514 f1=0.8464 pd=0.9915 fa=0.000037 thr=0.42 time=50.2s
[Epoch 030] loss=0.2145 miou=0.7377 niou=0.7521 f1=0.8491 pd=0.9926 fa=0.000032 thr=0.42 time=50.5s
[Epoch 031] loss=0.2178 miou=0.7300 niou=0.7524 f1=0.8439 pd=0.9937 fa=0.000041 thr=0.43 time=50.3s
[Epoch 032] loss=0.2066 miou=0.7400 niou=0.7657 f1=0.8505 pd=0.9873 fa=0.000024 thr=0.40 time=50.4s
[Epoch 033] loss=0.2105 miou=0.7373 niou=0.7598 f1=0.8488 pd=0.9905 fa=0.000037 thr=0.42 time=50.6s
[Epoch 034] loss=0.2031 miou=0.7255 niou=0.7539 f1=0.8409 pd=0.9926 fa=0.000022 thr=0.40 time=50.5s
[Epoch 035] loss=0.2006 miou=0.7286 niou=0.7433 f1=0.8430 pd=0.9915 fa=0.000042 thr=0.42 time=50.5s
[Epoch 036] loss=0.2084 miou=0.7348 niou=0.7533 f1=0.8471 pd=0.9937 fa=0.000036 thr=0.43 time=50.3s
[Epoch 037] loss=0.2065 miou=0.7430 niou=0.7639 f1=0.8525 pd=0.9958 fa=0.000034 thr=0.42 time=50.3s
[Epoch 038] loss=0.1998 miou=0.7296 niou=0.7519 f1=0.8436 pd=0.9894 fa=0.000025 thr=0.40 time=50.2s
[Epoch 039] loss=0.2036 miou=0.7405 niou=0.7593 f1=0.8509 pd=0.9926 fa=0.000031 thr=0.43 time=50.2s
[Epoch 040] loss=0.2051 miou=0.7444 niou=0.7672 f1=0.8535 pd=0.9905 fa=0.000022 thr=0.40 time=49.7s
[Epoch 041] loss=0.2003 miou=0.7449 niou=0.7678 f1=0.8538 pd=0.9915 fa=0.000025 thr=0.42 time=48.9s
[Epoch 042] loss=0.1987 miou=0.7442 niou=0.7659 f1=0.8534 pd=0.9926 fa=0.000025 thr=0.40 time=49.5s
[Epoch 043] loss=0.2002 miou=0.7380 niou=0.7546 f1=0.8493 pd=0.9968 fa=0.000039 thr=0.43 time=49.5s
[Epoch 044] loss=0.2015 miou=0.7415 niou=0.7631 f1=0.8516 pd=0.9926 fa=0.000033 thr=0.41 time=50.4s
[Epoch 045] loss=0.1996 miou=0.7345 niou=0.7508 f1=0.8469 pd=0.9947 fa=0.000043 thr=0.44 time=50.1s
[Epoch 046] loss=0.2012 miou=0.7404 niou=0.7580 f1=0.8508 pd=0.9958 fa=0.000040 thr=0.43 time=49.0s
[Epoch 047] loss=0.1942 miou=0.7382 niou=0.7572 f1=0.8494 pd=0.9937 fa=0.000041 thr=0.43 time=50.3s
[Epoch 048] loss=0.1928 miou=0.7349 niou=0.7588 f1=0.8472 pd=0.9937 fa=0.000032 thr=0.41 time=49.1s
[Epoch 049] loss=0.1950 miou=0.7532 niou=0.7732 f1=0.8592 pd=0.9937 fa=0.000020 thr=0.42 time=50.4s
[Epoch 050] loss=0.1948 miou=0.7429 niou=0.7611 f1=0.8525 pd=0.9926 fa=0.000033 thr=0.43 time=50.6s
[Epoch 051] loss=0.1948 miou=0.7323 niou=0.7496 f1=0.8455 pd=0.9947 fa=0.000051 thr=0.44 time=50.7s
[Epoch 052] loss=0.1984 miou=0.7406 niou=0.7649 f1=0.8510 pd=0.9915 fa=0.000018 thr=0.39 time=49.9s
[Epoch 053] loss=0.1911 miou=0.7519 niou=0.7738 f1=0.8584 pd=0.9947 fa=0.000024 thr=0.41 time=50.2s
[Epoch 054] loss=0.1862 miou=0.7577 niou=0.7771 f1=0.8622 pd=0.9915 fa=0.000018 thr=0.40 time=50.4s
[Epoch 055] loss=0.1895 miou=0.7425 niou=0.7580 f1=0.8522 pd=0.9947 fa=0.000040 thr=0.43 time=49.8s
[Epoch 056] loss=0.1897 miou=0.7472 niou=0.7698 f1=0.8553 pd=0.9884 fa=0.000019 thr=0.40 time=50.6s
[Epoch 057] loss=0.1874 miou=0.7410 niou=0.7610 f1=0.8512 pd=0.9958 fa=0.000041 thr=0.43 time=50.4s
[Epoch 058] loss=0.1911 miou=0.7518 niou=0.7696 f1=0.8583 pd=0.9915 fa=0.000027 thr=0.41 time=50.6s
[Epoch 059] loss=0.1854 miou=0.7542 niou=0.7732 f1=0.8599 pd=0.9937 fa=0.000029 thr=0.41 time=50.4s
[Epoch 060] loss=0.1862 miou=0.7576 niou=0.7765 f1=0.8621 pd=0.9937 fa=0.000026 thr=0.42 time=50.4s
[Epoch 061] loss=0.1844 miou=0.7602 niou=0.7810 f1=0.8638 pd=0.9905 fa=0.000022 thr=0.41 time=50.1s
[Epoch 062] loss=0.1844 miou=0.7540 niou=0.7766 f1=0.8598 pd=0.9852 fa=0.000020 thr=0.40 time=50.5s
[Epoch 063] loss=0.1837 miou=0.7581 niou=0.7765 f1=0.8624 pd=0.9926 fa=0.000029 thr=0.43 time=50.5s
[Epoch 064] loss=0.1836 miou=0.7338 niou=0.7525 f1=0.8465 pd=0.9968 fa=0.000052 thr=0.44 time=49.1s
[Epoch 065] loss=0.1847 miou=0.7491 niou=0.7664 f1=0.8566 pd=0.9947 fa=0.000028 thr=0.41 time=48.7s
[Epoch 066] loss=0.1803 miou=0.7557 niou=0.7756 f1=0.8608 pd=0.9937 fa=0.000026 thr=0.41 time=48.4s
[Epoch 067] loss=0.1791 miou=0.7591 niou=0.7800 f1=0.8630 pd=0.9947 fa=0.000026 thr=0.40 time=48.9s
[Epoch 068] loss=0.1774 miou=0.7620 niou=0.7842 f1=0.8649 pd=0.9915 fa=0.000026 thr=0.42 time=48.7s
[Epoch 069] loss=0.1841 miou=0.7526 niou=0.7742 f1=0.8589 pd=0.9884 fa=0.000031 thr=0.41 time=48.7s
[Epoch 070] loss=0.1804 miou=0.7572 niou=0.7769 f1=0.8618 pd=0.9905 fa=0.000034 thr=0.41 time=48.8s
[Epoch 071] loss=0.1773 miou=0.7499 niou=0.7673 f1=0.8571 pd=0.9937 fa=0.000041 thr=0.43 time=48.7s
[Epoch 072] loss=0.1787 miou=0.7581 niou=0.7750 f1=0.8624 pd=0.9926 fa=0.000028 thr=0.43 time=48.6s
[Epoch 073] loss=0.1776 miou=0.7575 niou=0.7790 f1=0.8621 pd=0.9915 fa=0.000020 thr=0.41 time=49.3s
[Epoch 074] loss=0.1759 miou=0.7604 niou=0.7820 f1=0.8639 pd=0.9894 fa=0.000020 thr=0.41 time=48.7s
[Epoch 075] loss=0.1739 miou=0.7554 niou=0.7779 f1=0.8607 pd=0.9905 fa=0.000029 thr=0.41 time=48.6s
[Epoch 076] loss=0.1752 miou=0.7577 niou=0.7806 f1=0.8622 pd=0.9905 fa=0.000019 thr=0.40 time=48.8s
[Epoch 077] loss=0.1746 miou=0.7437 niou=0.7608 f1=0.8530 pd=0.9947 fa=0.000038 thr=0.43 time=48.8s
[Epoch 078] loss=0.1753 miou=0.7477 niou=0.7612 f1=0.8556 pd=0.9958 fa=0.000035 thr=0.42 time=48.8s
[Epoch 079] loss=0.1762 miou=0.7567 niou=0.7740 f1=0.8615 pd=0.9915 fa=0.000037 thr=0.42 time=48.7s
[Epoch 080] loss=0.1711 miou=0.7581 niou=0.7782 f1=0.8624 pd=0.9947 fa=0.000030 thr=0.41 time=48.7s
[Epoch 081] loss=0.1704 miou=0.7576 niou=0.7786 f1=0.8621 pd=0.9926 fa=0.000022 thr=0.40 time=48.9s
[Epoch 082] loss=0.1734 miou=0.7586 niou=0.7803 f1=0.8628 pd=0.9937 fa=0.000026 thr=0.40 time=50.0s
[Epoch 083] loss=0.1666 miou=0.7589 niou=0.7777 f1=0.8629 pd=0.9958 fa=0.000029 thr=0.42 time=50.0s
[Epoch 084] loss=0.1709 miou=0.7628 niou=0.7839 f1=0.8654 pd=0.9937 fa=0.000017 thr=0.40 time=50.1s
[Epoch 085] loss=0.1673 miou=0.7574 niou=0.7768 f1=0.8619 pd=0.9937 fa=0.000024 thr=0.41 time=50.2s
[Epoch 086] loss=0.1709 miou=0.7596 niou=0.7761 f1=0.8634 pd=0.9926 fa=0.000023 thr=0.42 time=50.3s
[Epoch 087] loss=0.1688 miou=0.7605 niou=0.7754 f1=0.8640 pd=0.9937 fa=0.000029 thr=0.42 time=50.4s
