Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_RadialGate_SelfPrompt_SCPreproc_bs4_e1000_kp1_split-50_50_20260215_225807
Initialized Self-Prompting Head (pos_k=3, neg_k=2, heatmap_w=1.0, gt_ratio=0.5, params=184,641)
[Epoch 001] loss=1.8900 miou=0.0258 niou=0.0258 f1=0.0452 pd=0.2392 fa=0.000134 thr=0.40 time=51.8s
[Epoch 002] loss=1.0384 miou=0.3875 niou=0.3875 f1=0.5031 pd=0.9111 fa=0.001800 thr=0.45 time=50.0s
[Epoch 003] loss=0.7827 miou=0.4212 niou=0.4212 f1=0.5405 pd=0.9386 fa=0.002036 thr=0.48 time=49.7s
[Epoch 004] loss=0.7212 miou=0.4603 niou=0.4603 f1=0.5786 pd=0.9238 fa=0.001272 thr=0.45 time=50.1s
[Epoch 005] loss=0.6387 miou=0.4833 niou=0.4833 f1=0.6051 pd=0.9545 fa=0.001204 thr=0.47 time=50.2s
[Epoch 006] loss=0.6348 miou=0.4917 niou=0.4917 f1=0.6149 pd=0.8931 fa=0.000348 thr=0.43 time=49.9s
[Epoch 007] loss=0.6402 miou=0.5141 niou=0.5141 f1=0.6377 pd=0.9418 fa=0.000631 thr=0.44 time=50.0s
[Epoch 008] loss=0.6076 miou=0.4948 niou=0.4948 f1=0.6178 pd=0.9640 fa=0.000965 thr=0.48 time=50.2s
[Epoch 009] loss=0.5839 miou=0.4845 niou=0.4845 f1=0.6147 pd=0.9661 fa=0.000872 thr=0.48 time=50.1s
[Epoch 010] loss=0.5724 miou=0.5372 niou=0.5372 f1=0.6647 pd=0.9566 fa=0.000494 thr=0.45 time=50.0s
[Epoch 011] loss=0.5676 miou=0.5257 niou=0.5257 f1=0.6549 pd=0.9640 fa=0.000499 thr=0.46 time=50.0s
[Epoch 012] loss=0.5364 miou=0.5536 niou=0.5536 f1=0.6791 pd=0.9704 fa=0.000505 thr=0.46 time=50.0s
[Epoch 013] loss=0.5263 miou=0.5805 niou=0.5805 f1=0.7027 pd=0.9429 fa=0.000242 thr=0.43 time=50.0s
