Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_RadialGate_TaskToken_bs4_e1000_kp1_split-50_50_20260125_221014
Attached Task Tokens to PromptEncoder (num_tokens=2, embed_dim=256, init_scale=0.02)
[Epoch 001] loss=1.2610 miou=0.0414 niou=0.0438 f1=0.0795 pd=0.3979 fa=0.000105 thr=0.39 time=54.1s
[Epoch 002] loss=0.5227 miou=0.5970 niou=0.6278 f1=0.7477 pd=0.9831 fa=0.000075 thr=0.42 time=51.1s
[Epoch 003] loss=0.3306 miou=0.6438 niou=0.6679 f1=0.7833 pd=0.9820 fa=0.000060 thr=0.43 time=51.6s
[Epoch 004] loss=0.3044 miou=0.6072 niou=0.6253 f1=0.7556 pd=0.9905 fa=0.000120 thr=0.47 time=51.2s
[Epoch 005] loss=0.3009 miou=0.6551 niou=0.6748 f1=0.7916 pd=0.9926 fa=0.000067 thr=0.44 time=51.2s
[Epoch 006] loss=0.2814 miou=0.6622 niou=0.6748 f1=0.7968 pd=0.9926 fa=0.000067 thr=0.44 time=51.7s
[Epoch 007] loss=0.2817 miou=0.6770 niou=0.7004 f1=0.8074 pd=0.9841 fa=0.000031 thr=0.41 time=50.7s
[Epoch 008] loss=0.2635 miou=0.6967 niou=0.7126 f1=0.8212 pd=0.9905 fa=0.000042 thr=0.42 time=49.8s
[Epoch 009] loss=0.2595 miou=0.6932 niou=0.7110 f1=0.8188 pd=0.9926 fa=0.000041 thr=0.43 time=50.2s
[Epoch 010] loss=0.2600 miou=0.6894 niou=0.7060 f1=0.8162 pd=0.9905 fa=0.000059 thr=0.43 time=51.1s
[Epoch 011] loss=0.2562 miou=0.6995 niou=0.7146 f1=0.8232 pd=0.9894 fa=0.000042 thr=0.42 time=50.5s
[Epoch 012] loss=0.2520 miou=0.6795 niou=0.6903 f1=0.8092 pd=0.9937 fa=0.000073 thr=0.44 time=50.9s
[Epoch 013] loss=0.2445 miou=0.7077 niou=0.7258 f1=0.8289 pd=0.9894 fa=0.000048 thr=0.43 time=50.3s
[Epoch 014] loss=0.2369 miou=0.7020 niou=0.7272 f1=0.8249 pd=0.9884 fa=0.000034 thr=0.41 time=51.2s
[Epoch 015] loss=0.2388 miou=0.7105 niou=0.7372 f1=0.8308 pd=0.9894 fa=0.000031 thr=0.41 time=51.0s
[Epoch 016] loss=0.2383 miou=0.7081 niou=0.7250 f1=0.8291 pd=0.9937 fa=0.000050 thr=0.44 time=50.9s
[Epoch 017] loss=0.2351 miou=0.7266 niou=0.7450 f1=0.8417 pd=0.9894 fa=0.000035 thr=0.41 time=51.1s
[Epoch 018] loss=0.2242 miou=0.7084 niou=0.7257 f1=0.8293 pd=0.9894 fa=0.000045 thr=0.42 time=51.0s
[Epoch 019] loss=0.2258 miou=0.7198 niou=0.7377 f1=0.8371 pd=0.9915 fa=0.000041 thr=0.42 time=49.6s
[Epoch 020] loss=0.2223 miou=0.7207 niou=0.7367 f1=0.8377 pd=0.9926 fa=0.000042 thr=0.43 time=51.0s
[Epoch 021] loss=0.2243 miou=0.7258 niou=0.7450 f1=0.8411 pd=0.9915 fa=0.000028 thr=0.41 time=50.2s
[Epoch 022] loss=0.2229 miou=0.6947 niou=0.7119 f1=0.8198 pd=0.9937 fa=0.000074 thr=0.44 time=52.5s
[Epoch 023] loss=0.2266 miou=0.7204 niou=0.7429 f1=0.8375 pd=0.9926 fa=0.000043 thr=0.42 time=51.3s
[Epoch 024] loss=0.2166 miou=0.7343 niou=0.7544 f1=0.8468 pd=0.9894 fa=0.000034 thr=0.41 time=51.9s
[Epoch 025] loss=0.2200 miou=0.7318 niou=0.7563 f1=0.8451 pd=0.9873 fa=0.000023 thr=0.40 time=50.3s
[Epoch 026] loss=0.2165 miou=0.7370 niou=0.7576 f1=0.8486 pd=0.9926 fa=0.000028 thr=0.41 time=51.1s
[Epoch 027] loss=0.2084 miou=0.7341 niou=0.7535 f1=0.8466 pd=0.9926 fa=0.000032 thr=0.41 time=50.1s
[Epoch 028] loss=0.2077 miou=0.7144 niou=0.7316 f1=0.8334 pd=0.9958 fa=0.000061 thr=0.44 time=50.5s
[Epoch 029] loss=0.2118 miou=0.7362 niou=0.7527 f1=0.8481 pd=0.9958 fa=0.000032 thr=0.42 time=50.5s
[Epoch 030] loss=0.2135 miou=0.7190 niou=0.7353 f1=0.8365 pd=0.9894 fa=0.000057 thr=0.44 time=50.1s
[Epoch 031] loss=0.2084 miou=0.7267 niou=0.7433 f1=0.8417 pd=0.9947 fa=0.000045 thr=0.43 time=51.3s
[Epoch 032] loss=0.2080 miou=0.7412 niou=0.7617 f1=0.8514 pd=0.9926 fa=0.000031 thr=0.41 time=51.2s
[Epoch 033] loss=0.1989 miou=0.7376 niou=0.7608 f1=0.8490 pd=0.9894 fa=0.000026 thr=0.40 time=51.8s
[Epoch 034] loss=0.2105 miou=0.7460 niou=0.7735 f1=0.8545 pd=0.9894 fa=0.000022 thr=0.41 time=51.2s
[Epoch 035] loss=0.2049 miou=0.7415 niou=0.7599 f1=0.8516 pd=0.9905 fa=0.000034 thr=0.42 time=51.5s
[Epoch 036] loss=0.2029 miou=0.7419 niou=0.7640 f1=0.8518 pd=0.9873 fa=0.000027 thr=0.41 time=50.3s
[Epoch 037] loss=0.1988 miou=0.7497 niou=0.7703 f1=0.8570 pd=0.9926 fa=0.000026 thr=0.40 time=50.9s
[Epoch 038] loss=0.2064 miou=0.7449 niou=0.7618 f1=0.8538 pd=0.9905 fa=0.000028 thr=0.42 time=50.7s
[Epoch 039] loss=0.1985 miou=0.7494 niou=0.7682 f1=0.8567 pd=0.9926 fa=0.000026 thr=0.40 time=49.3s
[Epoch 040] loss=0.1917 miou=0.7487 niou=0.7685 f1=0.8563 pd=0.9905 fa=0.000023 thr=0.41 time=50.1s
[Epoch 041] loss=0.1960 miou=0.7503 niou=0.7736 f1=0.8573 pd=0.9884 fa=0.000021 thr=0.40 time=51.2s
[Epoch 042] loss=0.1954 miou=0.7462 niou=0.7627 f1=0.8547 pd=0.9937 fa=0.000040 thr=0.43 time=50.6s
[Epoch 043] loss=0.2012 miou=0.7509 niou=0.7705 f1=0.8577 pd=0.9926 fa=0.000024 thr=0.41 time=50.7s
[Epoch 044] loss=0.1910 miou=0.7537 niou=0.7743 f1=0.8596 pd=0.9905 fa=0.000025 thr=0.41 time=50.3s
[Epoch 045] loss=0.1947 miou=0.7425 niou=0.7612 f1=0.8522 pd=0.9905 fa=0.000035 thr=0.42 time=50.6s
[Epoch 046] loss=0.1929 miou=0.7592 niou=0.7785 f1=0.8631 pd=0.9894 fa=0.000025 thr=0.41 time=50.0s
[Epoch 047] loss=0.1933 miou=0.7412 niou=0.7589 f1=0.8514 pd=0.9905 fa=0.000042 thr=0.42 time=50.6s
[Epoch 048] loss=0.1895 miou=0.7475 niou=0.7705 f1=0.8555 pd=0.9884 fa=0.000021 thr=0.39 time=51.1s
[Epoch 049] loss=0.1873 miou=0.7323 niou=0.7511 f1=0.8455 pd=0.9947 fa=0.000049 thr=0.44 time=51.3s
[Epoch 050] loss=0.1875 miou=0.7460 niou=0.7695 f1=0.8545 pd=0.9905 fa=0.000022 thr=0.41 time=51.0s
[Epoch 051] loss=0.1847 miou=0.7541 niou=0.7753 f1=0.8598 pd=0.9905 fa=0.000029 thr=0.41 time=51.4s
[Epoch 052] loss=0.1852 miou=0.7526 niou=0.7727 f1=0.8589 pd=0.9894 fa=0.000025 thr=0.41 time=51.4s
[Epoch 053] loss=0.1854 miou=0.7510 niou=0.7731 f1=0.8578 pd=0.9905 fa=0.000026 thr=0.40 time=51.2s
[Epoch 054] loss=0.1861 miou=0.7436 niou=0.7662 f1=0.8529 pd=0.9905 fa=0.000032 thr=0.41 time=52.1s
[Epoch 055] loss=0.1834 miou=0.7328 niou=0.7501 f1=0.8458 pd=0.9937 fa=0.000049 thr=0.44 time=51.5s
[Epoch 056] loss=0.1824 miou=0.7359 niou=0.7513 f1=0.8478 pd=0.9905 fa=0.000043 thr=0.42 time=51.2s
[Epoch 057] loss=0.1861 miou=0.7553 niou=0.7753 f1=0.8606 pd=0.9905 fa=0.000027 thr=0.41 time=48.4s
[Epoch 058] loss=0.1788 miou=0.7428 niou=0.7587 f1=0.8524 pd=0.9937 fa=0.000039 thr=0.43 time=48.3s
[Epoch 059] loss=0.1767 miou=0.7586 niou=0.7736 f1=0.8627 pd=0.9905 fa=0.000031 thr=0.42 time=48.3s
[Epoch 060] loss=0.1790 miou=0.7387 niou=0.7555 f1=0.8497 pd=0.9958 fa=0.000044 thr=0.43 time=48.3s
[Epoch 061] loss=0.1836 miou=0.7468 niou=0.7735 f1=0.8550 pd=0.9894 fa=0.000022 thr=0.40 time=50.8s
[Epoch 062] loss=0.1791 miou=0.7447 niou=0.7689 f1=0.8537 pd=0.9894 fa=0.000024 thr=0.40 time=50.8s
[Epoch 063] loss=0.1821 miou=0.7528 niou=0.7687 f1=0.8590 pd=0.9958 fa=0.000043 thr=0.44 time=50.5s
