Run directory: ./outputs_sam_sirst_hq\NUDT-SIRST_model-vitt_size256_HQ_TextSelfPrompt_SCPreproc_bs4_e1000_kp1_split-50_50_20260220_102700
Initialized Self-Prompting Head (pos_k=3, neg_k=2, heatmap_w=1.0, gt_ratio=0.3, params=184,641)
Initialized Text-Guided Prompting (n_ctx=4, dim=512, clip=ViT-B/32, prompt_params=1,575,936, cond_params=66,112)
[Epoch 001] loss=1.3417 miou=0.0009 niou=0.0020 f1=0.0018 pd=0.0169 fa=0.000001 thr=0.35 time=41.8s
[Epoch 002] loss=1.0117 miou=0.0757 niou=0.3148 f1=0.1407 pd=0.9376 fa=0.004330 thr=0.48 time=41.3s
[Epoch 003] loss=0.7825 miou=0.1076 niou=0.3677 f1=0.1943 pd=0.9249 fa=0.003165 thr=0.47 time=41.5s
[Epoch 004] loss=0.7334 miou=0.1448 niou=0.3712 f1=0.2530 pd=0.9058 fa=0.001860 thr=0.45 time=43.9s
[Epoch 005] loss=0.6984 miou=0.1410 niou=0.3977 f1=0.2472 pd=0.9407 fa=0.002495 thr=0.48 time=47.3s
[Epoch 006] loss=0.6586 miou=0.2486 niou=0.4253 f1=0.3982 pd=0.9005 fa=0.000765 thr=0.44 time=40.3s
[Epoch 007] loss=0.6325 miou=0.2223 niou=0.4292 f1=0.3638 pd=0.9333 fa=0.001234 thr=0.47 time=40.3s
[Epoch 008] loss=0.6094 miou=0.2783 niou=0.4454 f1=0.4354 pd=0.9153 fa=0.000708 thr=0.43 time=40.3s
[Epoch 009] loss=0.5949 miou=0.3038 niou=0.4709 f1=0.4660 pd=0.9217 fa=0.000664 thr=0.45 time=40.3s
[Epoch 010] loss=0.5960 miou=0.3442 niou=0.4663 f1=0.5121 pd=0.8899 fa=0.000390 thr=0.43 time=40.2s
[Epoch 011] loss=0.5732 miou=0.3100 niou=0.4732 f1=0.4733 pd=0.9354 fa=0.000655 thr=0.45 time=40.4s
[Epoch 012] loss=0.5648 miou=0.3560 niou=0.4882 f1=0.5251 pd=0.9069 fa=0.000448 thr=0.44 time=43.2s
[Epoch 013] loss=0.5524 miou=0.3654 niou=0.4788 f1=0.5352 pd=0.9079 fa=0.000359 thr=0.43 time=43.2s
[Epoch 014] loss=0.5521 miou=0.3628 niou=0.4574 f1=0.5324 pd=0.8762 fa=0.000266 thr=0.41 time=43.3s
[Epoch 015] loss=0.5429 miou=0.3350 niou=0.4873 f1=0.5018 pd=0.9492 fa=0.000672 thr=0.46 time=43.5s
[Epoch 016] loss=0.5196 miou=0.4083 niou=0.5023 f1=0.5798 pd=0.8995 fa=0.000283 thr=0.43 time=43.5s
[Epoch 017] loss=0.5292 miou=0.3836 niou=0.5035 f1=0.5544 pd=0.9270 fa=0.000434 thr=0.45 time=43.5s
[Epoch 018] loss=0.5325 miou=0.3872 niou=0.5115 f1=0.5583 pd=0.9471 fa=0.000490 thr=0.46 time=43.3s
[Epoch 019] loss=0.5052 miou=0.4207 niou=0.5140 f1=0.5923 pd=0.9143 fa=0.000290 thr=0.43 time=43.8s
[Epoch 020] loss=0.5005 miou=0.3792 niou=0.5127 f1=0.5499 pd=0.9513 fa=0.000530 thr=0.46 time=43.3s
[Epoch 021] loss=0.5026 miou=0.3850 niou=0.5068 f1=0.5559 pd=0.9450 fa=0.000521 thr=0.46 time=43.6s
[Epoch 022] loss=0.4870 miou=0.3840 niou=0.5091 f1=0.5549 pd=0.9545 fa=0.000524 thr=0.47 time=43.5s
[Epoch 023] loss=0.4848 miou=0.4467 niou=0.5336 f1=0.6176 pd=0.9323 fa=0.000266 thr=0.43 time=43.6s
[Epoch 024] loss=0.4881 miou=0.3976 niou=0.5220 f1=0.5689 pd=0.9524 fa=0.000483 thr=0.47 time=43.4s
[Epoch 025] loss=0.4796 miou=0.4035 niou=0.5250 f1=0.5750 pd=0.9545 fa=0.000492 thr=0.46 time=47.8s
[Epoch 026] loss=0.4777 miou=0.4391 niou=0.5387 f1=0.6103 pd=0.9302 fa=0.000303 thr=0.43 time=44.6s
[Epoch 027] loss=0.4552 miou=0.4315 niou=0.5347 f1=0.6029 pd=0.9481 fa=0.000374 thr=0.46 time=43.7s
[Epoch 028] loss=0.4615 miou=0.4662 niou=0.5420 f1=0.6360 pd=0.9270 fa=0.000207 thr=0.42 time=43.5s
[Epoch 029] loss=0.4618 miou=0.4585 niou=0.5452 f1=0.6288 pd=0.9365 fa=0.000293 thr=0.43 time=43.8s
[Epoch 030] loss=0.4640 miou=0.4142 niou=0.5212 f1=0.5858 pd=0.9608 fa=0.000453 thr=0.46 time=43.6s
[Epoch 031] loss=0.4522 miou=0.4771 niou=0.5451 f1=0.6460 pd=0.9238 fa=0.000216 thr=0.42 time=43.6s
[Epoch 032] loss=0.4547 miou=0.4883 niou=0.5612 f1=0.6562 pd=0.9164 fa=0.000169 thr=0.42 time=43.8s
[Epoch 033] loss=0.4371 miou=0.4808 niou=0.5518 f1=0.6494 pd=0.9270 fa=0.000209 thr=0.42 time=43.3s
[Epoch 034] loss=0.4340 miou=0.4779 niou=0.5552 f1=0.6467 pd=0.9354 fa=0.000256 thr=0.44 time=43.5s
[Epoch 035] loss=0.4274 miou=0.4657 niou=0.5493 f1=0.6355 pd=0.9407 fa=0.000322 thr=0.45 time=43.4s
[Epoch 036] loss=0.4314 miou=0.4784 niou=0.5595 f1=0.6472 pd=0.9376 fa=0.000261 thr=0.43 time=43.4s
[Epoch 037] loss=0.4312 miou=0.4933 niou=0.5603 f1=0.6607 pd=0.9323 fa=0.000205 thr=0.43 time=43.4s
[Epoch 038] loss=0.4345 miou=0.5012 niou=0.5729 f1=0.6677 pd=0.9566 fa=0.000240 thr=0.44 time=43.4s
[Epoch 039] loss=0.4214 miou=0.5017 niou=0.5764 f1=0.6682 pd=0.9386 fa=0.000198 thr=0.43 time=43.5s
[Epoch 040] loss=0.4125 miou=0.4897 niou=0.5719 f1=0.6575 pd=0.9481 fa=0.000268 thr=0.45 time=43.7s
[Epoch 041] loss=0.4191 miou=0.5179 niou=0.5824 f1=0.6824 pd=0.9386 fa=0.000153 thr=0.42 time=43.6s
[Epoch 042] loss=0.4204 miou=0.4981 niou=0.5666 f1=0.6650 pd=0.9556 fa=0.000244 thr=0.45 time=43.5s
[Epoch 043] loss=0.4228 miou=0.5117 niou=0.5679 f1=0.6770 pd=0.9386 fa=0.000185 thr=0.43 time=43.3s
[Epoch 044] loss=0.4134 miou=0.5044 niou=0.5682 f1=0.6706 pd=0.9122 fa=0.000113 thr=0.40 time=43.5s
[Epoch 045] loss=0.4073 miou=0.5080 niou=0.5794 f1=0.6737 pd=0.9524 fa=0.000209 thr=0.44 time=43.1s
[Epoch 046] loss=0.4204 miou=0.5247 niou=0.5930 f1=0.6882 pd=0.9418 fa=0.000175 thr=0.42 time=43.2s
[Epoch 047] loss=0.3942 miou=0.5092 niou=0.5709 f1=0.6748 pd=0.9101 fa=0.000123 thr=0.40 time=43.6s
[Epoch 048] loss=0.4047 miou=0.5006 niou=0.5845 f1=0.6672 pd=0.9556 fa=0.000284 thr=0.46 time=43.4s
[Epoch 049] loss=0.4107 miou=0.4997 niou=0.5801 f1=0.6664 pd=0.9534 fa=0.000256 thr=0.44 time=43.3s
[Epoch 050] loss=0.3904 miou=0.5147 niou=0.5787 f1=0.6796 pd=0.9513 fa=0.000228 thr=0.44 time=43.0s
[Epoch 051] loss=0.4074 miou=0.5266 niou=0.5895 f1=0.6899 pd=0.9439 fa=0.000187 thr=0.43 time=43.4s
[Epoch 052] loss=0.4094 miou=0.5304 niou=0.5953 f1=0.6932 pd=0.9397 fa=0.000174 thr=0.43 time=43.3s
[Epoch 053] loss=0.3976 miou=0.5378 niou=0.5939 f1=0.6995 pd=0.9185 fa=0.000129 thr=0.41 time=43.5s
