Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_HQ_mllm_Qwen3_tokenCLIP_GatedBkBiFusion_NoFiLM_TSP1_TDPxattn03_SC_bs4_e1000_kp1_split-50_50_20260301_140527
MLLM TextConditioner disabled by --disable_text_conditioner.
Text sparse prompt enabled: tokens=1, params=262912
Text dense mask prompt enabled: type=token_xattn, hidden=128, heads=4, alpha=0.3, params=525697
Gated Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, gate_hidden=0, gate_bias=-2.0, params=2163392
[Epoch 001] loss=1.2642 miou=0.0119 niou=0.0119 f1=0.0206 pd=0.1143 fa=0.000070 thr=0.37 time=94.1s
[Epoch 002] loss=1.0022 miou=0.2808 niou=0.2808 f1=0.3908 pd=0.8815 fa=0.001637 thr=0.44 time=94.0s
[Epoch 003] loss=0.7785 miou=0.3515 niou=0.3515 f1=0.4629 pd=0.8921 fa=0.001745 thr=0.44 time=94.6s
[Epoch 004] loss=0.7330 miou=0.3837 niou=0.3837 f1=0.4976 pd=0.8709 fa=0.000895 thr=0.43 time=93.9s
[Epoch 005] loss=0.6727 miou=0.4303 niou=0.4303 f1=0.5509 pd=0.9153 fa=0.001075 thr=0.46 time=94.1s
[Epoch 006] loss=0.6366 miou=0.3978 niou=0.3978 f1=0.5128 pd=0.9058 fa=0.001347 thr=0.46 time=93.4s
[Epoch 007] loss=0.6441 miou=0.4341 niou=0.4341 f1=0.5502 pd=0.8804 fa=0.000728 thr=0.44 time=93.2s
[Epoch 008] loss=0.5997 miou=0.4421 niou=0.4421 f1=0.5660 pd=0.9524 fa=0.001230 thr=0.49 time=94.4s
[Epoch 009] loss=0.4918 miou=0.5011 niou=0.5011 f1=0.6209 pd=0.8730 fa=0.000190 thr=0.40 time=93.8s
[Epoch 010] loss=0.4305 miou=0.5909 niou=0.5909 f1=0.7137 pd=0.9545 fa=0.000263 thr=0.44 time=93.9s
[Epoch 011] loss=0.3743 miou=0.6244 niou=0.6244 f1=0.7462 pd=0.9587 fa=0.000158 thr=0.42 time=93.4s
[Epoch 012] loss=0.3305 miou=0.6218 niou=0.6218 f1=0.7493 pd=0.9884 fa=0.000196 thr=0.47 time=93.4s
[Epoch 013] loss=0.3049 miou=0.6950 niou=0.6950 f1=0.8052 pd=0.9746 fa=0.000071 thr=0.42 time=93.2s
[Epoch 014] loss=0.2765 miou=0.7018 niou=0.7018 f1=0.8094 pd=0.9788 fa=0.000059 thr=0.40 time=93.5s
[Epoch 015] loss=0.2611 miou=0.7085 niou=0.7085 f1=0.8151 pd=0.9725 fa=0.000050 thr=0.42 time=93.6s
