Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_use_HQ_radial_edge_high_early6_bs4e1000kp1_split-50_50_20260123_222436
[Epoch 001] loss=1.2777 miou=0.0553 niou=0.0650 f1=0.1048 pd=0.6116 fa=0.000577 thr=0.43 time=36.4s
[Epoch 002] loss=0.6473 miou=0.4056 niou=0.5029 f1=0.5771 pd=0.9746 fa=0.000463 thr=0.48 time=34.3s
[Epoch 003] loss=0.4253 miou=0.4758 niou=0.5322 f1=0.6448 pd=0.9852 fa=0.000333 thr=0.49 time=34.5s
[Epoch 004] loss=0.3741 miou=0.5787 niou=0.6094 f1=0.7331 pd=0.9788 fa=0.000111 thr=0.44 time=34.6s
[Epoch 005] loss=0.3501 miou=0.5989 niou=0.6308 f1=0.7491 pd=0.9820 fa=0.000092 thr=0.42 time=34.5s
[Epoch 006] loss=0.3237 miou=0.6041 niou=0.6299 f1=0.7532 pd=0.9926 fa=0.000134 thr=0.46 time=34.4s
[Epoch 007] loss=0.3162 miou=0.5920 niou=0.6194 f1=0.7438 pd=0.9937 fa=0.000158 thr=0.47 time=34.5s
[Epoch 008] loss=0.3049 miou=0.6352 niou=0.6546 f1=0.7769 pd=0.9894 fa=0.000100 thr=0.45 time=34.2s
[Epoch 009] loss=0.2811 miou=0.6545 niou=0.6710 f1=0.7912 pd=0.9905 fa=0.000073 thr=0.43 time=34.4s
[Epoch 010] loss=0.2804 miou=0.6437 niou=0.6640 f1=0.7832 pd=0.9926 fa=0.000100 thr=0.45 time=34.4s
[Epoch 011] loss=0.2747 miou=0.6740 niou=0.6926 f1=0.8052 pd=0.9894 fa=0.000063 thr=0.42 time=34.4s
[Epoch 012] loss=0.2649 miou=0.6765 niou=0.6880 f1=0.8070 pd=0.9894 fa=0.000063 thr=0.43 time=35.7s
[Epoch 013] loss=0.2540 miou=0.6808 niou=0.6920 f1=0.8101 pd=0.9873 fa=0.000061 thr=0.43 time=34.6s
[Epoch 014] loss=0.2596 miou=0.6852 niou=0.6982 f1=0.8132 pd=0.9884 fa=0.000070 thr=0.43 time=34.3s
[Epoch 015] loss=0.2551 miou=0.6612 niou=0.6838 f1=0.7961 pd=0.9746 fa=0.000031 thr=0.38 time=35.9s
[Epoch 016] loss=0.2500 miou=0.6836 niou=0.6970 f1=0.8121 pd=0.9926 fa=0.000072 thr=0.44 time=35.2s
[Epoch 017] loss=0.2493 miou=0.6678 niou=0.6841 f1=0.8008 pd=0.9947 fa=0.000099 thr=0.45 time=34.9s
[Epoch 018] loss=0.2446 miou=0.6927 niou=0.7081 f1=0.8185 pd=0.9841 fa=0.000029 thr=0.40 time=35.6s
[Epoch 019] loss=0.2354 miou=0.6881 niou=0.7006 f1=0.8152 pd=0.9915 fa=0.000063 thr=0.43 time=34.5s
[Epoch 020] loss=0.2397 miou=0.6931 niou=0.7047 f1=0.8188 pd=0.9937 fa=0.000074 thr=0.43 time=34.2s
[Epoch 021] loss=0.2311 miou=0.7055 niou=0.7209 f1=0.8273 pd=0.9905 fa=0.000049 thr=0.43 time=34.2s
[Epoch 022] loss=0.2352 miou=0.7072 niou=0.7211 f1=0.8285 pd=0.9873 fa=0.000043 thr=0.42 time=34.4s
[Epoch 023] loss=0.2308 miou=0.7117 niou=0.7226 f1=0.8316 pd=0.9905 fa=0.000032 thr=0.41 time=35.1s
[Epoch 024] loss=0.2275 miou=0.7007 niou=0.7144 f1=0.8240 pd=0.9937 fa=0.000061 thr=0.44 time=34.3s
[Epoch 025] loss=0.2268 miou=0.7169 niou=0.7297 f1=0.8351 pd=0.9862 fa=0.000032 thr=0.41 time=34.4s
[Epoch 026] loss=0.2227 miou=0.6841 niou=0.6953 f1=0.8124 pd=0.9926 fa=0.000081 thr=0.45 time=34.2s
[Epoch 027] loss=0.2174 miou=0.6987 niou=0.7084 f1=0.8226 pd=0.9926 fa=0.000064 thr=0.44 time=34.3s
[Epoch 028] loss=0.2214 miou=0.6863 niou=0.7004 f1=0.8140 pd=0.9937 fa=0.000082 thr=0.45 time=33.2s
[Epoch 029] loss=0.2144 miou=0.7127 niou=0.7235 f1=0.8323 pd=0.9937 fa=0.000053 thr=0.43 time=33.4s
[Epoch 030] loss=0.2217 miou=0.7191 niou=0.7278 f1=0.8366 pd=0.9915 fa=0.000047 thr=0.42 time=32.5s
[Epoch 031] loss=0.2116 miou=0.7199 niou=0.7327 f1=0.8371 pd=0.9926 fa=0.000038 thr=0.41 time=33.5s
[Epoch 032] loss=0.2172 miou=0.7146 niou=0.7256 f1=0.8335 pd=0.9926 fa=0.000050 thr=0.43 time=34.4s
[Epoch 033] loss=0.2158 miou=0.7242 niou=0.7419 f1=0.8401 pd=0.9831 fa=0.000027 thr=0.39 time=34.2s
[Epoch 034] loss=0.2110 miou=0.7310 niou=0.7466 f1=0.8446 pd=0.9884 fa=0.000029 thr=0.41 time=34.9s
[Epoch 035] loss=0.2079 miou=0.7224 niou=0.7333 f1=0.8388 pd=0.9915 fa=0.000041 thr=0.42 time=34.6s
[Epoch 036] loss=0.2037 miou=0.7329 niou=0.7474 f1=0.8459 pd=0.9862 fa=0.000022 thr=0.40 time=34.3s
[Epoch 037] loss=0.2070 miou=0.7187 niou=0.7285 f1=0.8363 pd=0.9926 fa=0.000053 thr=0.43 time=34.3s
[Epoch 038] loss=0.1989 miou=0.7291 niou=0.7401 f1=0.8434 pd=0.9905 fa=0.000041 thr=0.43 time=33.9s
[Epoch 039] loss=0.2009 miou=0.7147 niou=0.7222 f1=0.8336 pd=0.9958 fa=0.000055 thr=0.44 time=34.2s
[Epoch 040] loss=0.2059 miou=0.7331 niou=0.7433 f1=0.8460 pd=0.9937 fa=0.000043 thr=0.43 time=34.3s
[Epoch 041] loss=0.2009 miou=0.7388 niou=0.7517 f1=0.8498 pd=0.9894 fa=0.000031 thr=0.42 time=34.4s
[Epoch 042] loss=0.1982 miou=0.7208 niou=0.7272 f1=0.8377 pd=0.9926 fa=0.000053 thr=0.44 time=34.5s
[Epoch 043] loss=0.1988 miou=0.7333 niou=0.7461 f1=0.8461 pd=0.9926 fa=0.000044 thr=0.43 time=34.4s
[Epoch 044] loss=0.2032 miou=0.7409 niou=0.7550 f1=0.8512 pd=0.9915 fa=0.000032 thr=0.42 time=34.4s
[Epoch 045] loss=0.1929 miou=0.7195 niou=0.7314 f1=0.8369 pd=0.9958 fa=0.000060 thr=0.45 time=34.6s
[Epoch 046] loss=0.1963 miou=0.7404 niou=0.7542 f1=0.8508 pd=0.9915 fa=0.000029 thr=0.42 time=34.5s
[Epoch 047] loss=0.1917 miou=0.7387 niou=0.7556 f1=0.8497 pd=0.9926 fa=0.000034 thr=0.41 time=34.2s
[Epoch 048] loss=0.1943 miou=0.7332 niou=0.7508 f1=0.8461 pd=0.9894 fa=0.000025 thr=0.41 time=34.3s
[Epoch 049] loss=0.1942 miou=0.7459 niou=0.7591 f1=0.8544 pd=0.9926 fa=0.000032 thr=0.41 time=34.3s
[Epoch 050] loss=0.1911 miou=0.7443 niou=0.7538 f1=0.8534 pd=0.9947 fa=0.000037 thr=0.43 time=34.6s
[Epoch 051] loss=0.1915 miou=0.7455 niou=0.7551 f1=0.8542 pd=0.9937 fa=0.000036 thr=0.42 time=34.4s
[Epoch 052] loss=0.1913 miou=0.7314 niou=0.7395 f1=0.8448 pd=0.9937 fa=0.000050 thr=0.44 time=34.5s
[Epoch 053] loss=0.1890 miou=0.7528 niou=0.7688 f1=0.8590 pd=0.9926 fa=0.000025 thr=0.41 time=34.3s
[Epoch 054] loss=0.1886 miou=0.7467 niou=0.7595 f1=0.8550 pd=0.9915 fa=0.000035 thr=0.43 time=34.5s
[Epoch 055] loss=0.1863 miou=0.7447 niou=0.7559 f1=0.8537 pd=0.9958 fa=0.000043 thr=0.43 time=34.5s
[Epoch 056] loss=0.1847 miou=0.7464 niou=0.7621 f1=0.8548 pd=0.9937 fa=0.000029 thr=0.41 time=33.7s
[Epoch 057] loss=0.1881 miou=0.7455 niou=0.7589 f1=0.8542 pd=0.9937 fa=0.000029 thr=0.41 time=32.1s
[Epoch 058] loss=0.1827 miou=0.7404 niou=0.7535 f1=0.8508 pd=0.9905 fa=0.000029 thr=0.42 time=34.3s
[Epoch 059] loss=0.1862 miou=0.7454 niou=0.7653 f1=0.8541 pd=0.9894 fa=0.000019 thr=0.39 time=34.3s
[Epoch 060] loss=0.1821 miou=0.7483 niou=0.7655 f1=0.8560 pd=0.9915 fa=0.000021 thr=0.40 time=34.4s
[Epoch 061] loss=0.1811 miou=0.7503 niou=0.7687 f1=0.8574 pd=0.9905 fa=0.000022 thr=0.40 time=34.6s
[Epoch 062] loss=0.1776 miou=0.7546 niou=0.7664 f1=0.8601 pd=0.9958 fa=0.000026 thr=0.42 time=34.6s
[Epoch 063] loss=0.1835 miou=0.7436 niou=0.7560 f1=0.8529 pd=0.9905 fa=0.000025 thr=0.41 time=34.5s
[Epoch 064] loss=0.1792 miou=0.7428 niou=0.7599 f1=0.8524 pd=0.9873 fa=0.000023 thr=0.39 time=34.4s
[Epoch 065] loss=0.1815 miou=0.7529 niou=0.7682 f1=0.8591 pd=0.9926 fa=0.000022 thr=0.40 time=35.3s
[Epoch 066] loss=0.1812 miou=0.7518 niou=0.7694 f1=0.8583 pd=0.9905 fa=0.000021 thr=0.40 time=35.4s
[Epoch 067] loss=0.1790 miou=0.7425 niou=0.7514 f1=0.8523 pd=0.9947 fa=0.000046 thr=0.44 time=34.7s
[Epoch 068] loss=0.1782 miou=0.7534 niou=0.7668 f1=0.8593 pd=0.9915 fa=0.000032 thr=0.43 time=34.3s
[Epoch 069] loss=0.1764 miou=0.7421 niou=0.7626 f1=0.8520 pd=0.9873 fa=0.000020 thr=0.39 time=34.3s
[Epoch 070] loss=0.1718 miou=0.7532 niou=0.7685 f1=0.8593 pd=0.9937 fa=0.000024 thr=0.40 time=34.3s
[Epoch 071] loss=0.1762 miou=0.7445 niou=0.7556 f1=0.8536 pd=0.9947 fa=0.000038 thr=0.43 time=32.4s
[Epoch 072] loss=0.1731 miou=0.7524 niou=0.7672 f1=0.8587 pd=0.9947 fa=0.000023 thr=0.40 time=34.3s
[Epoch 073] loss=0.1790 miou=0.7577 niou=0.7732 f1=0.8621 pd=0.9915 fa=0.000023 thr=0.41 time=34.3s
[Epoch 074] loss=0.1711 miou=0.7498 niou=0.7672 f1=0.8570 pd=0.9915 fa=0.000020 thr=0.40 time=34.6s
[Epoch 075] loss=0.1742 miou=0.7541 niou=0.7631 f1=0.8598 pd=0.9915 fa=0.000028 thr=0.42 time=34.1s
[Epoch 076] loss=0.1668 miou=0.7590 niou=0.7733 f1=0.8630 pd=0.9915 fa=0.000020 thr=0.41 time=34.3s
[Epoch 077] loss=0.1695 miou=0.7548 niou=0.7669 f1=0.8603 pd=0.9937 fa=0.000034 thr=0.42 time=34.4s
[Epoch 078] loss=0.1691 miou=0.7530 niou=0.7635 f1=0.8591 pd=0.9958 fa=0.000034 thr=0.42 time=34.4s
[Epoch 079] loss=0.1735 miou=0.7509 niou=0.7717 f1=0.8577 pd=0.9862 fa=0.000022 thr=0.40 time=34.5s
[Epoch 080] loss=0.1709 miou=0.7513 niou=0.7624 f1=0.8580 pd=0.9937 fa=0.000038 thr=0.43 time=33.9s
[Epoch 081] loss=0.1634 miou=0.7519 niou=0.7685 f1=0.8584 pd=0.9937 fa=0.000023 thr=0.40 time=34.4s
[Epoch 082] loss=0.1709 miou=0.7569 niou=0.7685 f1=0.8616 pd=0.9894 fa=0.000025 thr=0.41 time=34.9s
[Epoch 083] loss=0.1684 miou=0.7578 niou=0.7689 f1=0.8622 pd=0.9958 fa=0.000028 thr=0.41 time=35.1s
[Epoch 084] loss=0.1736 miou=0.7575 niou=0.7704 f1=0.8620 pd=0.9947 fa=0.000024 thr=0.41 time=35.3s
[Epoch 085] loss=0.1692 miou=0.7534 niou=0.7647 f1=0.8593 pd=0.9947 fa=0.000032 thr=0.41 time=34.9s
[Epoch 086] loss=0.1653 miou=0.7568 niou=0.7715 f1=0.8616 pd=0.9905 fa=0.000020 thr=0.40 time=35.7s
[Epoch 087] loss=0.1643 miou=0.7521 niou=0.7635 f1=0.8585 pd=0.9947 fa=0.000031 thr=0.42 time=33.4s
[Epoch 088] loss=0.1618 miou=0.7634 niou=0.7763 f1=0.8658 pd=0.9926 fa=0.000021 thr=0.41 time=34.5s
[Epoch 089] loss=0.1638 miou=0.7533 niou=0.7620 f1=0.8593 pd=0.9947 fa=0.000039 thr=0.43 time=34.4s
[Epoch 090] loss=0.1649 miou=0.7481 niou=0.7654 f1=0.8559 pd=0.9915 fa=0.000017 thr=0.39 time=34.1s
[Epoch 091] loss=0.1623 miou=0.7567 niou=0.7697 f1=0.8615 pd=0.9937 fa=0.000025 thr=0.40 time=34.5s
[Epoch 092] loss=0.1630 miou=0.7552 niou=0.7682 f1=0.8605 pd=0.9958 fa=0.000029 thr=0.41 time=34.3s
[Epoch 093] loss=0.1656 miou=0.7571 niou=0.7714 f1=0.8617 pd=0.9915 fa=0.000024 thr=0.40 time=35.4s
[Epoch 094] loss=0.1606 miou=0.7618 niou=0.7739 f1=0.8648 pd=0.9968 fa=0.000028 thr=0.41 time=35.7s
[Epoch 095] loss=0.1604 miou=0.7608 niou=0.7721 f1=0.8641 pd=0.9968 fa=0.000030 thr=0.42 time=35.5s
[Epoch 096] loss=0.1642 miou=0.7500 niou=0.7607 f1=0.8571 pd=0.9947 fa=0.000029 thr=0.42 time=35.1s
[Epoch 097] loss=0.1626 miou=0.7533 niou=0.7628 f1=0.8593 pd=0.9947 fa=0.000036 thr=0.42 time=34.4s
[Epoch 098] loss=0.1594 miou=0.7626 niou=0.7751 f1=0.8653 pd=0.9947 fa=0.000021 thr=0.41 time=34.5s
[Epoch 099] loss=0.1617 miou=0.7322 niou=0.7343 f1=0.8454 pd=0.9958 fa=0.000050 thr=0.44 time=34.0s
[Epoch 100] loss=0.1599 miou=0.7570 niou=0.7718 f1=0.8617 pd=0.9915 fa=0.000021 thr=0.41 time=32.7s
[Epoch 101] loss=0.1609 miou=0.7552 niou=0.7670 f1=0.8606 pd=0.9947 fa=0.000033 thr=0.43 time=34.2s
[Epoch 102] loss=0.1563 miou=0.7621 niou=0.7732 f1=0.8650 pd=0.9905 fa=0.000024 thr=0.40 time=34.4s
[Epoch 103] loss=0.1555 miou=0.7591 niou=0.7701 f1=0.8631 pd=0.9926 fa=0.000025 thr=0.41 time=34.7s
[Epoch 104] loss=0.1647 miou=0.7569 niou=0.7688 f1=0.8616 pd=0.9937 fa=0.000025 thr=0.41 time=34.7s
[Epoch 105] loss=0.1618 miou=0.7579 niou=0.7694 f1=0.8623 pd=0.9947 fa=0.000023 thr=0.41 time=34.6s
[Epoch 106] loss=0.1600 miou=0.7641 niou=0.7790 f1=0.8663 pd=0.9947 fa=0.000018 thr=0.40 time=34.3s
[Epoch 107] loss=0.1584 miou=0.7572 niou=0.7691 f1=0.8618 pd=0.9947 fa=0.000030 thr=0.42 time=34.6s
[Epoch 108] loss=0.1554 miou=0.7540 niou=0.7715 f1=0.8598 pd=0.9915 fa=0.000018 thr=0.40 time=34.1s
[Epoch 109] loss=0.1562 miou=0.7587 niou=0.7740 f1=0.8628 pd=0.9937 fa=0.000028 thr=0.41 time=34.6s
[Epoch 110] loss=0.1552 miou=0.7618 niou=0.7739 f1=0.8648 pd=0.9937 fa=0.000027 thr=0.41 time=34.5s
[Epoch 111] loss=0.1536 miou=0.7595 niou=0.7746 f1=0.8633 pd=0.9926 fa=0.000022 thr=0.40 time=34.2s
[Epoch 112] loss=0.1524 miou=0.7512 niou=0.7603 f1=0.8580 pd=0.9937 fa=0.000037 thr=0.43 time=34.4s
[Epoch 113] loss=0.1504 miou=0.7567 niou=0.7699 f1=0.8615 pd=0.9947 fa=0.000032 thr=0.42 time=34.4s
[Epoch 114] loss=0.1554 miou=0.7616 niou=0.7739 f1=0.8647 pd=0.9937 fa=0.000022 thr=0.41 time=34.5s
[Epoch 115] loss=0.1579 miou=0.7602 niou=0.7725 f1=0.8638 pd=0.9958 fa=0.000028 thr=0.41 time=34.4s
[Epoch 116] loss=0.1544 miou=0.7559 niou=0.7651 f1=0.8610 pd=0.9926 fa=0.000029 thr=0.41 time=35.5s
[Epoch 117] loss=0.1553 miou=0.7576 niou=0.7697 f1=0.8621 pd=0.9884 fa=0.000031 thr=0.42 time=35.3s
[Epoch 118] loss=0.1550 miou=0.7432 niou=0.7514 f1=0.8527 pd=0.9958 fa=0.000051 thr=0.44 time=35.3s
[Epoch 119] loss=0.1529 miou=0.7646 niou=0.7766 f1=0.8666 pd=0.9937 fa=0.000020 thr=0.41 time=34.4s
[Epoch 120] loss=0.1522 miou=0.7653 niou=0.7788 f1=0.8670 pd=0.9926 fa=0.000025 thr=0.42 time=34.6s
[Epoch 121] loss=0.1499 miou=0.7572 niou=0.7657 f1=0.8618 pd=0.9947 fa=0.000030 thr=0.42 time=34.7s
[Epoch 122] loss=0.1520 miou=0.7552 niou=0.7667 f1=0.8605 pd=0.9958 fa=0.000032 thr=0.42 time=35.4s
[Epoch 123] loss=0.1507 miou=0.7565 niou=0.7688 f1=0.8614 pd=0.9937 fa=0.000025 thr=0.40 time=34.6s
[Epoch 124] loss=0.1513 miou=0.7629 niou=0.7779 f1=0.8655 pd=0.9926 fa=0.000022 thr=0.40 time=34.4s
[Epoch 125] loss=0.1508 miou=0.7590 niou=0.7702 f1=0.8630 pd=0.9937 fa=0.000028 thr=0.41 time=34.1s
[Epoch 126] loss=0.1487 miou=0.7602 niou=0.7734 f1=0.8637 pd=0.9947 fa=0.000026 thr=0.41 time=34.4s
[Epoch 127] loss=0.1535 miou=0.7622 niou=0.7757 f1=0.8651 pd=0.9926 fa=0.000022 thr=0.41 time=34.3s
[Epoch 128] loss=0.1532 miou=0.7586 niou=0.7694 f1=0.8627 pd=0.9947 fa=0.000035 thr=0.43 time=34.5s
[Epoch 129] loss=0.1507 miou=0.7502 niou=0.7580 f1=0.8573 pd=0.9947 fa=0.000041 thr=0.43 time=34.4s
[Epoch 130] loss=0.1515 miou=0.7601 niou=0.7703 f1=0.8637 pd=0.9915 fa=0.000030 thr=0.41 time=34.3s
[Epoch 131] loss=0.1477 miou=0.7619 niou=0.7779 f1=0.8648 pd=0.9926 fa=0.000022 thr=0.41 time=34.4s
[Epoch 132] loss=0.1461 miou=0.7497 niou=0.7586 f1=0.8570 pd=0.9947 fa=0.000041 thr=0.43 time=35.5s
[Epoch 133] loss=0.1511 miou=0.7558 niou=0.7650 f1=0.8609 pd=0.9947 fa=0.000032 thr=0.42 time=35.3s
[Epoch 134] loss=0.1480 miou=0.7615 niou=0.7749 f1=0.8646 pd=0.9937 fa=0.000029 thr=0.41 time=35.5s
