Run directory: ./outputs_sam_sirst_hq/NUDT-SIRST_model-vitt_size256_use_HQ_radial_no_edge_high_bs4e1000kp1_split-50_50_20260126_232612
[Epoch 001] loss=1.2358 miou=0.2164 niou=0.3030 f1=0.3558 pd=0.9767 fa=0.000831 thr=0.45 time=53.3s
[Epoch 002] loss=0.4511 miou=0.5465 niou=0.5999 f1=0.7068 pd=0.9841 fa=0.000188 thr=0.45 time=52.0s
[Epoch 003] loss=0.3721 miou=0.5831 niou=0.6311 f1=0.7366 pd=0.9831 fa=0.000146 thr=0.44 time=50.8s
[Epoch 004] loss=0.3433 miou=0.6188 niou=0.6531 f1=0.7645 pd=0.9810 fa=0.000095 thr=0.42 time=50.7s
[Epoch 005] loss=0.3379 miou=0.6296 niou=0.6606 f1=0.7727 pd=0.9799 fa=0.000069 thr=0.42 time=50.7s
[Epoch 006] loss=0.3200 miou=0.6443 niou=0.6696 f1=0.7837 pd=0.9799 fa=0.000062 thr=0.42 time=50.6s
[Epoch 007] loss=0.3157 miou=0.6416 niou=0.6628 f1=0.7816 pd=0.9831 fa=0.000081 thr=0.44 time=50.6s
[Epoch 008] loss=0.3066 miou=0.6575 niou=0.6801 f1=0.7934 pd=0.9810 fa=0.000066 thr=0.43 time=50.5s
[Epoch 009] loss=0.3009 miou=0.6617 niou=0.6840 f1=0.7964 pd=0.9810 fa=0.000059 thr=0.43 time=50.6s
[Epoch 010] loss=0.2952 miou=0.6626 niou=0.6843 f1=0.7971 pd=0.9831 fa=0.000053 thr=0.42 time=50.6s
[Epoch 011] loss=0.2888 miou=0.6700 niou=0.6917 f1=0.8024 pd=0.9831 fa=0.000053 thr=0.42 time=50.7s
[Epoch 012] loss=0.2847 miou=0.6628 niou=0.6862 f1=0.7972 pd=0.9862 fa=0.000080 thr=0.43 time=50.6s
[Epoch 013] loss=0.2869 miou=0.6525 niou=0.6758 f1=0.7897 pd=0.9873 fa=0.000088 thr=0.43 time=50.6s
[Epoch 014] loss=0.2847 miou=0.6831 niou=0.7058 f1=0.8117 pd=0.9841 fa=0.000050 thr=0.43 time=50.5s
[Epoch 015] loss=0.2712 miou=0.6874 niou=0.7088 f1=0.8147 pd=0.9852 fa=0.000052 thr=0.42 time=50.6s
[Epoch 016] loss=0.2696 miou=0.6773 niou=0.6987 f1=0.8076 pd=0.9841 fa=0.000070 thr=0.43 time=51.2s
