Run directory: ./outputs_sam_sirst_hq\NUDT_HQ_mllm_Qwen3_tokenCLIP_GatedBkBiFusion_NoFiLM_NoTextPromt_SC_20260301_223904
MLLM TextConditioner disabled by --disable_text_conditioner.
Gated Backbone BiFusion enabled: layers=12, hidden=128, heads=4, every=1, gate_hidden=0, gate_bias=-2.0, params=2163392
[Epoch 001] loss=1.2430 miou=0.0032 niou=0.0032 f1=0.0058 pd=0.0328 fa=0.000007 thr=0.35 time=71.1s
[Epoch 002] loss=1.0391 miou=0.3084 niou=0.3084 f1=0.4213 pd=0.9344 fa=0.002672 thr=0.46 time=69.6s
[Epoch 003] loss=0.6967 miou=0.4462 niou=0.4462 f1=0.5690 pd=0.9228 fa=0.000850 thr=0.44 time=67.8s
[Epoch 004] loss=0.5335 miou=0.5594 niou=0.5594 f1=0.6886 pd=0.9429 fa=0.000179 thr=0.42 time=67.7s
[Epoch 005] loss=0.4002 miou=0.6184 niou=0.6184 f1=0.7457 pd=0.9746 fa=0.000147 thr=0.45 time=67.3s
[Epoch 006] loss=0.3349 miou=0.6716 niou=0.6716 f1=0.7870 pd=0.9757 fa=0.000076 thr=0.41 time=68.2s
[Epoch 007] loss=0.2979 miou=0.6966 niou=0.6966 f1=0.8068 pd=0.9873 fa=0.000078 thr=0.43 time=67.5s
[Epoch 008] loss=0.2858 miou=0.6976 niou=0.6976 f1=0.8094 pd=0.9905 fa=0.000043 thr=0.43 time=67.6s
[Epoch 009] loss=0.2770 miou=0.6895 niou=0.6895 f1=0.8024 pd=0.9947 fa=0.000083 thr=0.45 time=67.3s
[Epoch 010] loss=0.2546 miou=0.7236 niou=0.7236 f1=0.8272 pd=0.9862 fa=0.000047 thr=0.42 time=67.6s
[Epoch 011] loss=0.2478 miou=0.7143 niou=0.7143 f1=0.8197 pd=0.9915 fa=0.000074 thr=0.44 time=71.4s
[Epoch 012] loss=0.2408 miou=0.7371 niou=0.7371 f1=0.8360 pd=0.9905 fa=0.000046 thr=0.41 time=74.1s
[Epoch 013] loss=0.2381 miou=0.7237 niou=0.7237 f1=0.8270 pd=0.9831 fa=0.000042 thr=0.43 time=74.3s
[Epoch 014] loss=0.2268 miou=0.7446 niou=0.7446 f1=0.8421 pd=0.9915 fa=0.000039 thr=0.43 time=74.0s
[Epoch 015] loss=0.2234 miou=0.7494 niou=0.7494 f1=0.8431 pd=0.9852 fa=0.000023 thr=0.40 time=74.2s
[Epoch 016] loss=0.2152 miou=0.7228 niou=0.7228 f1=0.8276 pd=0.9894 fa=0.000030 thr=0.43 time=74.1s
[Epoch 017] loss=0.2159 miou=0.7484 niou=0.7484 f1=0.8448 pd=0.9937 fa=0.000037 thr=0.41 time=74.2s
